taxon	host	major_clade	minor_clade	cluster	sequenceID	everything	isolate	sequenceID_plus_isolate_plus_minor_clade	sequenceID_plus_cluster
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AY170413	Eptesicus fuscus	Bats	EF-W1	-	AY170413	AY170413/Bats/EF-W1/-/Eptesicus fuscus}	SM5450	AY170413/SM5450/EF-W1	AY170413/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AY352459	Vulpes corsac	Arctic	AL2	-	AY352459	AY352459/Arctic/AL2/-/Vulpes corsac}	304c	AY352459/304c/AL2	AY352459/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AY352474	Vulpes vulpes	Cosmopolitan	NEE	-	AY352474	AY352474/Cosmopolitan/NEE/-/Vulpes vulpes}	RV1596	AY352474/RV1596/NEE	AY352474/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AY352487	Vulpes lagopus	Arctic	A	-	AY352487	AY352487/Arctic/A/-/Vulpes lagopus}	483a	AY352487/483a/A	AY352487/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AY352493	Homo sapiens	Arctic	AL1a	-	AY352493	AY352493/Arctic/AL1a/-/Homo sapiens}	rv61	AY352493/rv61/AL1a	AY352493/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AY705373	Homo sapiens	Bats	PS	-	AY705373	AY705373/Bats/PS/-/Homo sapiens}	SHBRV18	AY705373/SHBRV18/PS	AY705373/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/AY956319	Homo sapiens	Arctic	AL1a	-	AY956319	AY956319/Arctic/AL1a/-/Homo sapiens}	Serotype_1	AY956319/Serotype_1/AL1a	AY956319/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/EF437215	Homo sapiens	Arctic	AL1a	-	EF437215	EF437215/Arctic/AL1a/-/Homo sapiens}	NNV_RAB_H	EF437215/NNV_RAB_H/AL1a	EF437215/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/EF611853	Canis familiaris	Arctic	A	-	EF611853	EF611853/Arctic/A/-/Canis familiaris}	A0905	EF611853/A0905/A	EF611853/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/EU086144	Canis familiaris	Asian	SEA2a	-	EU086144	EU086144/Asian/SEA2a/-/Canis familiaris}	02046CHI	EU086144/02046CHI/SEA2a	EU086144/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/EU086146	Canis familiaris	Asian	SEA1b	-	EU086146	EU086146/Asian/SEA1b/-/Canis familiaris}	05005CHI	EU086146/05005CHI/SEA1b	EU086146/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/EU086152	Canis familiaris	Asian	SEA3	-	EU086152	EU086152/Asian/SEA3/-/Canis familiaris}	9910LAO	EU086152/9910LAO/SEA3	EU086152/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/EU086155	Homo sapiens	Asian	SEA4	-	EU086155	EU086155/Asian/SEA4/-/Homo sapiens}	04030PHI	EU086155/04030PHI/SEA4	EU086155/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/EU086205	Canis familiaris	Asian	SEA4	-	EU086205	EU086205/Asian/SEA4/-/Canis familiaris}	04030PHI	EU086205/04030PHI/SEA4	EU086205/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/EU293111	Homo sapiens	Asian	SEA3	-	EU293111	EU293111/Asian/SEA3/-/Homo sapiens}	8764THA	EU293111/8764THA/SEA3	EU293111/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/EU293115	Vulpes vulpes	Cosmopolitan	WE	-	EU293115	EU293115/Cosmopolitan/WE/-/Vulpes vulpes}	9147FRA	EU293115/9147FRA/WE	EU293115/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/EU293116	Tadarida brasilensis	Bats	TB	-	EU293116	EU293116/Bats/TB/-/Tadarida brasilensis}	9704ARG	EU293116/9704ARG/TB	EU293116/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/EU311738	Procyon lotor	RAC-SK	-	-	EU311738	EU311738/RAC-SK/-/-/Procyon lotor}	RRV_ON_99	EU311738/RRV_ON_99/-	EU311738/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/EU643590	Homo sapiens	Asian	SEA2a	-	EU643590	EU643590/Asian/SEA2a/-/Homo sapiens}	HN10	EU643590/HN10/SEA2a	EU643590/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/EU853614	Canis familiaris	Africa-2	-	-	EU853614	EU853614/Africa-2/-/-/Canis familiaris}	8636HAV	EU853614/8636HAV/-	EU853614/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/FJ712194	Canis familiaris	Asian	SEA1b	-	FJ712194	FJ712194/Asian/SEA1b/-/Canis familiaris}	D02	FJ712194/D02/SEA1b	FJ712194/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/FJ712195	Melogale moschata	Asian	SEA2b	-	FJ712195	FJ712195/Asian/SEA2b/-/Melogale moschata}	F02	FJ712195/F02/SEA2b	FJ712195/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/FJ712196	Melogale moschata	Asian	SEA2b	-	FJ712196	FJ712196/Asian/SEA2b/-/Melogale moschata}	F04	FJ712196/F04/SEA2b	FJ712196/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/FJ866835	Canis familiaris	Asian	SEA1b	-	FJ866835	FJ866835/Asian/SEA1b/-/Canis familiaris}	FJ008	FJ866835/FJ008/SEA1b	FJ866835/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/FJ866836	Canis familiaris	Asian	SEA1b	-	FJ866836	FJ866836/Asian/SEA1b/-/Canis familiaris}	FJ009	FJ866836/FJ009/SEA1b	FJ866836/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/GU345746	Canis familiaris	Asian	SEA1a	-	GU345746	GU345746/Asian/SEA1a/-/Canis familiaris}	CQ92	GU345746/CQ92/SEA1a	GU345746/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/GU345747	Homo sapiens	Asian	SEA1a	-	GU345747	GU345747/Asian/SEA1a/-/Homo sapiens}	RV_J	GU345747/RV_J/SEA1a	GU345747/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/GU345748	Canis familiaris	Asian	SEA1b	-	GU345748	GU345748/Asian/SEA1b/-/Canis familiaris}	SH06	GU345748/SH06/SEA1b	GU345748/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/GU358653	Canis familiaris	Asian	SEA2a	-	GU358653	GU358653/Asian/SEA2a/-/Canis familiaris}	GX4	GU358653/GX4/SEA2a	GU358653/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/GU644682	Eptesicus fuscus	Bats	EF-W2	-	GU644682	GU644682/Bats/EF-W2/-/Eptesicus fuscus}	wa267	GU644682/wa267/EF-W2	GU644682/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/GU644683	Eptesicus fuscus	Bats	EF-W2	-	GU644683	GU644683/Bats/EF-W2/-/Eptesicus fuscus}	wa1043	GU644683/wa1043/EF-W2	GU644683/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/GU644851	Eptesicus fuscus	Bats	EF-W2	-	GU644851	GU644851/Bats/EF-W2/-/Eptesicus fuscus}	wa1086	GU644851/wa1086/EF-W2	GU644851/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/GU647092	Melogale moschata	Asian	SEA2b	-	GU647092	GU647092/Asian/SEA2b/-/Melogale moschata}	JX08_45	GU647092/JX08_45/SEA2b	GU647092/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/HE802675	Bos taurus	Arctic	AL1a	-	HE802675	HE802675/Arctic/AL1a/-/Bos taurus}	Pk_23	HE802675/Pk_23/AL1a	HE802675/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/HE802676	Bos taurus	Arctic	AL1b	-	HE802676	HE802676/Arctic/AL1b/-/Bos taurus}	Pk_24	HE802676/Pk_24/AL1b	HE802676/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/HQ450385	Canis familiaris	Asian	SEA1b	-	HQ450385	HQ450385/Asian/SEA1b/-/Canis familiaris}	DRV_AH08	HQ450385/DRV_AH08/SEA1b	HQ450385/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/HQ450386	Canis familiaris	Cosmopolitan	AM2a	-	HQ450386	HQ450386/Cosmopolitan/AM2a/-/Canis familiaris}	DRV_Mexico	HQ450386/DRV_Mexico/AM2a	HQ450386/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JN609295	Canis familiaris	Asian	SEA1b	-	JN609295	JN609295/Asian/SEA1b/-/Canis familiaris}	FJDRV	JN609295/FJDRV/SEA1b	JN609295/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JN786877	Canis familiaris	Asian	SEA3	-	JN786877	JN786877/Asian/SEA3/-/Canis familiaris}	QS_05	JN786877/QS_05/SEA3	JN786877/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ423952	Equus ferus	Asian	SEA1b	-	JQ423952	JQ423952/Asian/SEA1b/-/Equus ferus}	BJ2011E	JQ423952/BJ2011E/SEA1b	JQ423952/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ647510	Equus asinus	Asian	SEA1b	-	JQ647510	JQ647510/Asian/SEA1b/-/Equus asinus}	WH11	JQ647510/WH11/SEA1b	JQ647510/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685892	Urocyon cinereoargenteus	Bats	EF-W1	-	JQ685892	JQ685892/Bats/EF-W1/-/Urocyon cinereoargenteus}	2398	JQ685892/2398/EF-W1	JQ685892/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685893	Mephitis mephitis	Bats	EF-W1	-	JQ685893	JQ685893/Bats/EF-W1/-/Mephitis mephitis}	SM5079	JQ685893/SM5079/EF-W1	JQ685893/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685894	Mephitis mephitis	Cosmopolitan	AM4	-	JQ685894	JQ685894/Cosmopolitan/AM4/-/Mephitis mephitis}	CA982	JQ685894/CA982/AM4	JQ685894/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685895	Lasionycteris noctivagans	Bats	LN	-	JQ685895	JQ685895/Bats/LN/-/Lasionycteris noctivagans}	WA1185	JQ685895/WA1185/LN	JQ685895/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685896	Urocyon cinereoargenteus	Bats	EF-W1	-	JQ685896	JQ685896/Bats/EF-W1/-/Urocyon cinereoargenteus}	2402	JQ685896/2402/EF-W1	JQ685896/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685897	Eptesicus fuscus	Bats	EF-W1	-	JQ685897	JQ685897/Bats/EF-W1/-/Eptesicus fuscus}	SM5442	JQ685897/SM5442/EF-W1	JQ685897/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685898	Eptesicus fuscus	Bats	EF-W1	-	JQ685898	JQ685898/Bats/EF-W1/-/Eptesicus fuscus}	A093500	JQ685898/A093500/EF-W1	JQ685898/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685899	Urocyon cinereoargenteus	Cosmopolitan	AM2b	-	JQ685899	JQ685899/Cosmopolitan/AM2b/-/Urocyon cinereoargenteus}	A10-0515	JQ685899/A10-0515/AM2b	JQ685899/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685900	Lasiurus seminolus	Bats	LS	-	JQ685900	JQ685900/Bats/LS/-/Lasiurus seminolus}	FL769	JQ685900/FL769/LS	JQ685900/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685901	Procyon lotor	RAC-SK	-	-	JQ685901	JQ685901/RAC-SK/-/-/Procyon lotor}	RAC	JQ685901/RAC/-	JQ685901/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685902	Lasiurus borealis	Bats	LB	-	JQ685902	JQ685902/Bats/LB/-/Lasiurus borealis}	TN209	JQ685902/TN209/LB	JQ685902/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685903	Eptesicus fuscus	Bats	EF-W2	-	JQ685903	JQ685903/Bats/EF-W2/-/Eptesicus fuscus}	ca04148	JQ685903/ca04148/EF-W2	JQ685903/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685904	Mephitis mephitis	Bats	EF-W1	-	JQ685904	JQ685904/Bats/EF-W1/-/Mephitis mephitis}	SM5081	JQ685904/SM5081/EF-W1	JQ685904/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685905	Tadarida brasiliensis	Bats	TB	-	JQ685905	JQ685905/Bats/TB/-/Tadarida brasiliensis}	FL385	JQ685905/FL385/TB	JQ685905/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685906	Mephitis mephitis	Bats	EF-W1	-	JQ685906	JQ685906/Bats/EF-W1/-/Mephitis mephitis}	SM5102	JQ685906/SM5102/EF-W1	JQ685906/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685907	Eptesicus fuscus	Bats	EF-W1	-	JQ685907	JQ685907/Bats/EF-W1/-/Eptesicus fuscus}	SM3849	JQ685907/SM3849/EF-W1	JQ685907/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685908	Urocyon cinereoargenteus	Bats	EF-W1	-	JQ685908	JQ685908/Bats/EF-W1/-/Urocyon cinereoargenteus}	1060	JQ685908/1060/EF-W1	JQ685908/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685909	Eptesicus fuscus	Bats	EF-W1	-	JQ685909	JQ685909/Bats/EF-W1/-/Eptesicus fuscus}	CA100	JQ685909/CA100/EF-W1	JQ685909/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685910	Lasiurus xanthinus	Bats	LX	-	JQ685910	JQ685910/Bats/LX/-/Lasiurus xanthinus}	TX5960	JQ685910/TX5960/LX	JQ685910/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685911	Mephitis mephitis	Bats	EF-W1	-	JQ685911	JQ685911/Bats/EF-W1/-/Mephitis mephitis}	SM5077	JQ685911/SM5077/EF-W1	JQ685911/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685912	Urocyon cinereoargenteus	Bats	EF-W1	-	JQ685912	JQ685912/Bats/EF-W1/-/Urocyon cinereoargenteus}	2400	JQ685912/2400/EF-W1	JQ685912/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685913	Eptesicus fuscus	Bats	EF-W1	-	JQ685913	JQ685913/Bats/EF-W1/-/Eptesicus fuscus}	AZBAT-6763	JQ685913/AZBAT-6763/EF-W1	JQ685913/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685914	Urocyon cinereoargenteus	Bats	EF-W2	-	JQ685914	JQ685914/Bats/EF-W2/-/Urocyon cinereoargenteus}	OR703	JQ685914/OR703/EF-W2	JQ685914/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685915	Lasiurus intermedius	Bats	LI	-	JQ685915	JQ685915/Bats/LI/-/Lasiurus intermedius}	TX4904	JQ685915/TX4904/LI	JQ685915/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685916	Lasiurus intermedius	Bats	LI	-	JQ685916	JQ685916/Bats/LI/-/Lasiurus intermedius}	FL1010	JQ685916/FL1010/LI	JQ685916/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685917	Canis latrans	Bats	EF-W1	-	JQ685917	JQ685917/Bats/EF-W1/-/Canis latrans}	CO-Coyot-2010	JQ685917/CO-Coyot-2010/EF-W1	JQ685917/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685918	Urocyon cinereoargenteus	Bats	MYsp	-	JQ685918	JQ685918/Bats/MYsp/-/Urocyon cinereoargenteus}	OR05506	JQ685918/OR05506/MYsp	JQ685918/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685919	Lasiurus borealis	Bats	LB	-	JQ685919	JQ685919/Bats/LB/-/Lasiurus borealis}	NJ2262	JQ685919/NJ2262/LB	JQ685919/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685920	Eptesicus fuscus	Bats	EF-E1	-	JQ685920	JQ685920/Bats/EF-E1/-/Eptesicus fuscus}	EF	JQ685920/EF/EF-E1	JQ685920/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685921	Myotis austroriparius	Bats	MYsp	-	JQ685921	JQ685921/Bats/MYsp/-/Myotis austroriparius}	FL1078	JQ685921/FL1078/MYsp	JQ685921/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685922	Perimyotis subflavus	Bats	PS	-	JQ685922	JQ685922/Bats/PS/-/Perimyotis subflavus}	TN186	JQ685922/TN186/PS	JQ685922/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685923	Eptesicus fuscus	Bats	EF-W1	-	JQ685923	JQ685923/Bats/EF-W1/-/Eptesicus fuscus}	SM4871	JQ685923/SM4871/EF-W1	JQ685923/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685924	Urocyon cinereoargenteus	Bats	EF-W2	-	JQ685924	JQ685924/Bats/EF-W2/-/Urocyon cinereoargenteus}	OR704	JQ685924/OR704/EF-W2	JQ685924/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685925	Eptesicus fuscus	Bats	EF-E2	-	JQ685925	JQ685925/Bats/EF-E2/-/Eptesicus fuscus}	waef03	JQ685925/waef03/EF-E2	JQ685925/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685926	Eptesicus fuscus	Bats	EF-W1	-	JQ685926	JQ685926/Bats/EF-W1/-/Eptesicus fuscus}	AZ2408	JQ685926/AZ2408/EF-W1	JQ685926/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685927	Mephitis mephitis	Bats	EF-W1	-	JQ685927	JQ685927/Bats/EF-W1/-/Mephitis mephitis}	SM5080	JQ685927/SM5080/EF-W1	JQ685927/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685928	Urocyon cinereoargenteus	Bats	EF-W1	-	JQ685928	JQ685928/Bats/EF-W1/-/Urocyon cinereoargenteus}	2403	JQ685928/2403/EF-W1	JQ685928/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685929	Spilogale putorius	RAC-SK	-	-	JQ685929	JQ685929/RAC-SK/-/-/Spilogale putorius}	MEXSK3644	JQ685929/MEXSK3644/-	JQ685929/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685930	Mephitis mephitis	Bats	EF-W1	-	JQ685930	JQ685930/Bats/EF-W1/-/Mephitis mephitis}	SM5103	JQ685930/SM5103/EF-W1	JQ685930/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685931	Eptesicus fuscus	Bats	EF-W2	-	JQ685931	JQ685931/Bats/EF-W2/-/Eptesicus fuscus}	WA0173	JQ685931/WA0173/EF-W2	JQ685931/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685932	Mephitis mephitis	Bats	EF-W1	-	JQ685932	JQ685932/Bats/EF-W1/-/Mephitis mephitis}	SM5076	JQ685932/SM5076/EF-W1	JQ685932/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685933	Urocyon cinereoargenteus	Bats	EF-W1	-	JQ685933	JQ685933/Bats/EF-W1/-/Urocyon cinereoargenteus}	SM5950	JQ685933/SM5950/EF-W1	JQ685933/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685934	Urocyon cinereoargenteus	Bats	EF-W1	-	JQ685934	JQ685934/Bats/EF-W1/-/Urocyon cinereoargenteus}	2401	JQ685934/2401/EF-W1	JQ685934/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685935	Mephitis mephitis	Bats	EF-W1	-	JQ685935	JQ685935/Bats/EF-W1/-/Mephitis mephitis}	SM5074	JQ685935/SM5074/EF-W1	JQ685935/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685936	Bos taurus	Bats	DR	-	JQ685936	JQ685936/Bats/DR/-/Bos taurus}	3634DR	JQ685936/3634DR/DR	JQ685936/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685937	Bassariscus astutus	Bats	EF-W1	-	JQ685937	JQ685937/Bats/EF-W1/-/Bassariscus astutus}	2396	JQ685937/2396/EF-W1	JQ685937/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685938	Mephitis mephitis	RAC-SK	-	-	JQ685938	JQ685938/RAC-SK/-/-/Mephitis mephitis}	A10-0514	JQ685938/A10-0514/-	JQ685938/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685939	Urocyon cinereoargenteus	Bats	EF-W1	-	JQ685939	JQ685939/Bats/EF-W1/-/Urocyon cinereoargenteus}	2399	JQ685939/2399/EF-W1	JQ685939/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685940	Mephitis mephitis	Bats	EF-W1	-	JQ685940	JQ685940/Bats/EF-W1/-/Mephitis mephitis}	SM5100	JQ685940/SM5100/EF-W1	JQ685940/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685941	Mephitis mephitis	Bats	EF-W1	-	JQ685941	JQ685941/Bats/EF-W1/-/Mephitis mephitis}	SM1545	JQ685941/SM1545/EF-W1	JQ685941/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685942	Eptesicus fuscus	Bats	EF-W2	-	JQ685942	JQ685942/Bats/EF-W2/-/Eptesicus fuscus}	AZBAT-65094	JQ685942/AZBAT-65094/EF-W2	JQ685942/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685943	Urocyon cinereoargenteus	Cosmopolitan	AM2b	-	JQ685943	JQ685943/Cosmopolitan/AM2b/-/Urocyon cinereoargenteus}	A10-0511	JQ685943/A10-0511/AM2b	JQ685943/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685944	Mephitis mephitis	Cosmopolitan	AM1	-	JQ685944	JQ685944/Cosmopolitan/AM1/-/Mephitis mephitis}	NC839	JQ685944/NC839/AM1	JQ685944/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685945	Felis catus	Bats	EF-W1	-	JQ685945	JQ685945/Bats/EF-W1/-/Felis catus}	SM6709	JQ685945/SM6709/EF-W1	JQ685945/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685946	Eptesicus fuscus	Bats	EF-W1	-	JQ685946	JQ685946/Bats/EF-W1/-/Eptesicus fuscus}	SM4862	JQ685946/SM4862/EF-W1	JQ685946/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685947	Lasiurus cinereus	Bats	LC	-	JQ685947	JQ685947/Bats/LC/-/Lasiurus cinereus}	TN310	JQ685947/TN310/LC	JQ685947/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685948	Urocyon cinereoargenteus	Bats	EF-W2	-	JQ685948	JQ685948/Bats/EF-W2/-/Urocyon cinereoargenteus}	OR05455	JQ685948/OR05455/EF-W2	JQ685948/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685949	Mephitis mephitis	Bats	EF-W1	-	JQ685949	JQ685949/Bats/EF-W1/-/Mephitis mephitis}	SM5075	JQ685949/SM5075/EF-W1	JQ685949/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685950	Eptesicus fuscus	Bats	EF-W1	-	JQ685950	JQ685950/Bats/EF-W1/-/Eptesicus fuscus}	A093504	JQ685950/A093504/EF-W1	JQ685950/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685951	Eptesicus fuscus	Bats	EF-W1	-	JQ685951	JQ685951/Bats/EF-W1/-/Eptesicus fuscus}	AZ10-144	JQ685951/AZ10-144/EF-W1	JQ685951/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685952	Parastrellus hesperos	Bats	PH	-	JQ685952	JQ685952/Bats/PH/-/Parastrellus hesperos}	A02-2971	JQ685952/A02-2971/PH	JQ685952/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685953	Homo sapiens	Bats	DR	-	JQ685953	JQ685953/Bats/DR/-/Homo sapiens}	3645DR	JQ685953/3645DR/DR	JQ685953/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685954	Spilogale putorius	RAC-SK	-	-	JQ685954	JQ685954/RAC-SK/-/-/Spilogale putorius}	MXSK13938	JQ685954/MXSK13938/-	JQ685954/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685955	Myotis yumanensis	Bats	MYu	-	JQ685955	JQ685955/Bats/MYu/-/Myotis yumanensis}	AZ4490	JQ685955/AZ4490/MYu	JQ685955/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685956	Eptesicus fuscus	Bats	EF-W1	-	JQ685956	JQ685956/Bats/EF-W1/-/Eptesicus fuscus}	AZBAT-7453	JQ685956/AZBAT-7453/EF-W1	JQ685956/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685957	Urocyon cinereoargenteus	Bats	MYsp	-	JQ685957	JQ685957/Bats/MYsp/-/Urocyon cinereoargenteus}	OR8767	JQ685957/OR8767/MYsp	JQ685957/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685958	Mephitis mephitis	Bats	EF-W1	-	JQ685958	JQ685958/Bats/EF-W1/-/Mephitis mephitis}	SM5101	JQ685958/SM5101/EF-W1	JQ685958/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685959	Mephitis mephitis	Bats	EF-W1	-	JQ685959	JQ685959/Bats/EF-W1/-/Mephitis mephitis}	SM5451	JQ685959/SM5451/EF-W1	JQ685959/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685960	Eptesicus fuscus	Bats	EF-W1	-	JQ685960	JQ685960/Bats/EF-W1/-/Eptesicus fuscus}	SM4872	JQ685960/SM4872/EF-W1	JQ685960/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/JQ685961	Eptesicus fuscus	Bats	EF-W1	-	JQ685961	JQ685961/Bats/EF-W1/-/Eptesicus fuscus}	AZ10-140	JQ685961/AZ10-140/EF-W1	JQ685961/-
