taxon	host	major_clade	minor_clade	sequenceID	combined
alignment/AL_Bats/member/ncbi-refseqs/JQ685900	Lasiurus seminolus	Bats	LS	JQ685900	JQ685900/Bats/LS/Lasiurus seminolus}
alignment/AL_Bats_LS/member/ncbi-refseqs/JQ685900	Lasiurus seminolus	Bats	LS	JQ685900	JQ685900/Bats/LS/Lasiurus seminolus}
alignment/AL_RAC-SK/member/ncbi-refseqs/JQ685901	Procyon lotor	RAC-SK	-	JQ685901	JQ685901/RAC-SK/-/Procyon lotor}
alignment/AL_Bats/member/ncbi-refseqs/JQ685902	Lasiurus borealis	Bats	LB	JQ685902	JQ685902/Bats/LB/Lasiurus borealis}
alignment/AL_Bats_LB/member/ncbi-refseqs/JQ685902	Lasiurus borealis	Bats	LB	JQ685902	JQ685902/Bats/LB/Lasiurus borealis}
alignment/AL_Bats_EF-W2/member/ncbi-refseqs/JQ685903	Eptesicus fuscus	Bats	EF-W2	JQ685903	JQ685903/Bats/EF-W2/Eptesicus fuscus}
alignment/AL_Bats_EF-W1/member/ncbi-refseqs/JQ685904	Mephitis mephitis	Bats	EF-W1	JQ685904	JQ685904/Bats/EF-W1/Mephitis mephitis}
alignment/AL_Bats/member/ncbi-refseqs/JQ685905	Tadarida brasiliensis	Bats	TB	JQ685905	JQ685905/Bats/TB/Tadarida brasiliensis}
alignment/AL_Bats_TB/member/ncbi-refseqs/JQ685905	Tadarida brasiliensis	Bats	TB	JQ685905	JQ685905/Bats/TB/Tadarida brasiliensis}
alignment/AL_Bats_EF-W1/member/ncbi-refseqs/JQ685906	Mephitis mephitis	Bats	EF-W1	JQ685906	JQ685906/Bats/EF-W1/Mephitis mephitis}
alignment/AL_Bats_EF-W1/member/ncbi-refseqs/JQ685907	Eptesicus fuscus	Bats	EF-W1	JQ685907	JQ685907/Bats/EF-W1/Eptesicus fuscus}
alignment/AL_Bats_EF-W1/member/ncbi-refseqs/JQ685908	Urocyon cinereoargenteus	Bats	EF-W1	JQ685908	JQ685908/Bats/EF-W1/Urocyon cinereoargenteus}
alignment/AL_Bats_EF-W1/member/ncbi-refseqs/JQ685909	Eptesicus fuscus	Bats	EF-W1	JQ685909	JQ685909/Bats/EF-W1/Eptesicus fuscus}
alignment/AL_Bats/member/ncbi-refseqs/JQ685910	Lasiurus xanthinus	Bats	LX	JQ685910	JQ685910/Bats/LX/Lasiurus xanthinus}
alignment/AL_Bats_LX/member/ncbi-refseqs/JQ685910	Lasiurus xanthinus	Bats	LX	JQ685910	JQ685910/Bats/LX/Lasiurus xanthinus}
alignment/AL_Bats_EF-W1/member/ncbi-refseqs/JQ685911	Mephitis mephitis	Bats	EF-W1	JQ685911	JQ685911/Bats/EF-W1/Mephitis mephitis}
alignment/AL_Bats_EF-W1/member/ncbi-refseqs/JQ685912	Urocyon cinereoargenteus	Bats	EF-W1	JQ685912	JQ685912/Bats/EF-W1/Urocyon cinereoargenteus}
alignment/AL_Bats_EF-W1/member/ncbi-refseqs/JQ685913	Eptesicus fuscus	Bats	EF-W1	JQ685913	JQ685913/Bats/EF-W1/Eptesicus fuscus}
alignment/AL_Bats_EF-W2/member/ncbi-refseqs/JQ685914	Urocyon cinereoargenteus	Bats	EF-W2	JQ685914	JQ685914/Bats/EF-W2/Urocyon cinereoargenteus}
alignment/AL_Bats_LI/member/ncbi-refseqs/JQ685915	Lasiurus intermedius	Bats	LI	JQ685915	JQ685915/Bats/LI/Lasiurus intermedius}
alignment/AL_Bats/member/ncbi-refseqs/JQ685916	Lasiurus intermedius	Bats	LI	JQ685916	JQ685916/Bats/LI/Lasiurus intermedius}
alignment/AL_Bats_LI/member/ncbi-refseqs/JQ685916	Lasiurus intermedius	Bats	LI	JQ685916	JQ685916/Bats/LI/Lasiurus intermedius}
alignment/AL_Bats_EF-W1/member/ncbi-refseqs/JQ685917	Canis latrans	Bats	EF-W1	JQ685917	JQ685917/Bats/EF-W1/Canis latrans}
alignment/AL_Bats_MYsp/member/ncbi-refseqs/JQ685918	Urocyon cinereoargenteus	Bats	MYsp	JQ685918	JQ685918/Bats/MYsp/Urocyon cinereoargenteus}
alignment/AL_Bats_LB/member/ncbi-refseqs/JQ685919	Lasiurus borealis	Bats	LB	JQ685919	JQ685919/Bats/LB/Lasiurus borealis}
alignment/AL_Bats/member/ncbi-refseqs/JQ685920	Eptesicus fuscus	Bats	EF-E1	JQ685920	JQ685920/Bats/EF-E1/Eptesicus fuscus}
alignment/AL_Bats_EF-E1/member/ncbi-refseqs/JQ685920	Eptesicus fuscus	Bats	EF-E1	JQ685920	JQ685920/Bats/EF-E1/Eptesicus fuscus}
alignment/AL_Bats/member/ncbi-refseqs/JQ685921	Myotis austroriparius	Bats	MYsp	JQ685921	JQ685921/Bats/MYsp/Myotis austroriparius}
alignment/AL_Bats_MYsp/member/ncbi-refseqs/JQ685921	Myotis austroriparius	Bats	MYsp	JQ685921	JQ685921/Bats/MYsp/Myotis austroriparius}
alignment/AL_Bats_PS/member/ncbi-refseqs/JQ685922	Perimyotis subflavus	Bats	PS	JQ685922	JQ685922/Bats/PS/Perimyotis subflavus}
alignment/AL_Bats_EF-W1/member/ncbi-refseqs/JQ685923	Eptesicus fuscus	Bats	EF-W1	JQ685923	JQ685923/Bats/EF-W1/Eptesicus fuscus}
alignment/AL_Bats_EF-W2/member/ncbi-refseqs/JQ685924	Urocyon cinereoargenteus	Bats	EF-W2	JQ685924	JQ685924/Bats/EF-W2/Urocyon cinereoargenteus}
alignment/AL_Bats/member/ncbi-refseqs/JQ685925	Eptesicus fuscus	Bats	EF-E2	JQ685925	JQ685925/Bats/EF-E2/Eptesicus fuscus}
alignment/AL_Bats_EF-W1/member/ncbi-refseqs/JQ685926	Eptesicus fuscus	Bats	EF-W1	JQ685926	JQ685926/Bats/EF-W1/Eptesicus fuscus}
alignment/AL_Bats_EF-W1/member/ncbi-refseqs/JQ685927	Mephitis mephitis	Bats	EF-W1	JQ685927	JQ685927/Bats/EF-W1/Mephitis mephitis}
alignment/AL_Bats_EF-W1/member/ncbi-refseqs/JQ685928	Urocyon cinereoargenteus	Bats	EF-W1	JQ685928	JQ685928/Bats/EF-W1/Urocyon cinereoargenteus}
alignment/AL_RAC-SK/member/ncbi-refseqs/JQ685929	Spilogale putorius	RAC-SK	-	JQ685929	JQ685929/RAC-SK/-/Spilogale putorius}
alignment/AL_Bats_EF-W1/member/ncbi-refseqs/JQ685930	Mephitis mephitis	Bats	EF-W1	JQ685930	JQ685930/Bats/EF-W1/Mephitis mephitis}
alignment/AL_Bats_EF-W2/member/ncbi-refseqs/JQ685931	Eptesicus fuscus	Bats	EF-W2	JQ685931	JQ685931/Bats/EF-W2/Eptesicus fuscus}
alignment/AL_Bats_EF-W1/member/ncbi-refseqs/JQ685932	Mephitis mephitis	Bats	EF-W1	JQ685932	JQ685932/Bats/EF-W1/Mephitis mephitis}
alignment/AL_Bats_EF-W1/member/ncbi-refseqs/JQ685933	Urocyon cinereoargenteus	Bats	EF-W1	JQ685933	JQ685933/Bats/EF-W1/Urocyon cinereoargenteus}
alignment/AL_Bats_EF-W1/member/ncbi-refseqs/JQ685934	Urocyon cinereoargenteus	Bats	EF-W1	JQ685934	JQ685934/Bats/EF-W1/Urocyon cinereoargenteus}
alignment/AL_Bats_EF-W1/member/ncbi-refseqs/JQ685935	Mephitis mephitis	Bats	EF-W1	JQ685935	JQ685935/Bats/EF-W1/Mephitis mephitis}
alignment/AL_Bats_DR/member/ncbi-refseqs/JQ685936	Bos taurus	Bats	DR	JQ685936	JQ685936/Bats/DR/Bos taurus}
alignment/AL_Bats_EF-W1/member/ncbi-refseqs/JQ685937	Bassariscus astutus	Bats	EF-W1	JQ685937	JQ685937/Bats/EF-W1/Bassariscus astutus}
alignment/AL_RAC-SK/member/ncbi-refseqs/JQ685938	Mephitis mephitis	RAC-SK	-	JQ685938	JQ685938/RAC-SK/-/Mephitis mephitis}
alignment/AL_Bats_EF-W1/member/ncbi-refseqs/JQ685939	Urocyon cinereoargenteus	Bats	EF-W1	JQ685939	JQ685939/Bats/EF-W1/Urocyon cinereoargenteus}
alignment/AL_Bats_EF-W1/member/ncbi-refseqs/JQ685940	Mephitis mephitis	Bats	EF-W1	JQ685940	JQ685940/Bats/EF-W1/Mephitis mephitis}
alignment/AL_Bats_EF-W1/member/ncbi-refseqs/JQ685941	Mephitis mephitis	Bats	EF-W1	JQ685941	JQ685941/Bats/EF-W1/Mephitis mephitis}
alignment/AL_Bats/member/ncbi-refseqs/JQ685942	Eptesicus fuscus	Bats	EF-W2	JQ685942	JQ685942/Bats/EF-W2/Eptesicus fuscus}
alignment/AL_Bats_EF-W2/member/ncbi-refseqs/JQ685942	Eptesicus fuscus	Bats	EF-W2	JQ685942	JQ685942/Bats/EF-W2/Eptesicus fuscus}
alignment/AL_Cosmopolitan/member/ncbi-refseqs/JQ685943	Urocyon cinereoargenteus	Cosmopolitan	AM2b	JQ685943	JQ685943/Cosmopolitan/AM2b/Urocyon cinereoargenteus}
alignment/AL_Cosmopolitan_AM2b/member/ncbi-refseqs/JQ685943	Urocyon cinereoargenteus	Cosmopolitan	AM2b	JQ685943	JQ685943/Cosmopolitan/AM2b/Urocyon cinereoargenteus}
alignment/AL_Cosmopolitan_AM1/member/ncbi-refseqs/JQ685944	Mephitis mephitis	Cosmopolitan	AM1	JQ685944	JQ685944/Cosmopolitan/AM1/Mephitis mephitis}
alignment/AL_Bats_EF-W1/member/ncbi-refseqs/JQ685945	Felis catus	Bats	EF-W1	JQ685945	JQ685945/Bats/EF-W1/Felis catus}
alignment/AL_Bats_EF-W1/member/ncbi-refseqs/JQ685946	Eptesicus fuscus	Bats	EF-W1	JQ685946	JQ685946/Bats/EF-W1/Eptesicus fuscus}
alignment/AL_Bats/member/ncbi-refseqs/JQ685947	Lasiurus cinereus	Bats	LC	JQ685947	JQ685947/Bats/LC/Lasiurus cinereus}
alignment/AL_Bats_LC/member/ncbi-refseqs/JQ685947	Lasiurus cinereus	Bats	LC	JQ685947	JQ685947/Bats/LC/Lasiurus cinereus}
alignment/AL_Bats_EF-W2/member/ncbi-refseqs/JQ685948	Urocyon cinereoargenteus	Bats	EF-W2	JQ685948	JQ685948/Bats/EF-W2/Urocyon cinereoargenteus}
alignment/AL_Bats_EF-W1/member/ncbi-refseqs/JQ685949	Mephitis mephitis	Bats	EF-W1	JQ685949	JQ685949/Bats/EF-W1/Mephitis mephitis}
alignment/AL_Bats_EF-W1/member/ncbi-refseqs/JQ685950	Eptesicus fuscus	Bats	EF-W1	JQ685950	JQ685950/Bats/EF-W1/Eptesicus fuscus}
alignment/AL_Bats_EF-W1/member/ncbi-refseqs/JQ685951	Eptesicus fuscus	Bats	EF-W1	JQ685951	JQ685951/Bats/EF-W1/Eptesicus fuscus}
alignment/AL_Bats/member/ncbi-refseqs/JQ685952	Parastrellus hesperos	Bats	PH	JQ685952	JQ685952/Bats/PH/Parastrellus hesperos}
alignment/AL_Bats_PH/member/ncbi-refseqs/JQ685952	Parastrellus hesperos	Bats	PH	JQ685952	JQ685952/Bats/PH/Parastrellus hesperos}
alignment/AL_Bats/member/ncbi-refseqs/JQ685953	Homo sapiens	Bats	DR	JQ685953	JQ685953/Bats/DR/Homo sapiens}
alignment/AL_Bats_DR/member/ncbi-refseqs/JQ685953	Homo sapiens	Bats	DR	JQ685953	JQ685953/Bats/DR/Homo sapiens}
alignment/AL_RAC-SK/member/ncbi-refseqs/JQ685954	Spilogale putorius	RAC-SK	-	JQ685954	JQ685954/RAC-SK/-/Spilogale putorius}
alignment/AL_Bats/member/ncbi-refseqs/JQ685955	Myotis yumanensis	Bats	MYu	JQ685955	JQ685955/Bats/MYu/Myotis yumanensis}
alignment/AL_Bats/member/ncbi-refseqs/JQ685956	Eptesicus fuscus	Bats	EF-W1	JQ685956	JQ685956/Bats/EF-W1/Eptesicus fuscus}
alignment/AL_Bats_EF-W1/member/ncbi-refseqs/JQ685956	Eptesicus fuscus	Bats	EF-W1	JQ685956	JQ685956/Bats/EF-W1/Eptesicus fuscus}
alignment/AL_MASTER/member/ncbi-refseqs/JQ685956	Eptesicus fuscus	Bats	EF-W1	JQ685956	JQ685956/Bats/EF-W1/Eptesicus fuscus}
alignment/AL_Bats_MYsp/member/ncbi-refseqs/JQ685957	Urocyon cinereoargenteus	Bats	MYsp	JQ685957	JQ685957/Bats/MYsp/Urocyon cinereoargenteus}
alignment/AL_Bats_EF-W1/member/ncbi-refseqs/JQ685958	Mephitis mephitis	Bats	EF-W1	JQ685958	JQ685958/Bats/EF-W1/Mephitis mephitis}
alignment/AL_Bats_EF-W1/member/ncbi-refseqs/JQ685959	Mephitis mephitis	Bats	EF-W1	JQ685959	JQ685959/Bats/EF-W1/Mephitis mephitis}
alignment/AL_Bats_EF-W1/member/ncbi-refseqs/JQ685960	Eptesicus fuscus	Bats	EF-W1	JQ685960	JQ685960/Bats/EF-W1/Eptesicus fuscus}
alignment/AL_Bats_EF-W1/member/ncbi-refseqs/JQ685961	Eptesicus fuscus	Bats	EF-W1	JQ685961	JQ685961/Bats/EF-W1/Eptesicus fuscus}
alignment/AL_Bats_EF-W1/member/ncbi-refseqs/JQ685962	Mephitis mephitis	Bats	EF-W1	JQ685962	JQ685962/Bats/EF-W1/Mephitis mephitis}
alignment/AL_Bats_DR/member/ncbi-refseqs/JQ685963	Nasua narica	Bats	DR	JQ685963	JQ685963/Bats/DR/Nasua narica}
alignment/AL_Bats_EF-W1/member/ncbi-refseqs/JQ685964	Mephitis mephitis	Bats	EF-W1	JQ685964	JQ685964/Bats/EF-W1/Mephitis mephitis}
alignment/AL_Bats_PH/member/ncbi-refseqs/JQ685965	Parastrellus hesperos	Bats	PH	JQ685965	JQ685965/Bats/PH/Parastrellus hesperos}
alignment/AL_Bats_EF-W1/member/ncbi-refseqs/JQ685966	Mephitis mephitis	Bats	EF-W1	JQ685966	JQ685966/Bats/EF-W1/Mephitis mephitis}
alignment/AL_Cosmopolitan_AM1/member/ncbi-refseqs/JQ685967	Mephitis mephitis	Cosmopolitan	AM1	JQ685967	JQ685967/Cosmopolitan/AM1/Mephitis mephitis}
alignment/AL_RAC-SK/member/ncbi-refseqs/JQ685968	Mephitis mephitis	RAC-SK	-	JQ685968	JQ685968/RAC-SK/-/Mephitis mephitis}
alignment/AL_Bats_EF-W1/member/ncbi-refseqs/JQ685969	Mephitis mephitis	Bats	EF-W1	JQ685969	JQ685969/Bats/EF-W1/Mephitis mephitis}
alignment/AL_Cosmopolitan/member/ncbi-refseqs/JQ685970	Mephitis mephitis	Cosmopolitan	AM4	JQ685970	JQ685970/Cosmopolitan/AM4/Mephitis mephitis}
alignment/AL_Cosmopolitan_AM4/member/ncbi-refseqs/JQ685970	Mephitis mephitis	Cosmopolitan	AM4	JQ685970	JQ685970/Cosmopolitan/AM4/Mephitis mephitis}
alignment/AL_Bats/member/ncbi-refseqs/JQ685971	Antrozous pallidus	Bats	AZ	JQ685971	JQ685971/Bats/AZ/Antrozous pallidus}
alignment/AL_Bats_AZ/member/ncbi-refseqs/JQ685971	Antrozous pallidus	Bats	AZ	JQ685971	JQ685971/Bats/AZ/Antrozous pallidus}
alignment/AL_Bats_EF-W1/member/ncbi-refseqs/JQ685972	Urocyon cinereoargenteus	Bats	EF-W1	JQ685972	JQ685972/Bats/EF-W1/Urocyon cinereoargenteus}
alignment/AL_Bats_EF-W2/member/ncbi-refseqs/JQ685973	Canis latrans	Bats	EF-W2	JQ685973	JQ685973/Bats/EF-W2/Canis latrans}
alignment/AL_Bats_EF-W1/member/ncbi-refseqs/JQ685974	Eptesicus fuscus	Bats	EF-W1	JQ685974	JQ685974/Bats/EF-W1/Eptesicus fuscus}
alignment/AL_Cosmopolitan/member/ncbi-refseqs/JQ685975	Spilogale putorius	Cosmopolitan	Ungrouped	JQ685975	JQ685975/Cosmopolitan/Ungrouped/Spilogale putorius}
alignment/AL_Bats_EF-W1/member/ncbi-refseqs/JQ685976	Urocyon cinereoargenteus	Bats	EF-W1	JQ685976	JQ685976/Bats/EF-W1/Urocyon cinereoargenteus}
alignment/AL_Bats_EF-W2/member/ncbi-refseqs/JQ685977	Urocyon cinereoargenteus	Bats	EF-W2	JQ685977	JQ685977/Bats/EF-W2/Urocyon cinereoargenteus}
alignment/AL_Bats_MYsp/member/ncbi-refseqs/JQ685978	Urocyon cinereoargenteus	Bats	MYsp	JQ685978	JQ685978/Bats/MYsp/Urocyon cinereoargenteus}
alignment/AL_Bats_MYsp/member/ncbi-refseqs/JQ685979	Urocyon cinereoargenteus	Bats	MYsp	JQ685979	JQ685979/Bats/MYsp/Urocyon cinereoargenteus}
alignment/AL_Arctic_A/member/ncbi-refseqs/JQ685980	Canis familiaris	Arctic	A	JQ685980	JQ685980/Arctic/A/Canis familiaris}
alignment/AL_Arctic_AL1a/member/ncbi-refseqs/JQ685981	Homo sapiens	Arctic	AL1a	JQ685981	JQ685981/Arctic/AL1a/Homo sapiens}
alignment/AL_Arctic_A/member/ncbi-refseqs/JQ685982	Vulpes lagopus	Arctic	A	JQ685982	JQ685982/Arctic/A/Vulpes lagopus}
alignment/AL_Arctic_AL2/member/ncbi-refseqs/JQ685983	Vulpes corsac	Arctic	AL2	JQ685983	JQ685983/Arctic/AL2/Vulpes corsac}
alignment/AL_Cosmopolitan/member/ncbi-refseqs/JQ685984	Urocyon cinereoargenteus	Cosmopolitan	TXFX	JQ685984	JQ685984/Cosmopolitan/TXFX/Urocyon cinereoargenteus}
alignment/AL_Cosmopolitan_AM2a/member/ncbi-refseqs/JQ685985	Urocyon cinereoargenteus	Cosmopolitan	AM2a	JQ685985	JQ685985/Cosmopolitan/AM2a/Urocyon cinereoargenteus}
alignment/AL_RAC-SK/member/ncbi-refseqs/JQ685986	Mephitis mephitis	RAC-SK	-	JQ685986	JQ685986/RAC-SK/-/Mephitis mephitis}
alignment/AL_Cosmopolitan_AM1/member/ncbi-refseqs/JQ685987	Vulpes vulpes	Cosmopolitan	AM1	JQ685987	JQ685987/Cosmopolitan/AM1/Vulpes vulpes}
alignment/AL_Arctic_A/member/ncbi-refseqs/JQ685988	Vulpes vulpes	Arctic	A	JQ685988	JQ685988/Arctic/A/Vulpes vulpes}
alignment/AL_Cosmopolitan_AM2a/member/ncbi-refseqs/JQ685989	Urocyon cinereoargenteus	Cosmopolitan	AM2a	JQ685989	JQ685989/Cosmopolitan/AM2a/Urocyon cinereoargenteus}
alignment/AL_Arctic_A/member/ncbi-refseqs/JQ685990	Vulpes vulpes	Arctic	A	JQ685990	JQ685990/Arctic/A/Vulpes vulpes}
alignment/AL_RAC-SK/member/ncbi-refseqs/JQ685991	Canis lupus	RAC-SK	-	JQ685991	JQ685991/RAC-SK/-/Canis lupus}
alignment/AL_Indian-Sub/member/ncbi-refseqs/JQ685992	Bos taurus	Indian-Sub	-	JQ685992	JQ685992/Indian-Sub/-/Bos taurus}
alignment/AL_RAC-SK/member/ncbi-refseqs/JQ685993	Felis catus	RAC-SK	-	JQ685993	JQ685993/RAC-SK/-/Felis catus}
alignment/AL_RAC-SK/member/ncbi-refseqs/JQ685994	Canis latrans	RAC-SK	-	JQ685994	JQ685994/RAC-SK/-/Canis latrans}
alignment/AL_Cosmopolitan/member/ncbi-refseqs/JQ685995	Urocyon cinereoargenteus	Cosmopolitan	TXFX	JQ685995	JQ685995/Cosmopolitan/TXFX/Urocyon cinereoargenteus}
alignment/AL_Bats/member/ncbi-refseqs/JQ685996	Eptesicus fuscus	Bats	EF-E2	JQ685996	JQ685996/Bats/EF-E2/Eptesicus fuscus}
alignment/AL_Bats_MYsp/member/ncbi-refseqs/JQ685997	Myotis sp	Bats	MYsp 	JQ685997	JQ685997/Bats/MYsp /Myotis sp}
alignment/AL_Bats_MYsp/member/ncbi-refseqs/JQ685998	Myotis sp	Bats	MYsp 	JQ685998	JQ685998/Bats/MYsp /Myotis sp}
alignment/AL_Bats_LC/member/ncbi-refseqs/JQ685999	Lasiurus cinereus	Bats	LC	JQ685999	JQ685999/Bats/LC/Lasiurus cinereus}
alignment/AL_Bats_PS/member/ncbi-refseqs/JQ686000	Perimyotis subflavus	Bats	PS	JQ686000	JQ686000/Bats/PS/Perimyotis subflavus}
alignment/AL_Bats_LN/member/ncbi-refseqs/JQ686001	Lasionycteris noctivagans	Bats	LN	JQ686001	JQ686001/Bats/LN/Lasionycteris noctivagans}
alignment/AL_Bats_EF-E1/member/ncbi-refseqs/JQ686002	Eptesicus fuscus	Bats	EF-E1	JQ686002	JQ686002/Bats/EF-E1/Eptesicus fuscus}
alignment/AL_Bats_PS/member/ncbi-refseqs/JQ686003	Perimyotis subflavus	Bats	PS	JQ686003	JQ686003/Bats/PS/Perimyotis subflavus}
alignment/AL_Bats_LN/member/ncbi-refseqs/JQ686004	Lasionycteris noctivagans	Bats	LN	JQ686004	JQ686004/Bats/LN/Lasionycteris noctivagans}
alignment/AL_Bats_LI/member/ncbi-refseqs/JQ686005	Lasiurus intermedius	Bats	LI	JQ686005	JQ686005/Bats/LI/Lasiurus intermedius}
alignment/AL_Bats/member/ncbi-refseqs/JQ686006	Antrozous pallidus	Bats	AP	JQ686006	JQ686006/Bats/AP/Antrozous pallidus}
alignment/AL_Bats_LB/member/ncbi-refseqs/JQ686007	Lasiurus borealis	Bats	LB	JQ686007	JQ686007/Bats/LB/Lasiurus borealis}
alignment/AL_MASTER/member/ncbi-refseqs/JQ686008	Urocyon cinereoargenteus	Ungrouped	Ungrouped	JQ686008	JQ686008/Ungrouped/Ungrouped/Urocyon cinereoargenteus}
alignment/AL_Bats_PS/member/ncbi-refseqs/JQ686009	Vulpes vulpes	Bats	PS	JQ686009	JQ686009/Bats/PS/Vulpes vulpes}
alignment/AL_Bats_EF-E1/member/ncbi-refseqs/JQ686010	Fox (unidentified)	Bats	EF-E1	JQ686010	JQ686010/Bats/EF-E1/Fox (unidentified)}
alignment/AL_Bats_MYsp/member/ncbi-refseqs/JQ686011	Urocyon cinereoargenteus	Bats	MYsp 	JQ686011	JQ686011/Bats/MYsp /Urocyon cinereoargenteus}
alignment/AL_Bats_MYsp/member/ncbi-refseqs/JQ686012	Urocyon cinereoargenteus	Bats	MYsp	JQ686012	JQ686012/Bats/MYsp/Urocyon cinereoargenteus}
alignment/AL_Bats_MYsp/member/ncbi-refseqs/JQ686013	Urocyon cinereoargenteus	Bats	MYsp	JQ686013	JQ686013/Bats/MYsp/Urocyon cinereoargenteus}
alignment/AL_Asian_SEA3/member/ncbi-refseqs/JQ730682	Canis familiaris	Asian	SEA3	JQ730682	JQ730682/Asian/SEA3/Canis familiaris}
alignment/AL_Cosmopolitan_NEE/member/ncbi-refseqs/JQ944704	Nyctereutes procyonoides	Cosmopolitan	NEE	JQ944704	JQ944704/Cosmopolitan/NEE/Nyctereutes procyonoides}
alignment/AL_Cosmopolitan_CA1/member/ncbi-refseqs/JQ944705	Canis familiaris	Cosmopolitan	CA1	JQ944705	JQ944705/Cosmopolitan/CA1/Canis familiaris}
alignment/AL_Cosmopolitan_CA2/member/ncbi-refseqs/JQ944706	Canis familiaris	Cosmopolitan	CA2	JQ944706	JQ944706/Cosmopolitan/CA2/Canis familiaris}
alignment/AL_Arctic_A/member/ncbi-refseqs/JQ944707	Und.	Arctic	A	JQ944707	JQ944707/Arctic/A/Und.}
alignment/AL_Cosmopolitan_CA3/member/ncbi-refseqs/JQ944708	Vulpes vulpes	Cosmopolitan	CA3	JQ944708	JQ944708/Cosmopolitan/CA3/Vulpes vulpes}
alignment/AL_Asian_SEA2a/member/ncbi-refseqs/JQ970480	Canis familiaris	Asian	SEA2a	JQ970480	JQ970480/Asian/SEA2a/Canis familiaris}
alignment/AL_Asian_SEA1b/member/ncbi-refseqs/JQ970481	Canis familiaris	Asian	SEA1b	JQ970481	JQ970481/Asian/SEA1b/Canis familiaris}
alignment/AL_Asian_SEA1b/member/ncbi-refseqs/JQ970482	Canis familiaris	Asian	SEA1b	JQ970482	JQ970482/Asian/SEA1b/Canis familiaris}
alignment/AL_Asian_SEA1b/member/ncbi-refseqs/JQ970483	Canis familiaris	Asian	SEA1b	JQ970483	JQ970483/Asian/SEA1b/Canis familiaris}
alignment/AL_Asian_SEA1b/member/ncbi-refseqs/JQ970484	Canis familiaris	Asian	SEA1b	JQ970484	JQ970484/Asian/SEA1b/Canis familiaris}
alignment/AL_Asian_SEA1b/member/ncbi-refseqs/JQ970485	Canis familiaris	Asian	SEA1b	JQ970485	JQ970485/Asian/SEA1b/Canis familiaris}
alignment/AL_Asian_SEA1b/member/ncbi-refseqs/JQ970486	Canis familiaris	Asian	SEA1b	JQ970486	JQ970486/Asian/SEA1b/Canis familiaris}
alignment/AL_Asian_SEA1b/member/ncbi-refseqs/JQ970487	Canis familiaris	Asian	SEA1b	JQ970487	JQ970487/Asian/SEA1b/Canis familiaris}
alignment/AL_Asian_SEA2a/member/ncbi-refseqs/JX088694	Sus domesticus	Asian	SEA2a	JX088694	JX088694/Asian/SEA2a/Sus domesticus}
alignment/AL_Cosmopolitan_AF1b/member/ncbi-refseqs/JX473838	Und.	Cosmopolitan	AF1b	JX473838	JX473838/Cosmopolitan/AF1b/Und.}
alignment/AL_Cosmopolitan_AF1b/member/ncbi-refseqs/JX473839	Und.	Cosmopolitan	AF1b	JX473839	JX473839/Cosmopolitan/AF1b/Und.}
alignment/AL_Cosmopolitan_AF1b/member/ncbi-refseqs/JX473840	Tragelaphus strepsiceros	Cosmopolitan	AF1b	JX473840	JX473840/Cosmopolitan/AF1b/Tragelaphus strepsiceros}
alignment/AL_Cosmopolitan_AF1b/member/ncbi-refseqs/JX473841	Tragelaphus strepsiceros	Cosmopolitan	AF1b	JX473841	JX473841/Cosmopolitan/AF1b/Tragelaphus strepsiceros}
alignment/AL_Asian_SEA1b/member/ncbi-refseqs/KC169986	Bos taurus	Asian	SEA1b	KC169986	KC169986/Asian/SEA1b/Bos taurus}
alignment/AL_Arctic_AL2/member/ncbi-refseqs/KC171643	Bos taurus	Arctic	AL2	KC171643	KC171643/Arctic/AL2/Bos taurus}
alignment/AL_Arctic_AL2/member/ncbi-refseqs/KC171644	Nyctereutes procyonoides	Arctic	AL2	KC171644	KC171644/Arctic/AL2/Nyctereutes procyonoides}
alignment/AL_Arctic/member/ncbi-refseqs/KC171645	Nyctereutes procyonoides	Arctic	AL2	KC171645	KC171645/Arctic/AL2/Nyctereutes procyonoides}
alignment/AL_Arctic_AL2/member/ncbi-refseqs/KC171645	Nyctereutes procyonoides	Arctic	AL2	KC171645	KC171645/Arctic/AL2/Nyctereutes procyonoides}
alignment/AL_Asian_SEA1b/member/ncbi-refseqs/KC193267	Bos taurus	Asian	SEA1b	KC193267	KC193267/Asian/SEA1b/Bos taurus}
alignment/AL_Africa-2/member/ncbi-refseqs/KC196743	Canis familiaris	Africa-2	-	KC196743	KC196743/Africa-2/-/Canis familiaris}
alignment/AL_Asian_SEA1b/member/ncbi-refseqs/KC252634	Canis familiaris	Asian	SEA1b	KC252634	KC252634/Asian/SEA1b/Canis familiaris}
alignment/AL_Cosmopolitan_CA1/member/ncbi-refseqs/KC595280	Vulpes vulpes	Cosmopolitan	CA1	KC595280	KC595280/Cosmopolitan/CA1/Vulpes vulpes}
alignment/AL_Cosmopolitan_CA1/member/ncbi-refseqs/KC595281	Felis catus	Cosmopolitan	CA1	KC595281	KC595281/Cosmopolitan/CA1/Felis catus}
alignment/AL_Cosmopolitan_CA1/member/ncbi-refseqs/KC595282	Vulpes vulpes	Cosmopolitan	CA1	KC595282	KC595282/Cosmopolitan/CA1/Vulpes vulpes}
alignment/AL_Cosmopolitan_CA1/member/ncbi-refseqs/KC595283	Vulpes vulpes	Cosmopolitan	CA1	KC595283	KC595283/Cosmopolitan/CA1/Vulpes vulpes}
