taxon	host	major_clade	minor_clade	cluster	sequenceID	everything	isolate	sequenceID_plus_isolate_plus_minor_clade	sequenceID_plus_cluster
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148156	Nyctereutes procyonoides	Cosmopolitan	NEE	-	KX148156	KX148156/Cosmopolitan/NEE/-/Nyctereutes procyonoides}	93042EST	KX148156/93042EST/NEE	KX148156/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148159	Ovis aries	Cosmopolitan	CA1	-	KX148159	KX148159/Cosmopolitan/CA1/-/Ovis aries}	86082IRA	KX148159/86082IRA/CA1	KX148159/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148160	Homo sapiens	Cosmopolitan	CA3	-	KX148160	KX148160/Cosmopolitan/CA3/-/Homo sapiens}	92015HON	KX148160/92015HON/CA3	KX148160/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148161	Vulpes vulpes	Cosmopolitan	YUGFOX	-	KX148161	KX148161/Cosmopolitan/YUGFOX/-/Vulpes vulpes}	86133SER	KX148161/86133SER/YUGFOX	KX148161/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148162	Canis familiaris	Cosmopolitan	ME2	-	KX148162	KX148162/Cosmopolitan/ME2/-/Canis familiaris}	94002TUR	KX148162/94002TUR/ME2	KX148162/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148168	Und.	Cosmopolitan	ME1a	-	KX148168	KX148168/Cosmopolitan/ME1a/-/Und.}	87006ARS	KX148168/87006ARS/ME1a	KX148168/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148180	Und.	Cosmopolitan	ME1a	-	KX148180	KX148180/Cosmopolitan/ME1a/-/Und.}	93030ISR	KX148180/93030ISR/ME1a	KX148180/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148186	Canis pallipes	Cosmopolitan	ME1a	-	KX148186	KX148186/Cosmopolitan/ME1a/-/Canis pallipes}	87002IRA	KX148186/87002IRA/ME1a	KX148186/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148190	Canis aureus	Cosmopolitan	ME1a	-	KX148190	KX148190/Cosmopolitan/ME1a/-/Canis aureus}	93008IRA	KX148190/93008IRA/ME1a	KX148190/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148191	Canis aureus	Cosmopolitan	ME1b	-	KX148191	KX148191/Cosmopolitan/ME1b/-/Canis aureus}	93032ISR	KX148191/93032ISR/ME1b	KX148191/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148194	Canis familiaris	Cosmopolitan	AF1a	-	KX148194	KX148194/Cosmopolitan/AF1a/-/Canis familiaris}	89017MAR	KX148194/89017MAR/AF1a	KX148194/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148197	Canis familiaris	Cosmopolitan	AF1a	-	KX148197	KX148197/Cosmopolitan/AF1a/-/Canis familiaris}	15006FRA	KX148197/15006FRA/AF1a	KX148197/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148198	Canis familiaris	Cosmopolitan	AF1a	-	KX148198	KX148198/Cosmopolitan/AF1a/-/Canis familiaris}	93128SOM	KX148198/93128SOM/AF1a	KX148198/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148200	Canis familiaris	Cosmopolitan	AF1a	-	KX148200	KX148200/Cosmopolitan/AF1a/-/Canis familiaris}	88008ETH	KX148200/88008ETH/AF1a	KX148200/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148201	Canis familiaris	Cosmopolitan	AF1a	-	KX148201	KX148201/Cosmopolitan/AF1a/-/Canis familiaris}	86003BRE	KX148201/86003BRE/AF1a	KX148201/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148202	Canis familiaris	Cosmopolitan	AF1a	-	KX148202	KX148202/Cosmopolitan/AF1a/-/Canis familiaris}	95049GAB	KX148202/95049GAB/AF1a	KX148202/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148204	Canis familiaris	Cosmopolitan	AF1b	-	KX148204	KX148204/Cosmopolitan/AF1b/-/Canis familiaris}	92030NAM	KX148204/92030NAM/AF1b	KX148204/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148205	Canis familiaris	Cosmopolitan	AF1b	-	KX148205	KX148205/Cosmopolitan/AF1b/-/Canis familiaris}	94289RWA	KX148205/94289RWA/AF1b	KX148205/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148206	Canis familiaris	Cosmopolitan	AF1b	-	KX148206	KX148206/Cosmopolitan/AF1b/-/Canis familiaris}	96013TAN	KX148206/96013TAN/AF1b	KX148206/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148208	Canis familiaris	Cosmopolitan	AF1b	-	KX148208	KX148208/Cosmopolitan/AF1b/-/Canis familiaris}	92029CAR	KX148208/92029CAR/AF1b	KX148208/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148211	Canis familiaris	Cosmopolitan	AF1c	-	KX148211	KX148211/Cosmopolitan/AF1c/-/Canis familiaris}	86046MAD	KX148211/86046MAD/AF1c	KX148211/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148212	Canis aureus	Cosmopolitan	CA2	-	KX148212	KX148212/Cosmopolitan/CA2/-/Canis aureus}	93019IRA	KX148212/93019IRA/CA2	KX148212/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148213	Und.	Cosmopolitan	AM1	-	KX148213	KX148213/Cosmopolitan/AM1/-/Und.}	91001USA	KX148213/91001USA/AM1	KX148213/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148216	Canis familiaris	Cosmopolitan	AM3a	-	KX148216	KX148216/Cosmopolitan/AM3a/-/Canis familiaris}	86001BRE	KX148216/86001BRE/AM3a	KX148216/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148217	Canis familiaris	Cosmopolitan	AM3b	-	KX148217	KX148217/Cosmopolitan/AM3b/-/Canis familiaris}	86123BRE	KX148217/86123BRE/AM3b	KX148217/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148218	Felis silvestris	Africa-3	-	-	KX148218	KX148218/Africa-3/-/-/Felis silvestris}	14016BOT	KX148218/14016BOT/-	KX148218/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148220	Cynictis penicillata	Africa-3	-	-	KX148220	KX148220/Africa-3/-/-/Cynictis penicillata}	15001AFS	KX148220/15001AFS/-	KX148220/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148222	Xerus Inauris	Africa-3	-	-	KX148222	KX148222/Africa-3/-/-/Xerus Inauris}	15003AFS	KX148222/15003AFS/-	KX148222/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148223	Und.	Africa-3	-	-	KX148223	KX148223/Africa-3/-/-/Und.}	14018AFS	KX148223/14018AFS/-	KX148223/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148225	Canis familiaris	Arctic	AL1b	-	KX148225	KX148225/Arctic/AL1b/-/Canis familiaris}	02052AFG	KX148225/02052AFG/AL1b	KX148225/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148227	Canis familiaris	Arctic	AL1b	-	KX148227	KX148227/Arctic/AL1b/-/Canis familiaris}	04029AFG	KX148227/04029AFG/AL1b	KX148227/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148228	Canis familiaris	Arctic	AL3	-	KX148228	KX148228/Arctic/AL3/-/Canis familiaris}	99001NEP	KX148228/99001NEP/AL3	KX148228/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148229	Canis familiaris	Africa-2	-	-	KX148229	KX148229/Africa-2/-/-/Canis familiaris}	90012NIG	KX148229/90012NIG/-	KX148229/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148234	Canis familiaris	Africa-2	-	-	KX148234	KX148234/Africa-2/-/-/Canis familiaris}	86036HAV	KX148234/86036HAV/-	KX148234/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148238	Canis familiaris	Africa-2	-	-	KX148238	KX148238/Africa-2/-/-/Canis familiaris}	93003SEN	KX148238/93003SEN/-	KX148238/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148243	Canis familiaris	Africa-2	-	-	KX148243	KX148243/Africa-2/-/-/Canis familiaris}	88003CAM	KX148243/88003CAM/-	KX148243/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148244	Canis familiaris	Africa-2	-	-	KX148244	KX148244/Africa-2/-/-/Canis familiaris}	90024GUI	KX148244/90024GUI/-	KX148244/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148245	Und.	Indian-Sub	-	-	KX148245	KX148245/Indian-Sub/-/-/Und.}	09029NEP	KX148245/09029NEP/-	KX148245/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148246	Homo sapiens	Indian-Sub	-	-	KX148246	KX148246/Indian-Sub/-/-/Homo sapiens}	97002IND	KX148246/97002IND/-	KX148246/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148247	Canis familiaris	Asian	SEA3	-	KX148247	KX148247/Asian/SEA3/-/Canis familiaris}	99009BIR	KX148247/99009BIR/SEA3	KX148247/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148249	Canis familiaris	Asian	SEA3	-	KX148249	KX148249/Asian/SEA3/-/Canis familiaris}	02006CBG	KX148249/02006CBG/SEA3	KX148249/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148255	Canis familiaris	Asian	SEA3	-	KX148255	KX148255/Asian/SEA3/-/Canis familiaris}	99010LAO	KX148255/99010LAO/SEA3	KX148255/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148259	Canis familiaris	Asian	SEA4	-	KX148259	KX148259/Asian/SEA4/-/Canis familiaris}	94272PHI	KX148259/94272PHI/SEA4	KX148259/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148263	Canis familiaris	Asian	SEA4	-	KX148263	KX148263/Asian/SEA4/-/Canis familiaris}	94275PHI	KX148263/94275PHI/SEA4	KX148263/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148265	Canis familiaris	Asian	SEA1b	-	KX148265	KX148265/Asian/SEA1b/-/Canis familiaris}	98011CHI	KX148265/98011CHI/SEA1b	KX148265/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148266	Canis familiaris	Asian	SEA1b	-	KX148266	KX148266/Asian/SEA1b/-/Canis familiaris}	03003INDO	KX148266/03003INDO/SEA1b	KX148266/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/KX148268	Canis familiaris	Bats	DR	-	KX148268	KX148268/Bats/DR/-/Canis familiaris}	90001FRA	KX148268/90001FRA/DR	KX148268/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/NC_001542	Vaccine strain	Cosmopolitan	Vac	-	NC_001542	NC_001542/Cosmopolitan/Vac/-/Vaccine strain}	PV_RefSeq	NC_001542/PV_RefSeq/Vac	NC_001542/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/U22488	Homo sapiens	Cosmopolitan	AF1b	-	U22488	U22488/Cosmopolitan/AF1b/-/Homo sapiens}	8670NGA	U22488/8670NGA/AF1b	U22488/-
alignment/AL_UNC_509_REFSEQS_HM/member/ncbi-refseqs/U43432	Nyctereutes procyonoides	Cosmopolitan	NEE	-	U43432	U43432/Cosmopolitan/NEE/-/Nyctereutes procyonoides}	9342EST	U43432/9342EST/NEE	U43432/-
