Accession	Strain	Country	Location	Common_name	Species_latin_binomial	Year	Major_clade	Minor_clade	Source	Reference	Coverage	Dataset
JQ685930	SM5103	USA	AZ/Flagstaff	Striped skunk	Mephitis mephitis	2001	Bats	EF-W1	Original brain	This study	N, P, M, G, L	Troupin
AY170413	SM5450	USA	AZ/Flagstaff	Big brown bat	Eptesicus fuscus	2001	Bats	EF-W1	Original brain	[1]	N	Troupin
JQ685966	SM5470	USA	AZ/Flagstaff	Striped skunk	Mephitis mephitis	2001	Bats	EF-W1	Original brain	Troupin	Complete genome	Troupin
JQ685964	SM5596	USA	AZ/Flagstaff	Striped skunk	Mephitis mephitis	2004	Bats	EF-W1	Original brain	Troupin	Complete genome	Troupin
AF369342	V230.BBB	USA	TX	Big brown bat	Eptesicus fuscus	1994	Bats	EF-W1		[18]	P	Troupin
JQ685973	A11-1043	USA	OR	Coyote	Canis latrans	2011	Bats	EF-W2	Original brain	Troupin	Complete genome	Troupin
JQ685942	AZBAT-65094	USA	AZ	Big brown bat	Eptesicus fuscus	1981	Bats	EF-W2	Mouse	This study	Complete genome	Troupin
JQ685903	ca04148	USA	CA	Big brown bat	Eptesicus fuscus	2004	Bats	EF-W2	N-P-M-G - original brain; L and termini - mouse	This study	Complete genome	Troupin
JQ685931	WA0173	USA	WA	Big brown bat	Eptesicus fuscus	2000	Bats	EF-W2	N-P-M-G - original brain; L and termini - mouse	This study	Complete genome	Troupin
AF394887	804	USA	CA	Big brown bat	Eptesicus fuscus	1987	Bats	EF-W2		[17]	N	Troupin
AF351830	EF22	Canada	BC	Big brown bat	Eptesicus fuscus	1988	Bats	EF-W2		[15]	N	Troupin
JQ685948	OR05455	USA	OR	Gray Fox	Urocyon cinereoargenteus	2010	Bats	EF-W2	Original brain	This study	Complete genome	Troupin
JQ685977	OR58	USA	OR	Gray Fox	Urocyon cinereoargenteus	2010	Bats	EF-W2	Original brain	Troupin	N, P, M, G, L	Troupin
JQ685914	OR703	USA	OR	Gray Fox	Urocyon cinereoargenteus	2010	Bats	EF-W2	Original brain	This study	N, P, M, G, L	Troupin
JQ685924	OR704	USA	OR	Gray Fox	Urocyon cinereoargenteus	2010	Bats	EF-W2	Original brain	This study	N, P, M, G, L	Troupin
AF369341	V078.BBB	Canada		Big brown bat	Eptesicus fuscus	1988	Bats	EF-W2		[18]	P	Troupin
GU644683	wa1043	USA	WA	Big brown bat	Eptesicus fuscus	2003	Bats	EF-W2	Original brain	[16]	N	Troupin
GU644851	wa1086	USA	WA	Big brown bat	Eptesicus fuscus	2003	Bats	EF-W2	Original brain	[16]	N	Troupin
GU644682	wa267	USA	WA	Big brown bat	Eptesicus fuscus	2000	Bats	EF-W2	Original brain	[16]	N	Troupin
AB383168	BR-EF1	Brazil		Argentinian brown bat	Eptesicus furinalis		Bats	EFu 		[20]	G	Troupin
AB383170	BR-EF3	Brazil		Argentinian brown bat	Eptesicus furinalis		Bats	EFu 		[20]	G	Troupin
AB383171	BR-EF4	Brazil		Argentinian brown bat	Eptesicus furinalis		Bats	EFu 		[20]	G	Troupin
AB383172	BR-NL2	Brazil		Broad-eared bat	Nyctinomops laticaudatus		Bats	EFu 		[20]	G	Troupin
AB383165		Brazil		Non-hematophagous bat			Bats	EFu 		[20]	G	Troupin
AB383166		Brazil		Non-hematophagous bat			Bats	EFu 		[20]	G	Troupin
AB383167		Brazil		Black bonneted bat	Eumops auripendulus		Bats	EFu 		[20]	G	Troupin
JQ685919	NJ2262	USA	NJ	Eastern red bat	Lasiurus borealis	2005	Bats	LB	N-P-M-G - original brain; L and termini - mouse	This study	Complete genome	Troupin
JQ685902	TN209	USA	TN	Eastern red bat	Lasiurus borealis	2005	Bats	LB	N-P-M-G - original brain; L and termini - mouse	This study	Complete genome	Troupin
AF369351	6832.RB	Canada		Eastern red bat	Lasiurus borealis	1991	Bats	LB		[18]	P	Troupin
JQ686007	LAH60	USA	NC	Eastern red bat	Lasiurus borealis	2010	Bats	LB	Original brain	Troupin	G	Troupin
AF369348	V231.RB	USA	TX	Eastern red bat	Lasiurus borealis	1994	Bats	LB		[18]	P	Troupin
JQ685999	T94-0237	USA	CA	Hoary bat	Lasiurus cinereus	1994	Bats	LC	Original brain	Troupin	G	Troupin
JQ685947	TN310	USA	TN	Hoary bat	Lasiurus cinereus	2004	Bats	LC	N-P-M-G - original brain; L and termini - mouse	This study	Complete genome	Troupin
AF369347	V103.HB	Canada		Hoary bat	Lasiurus cinereus	1992	Bats	LC		[18]	P	Troupin
AB383163		Brazil		Non-hematophagous bat			Bats	LC		Sato, unpublished	G	Troupin
AB383164		Brazil		Non-hematophagous bat			Bats	LC		Sato, unpublished	G	Troupin
JQ685916	FL1010	USA	FL	Northern yellow bat	Lasiurus intermedius	2002	Bats	LI	N-P-M-G - original brain; L and termini - mouse	This study	Complete genome	Troupin
JQ685915	TX4904	USA	TX	Northern yellow bat	Lasiurus intermedius	2002	Bats	LI	N-P-M-G - original brain; L and termini - mouse	This study	Complete genome	Troupin
JQ686005	A10-3653	USA	FL	Northern yellow bat	Lasiurus intermedius	2008	Bats	LI	Original brain	Troupin	G	Troupin
JQ685895	WA1185	USA	WA	Silver-haired bat	Lasionycteris noctivagans	2003	Bats	LN	N-P-M-G - original brain; L and termini - mouse	This study	Complete genome	Troupin
JQ686004	A10-3672	USA	AL	Silver-haired bat	Lasionycteris noctivagans	2009	Bats	LN	Original brain	Troupin	G	Troupin
AF369345	4398.SHB	Canada		Silver-haired bat	Lasionycteris noctivagans	1980	Bats	LN		[18]	P	Troupin
JQ686001	AW3565	USA	AL	Silver-haired bat	Lasionycteris noctivagans	2010	Bats	LN	Original brain	Troupin	G	Troupin
AF369346	V077.SHB	Canada		Silver-haired bat	Lasionycteris noctivagans	1988	Bats	LN		[18]	P	Troupin
AF369356	V158.SHB	Canada		Silver-haired bat	Lasionycteris noctivagans	1991	Bats	LN		[18]	P	Troupin
U52946		USA	CA	Human 	Homo sapiens	1994	Bats	LN		[21]	G	Troupin
JQ685900	FL769	USA	FL	Seminole bat	Lasiurus seminolus	2003	Bats	LS	N-P-M-G - original brain; L and termini - mouse	This study	Complete genome	Troupin
JQ685910	TX5960	USA	TX	Seminole bat	Lasiurus xanthinus	2002	Bats	LX	N-P-M-G - original brain; L and termini - mouse	This study	Complete genome	Troupin
JQ685921	FL1078	USA	FL	Southeastern myotis	Myotis austroriparius	2001	Bats	MYsp	N-P-M-G - original brain; L and termini - mouse	This study	Complete genome	Troupin
JQ685918	OR05506	USA	OR	Gray Fox	Urocyon cinereoargenteus	2010	Bats	MYsp	Original brain	This study	Complete genome	Troupin
JQ685957	OR8767	USA	OR	Gray Fox	Urocyon cinereoargenteus	2009	Bats	MYsp	Original brain	Troupin	Complete genome	Troupin
AF351836	MC2	Canada	BC	California myotis	Myotis californicus	1992	Bats	MYsp		[15]	N	Troupin
AF351835	ME1	Canada	BC	Long-eared myotis	Myotis evotis	1992	Bats	MYsp		[15]	N	Troupin
AF351839	ML4	Canada	BC	Little brown bat	Myotis lucifugus	1992	Bats	MYsp		[15]	N	Troupin
AF351838	ML6	Canada	NS	Little brown bat	Myotis lucifugus	1994	Bats	MYsp		[15]	N	Troupin
JQ685979	OR43	USA	OR	Gray Fox	Urocyon cinereoargenteus	2000	Bats	MYsp	Original brain	This study	N	Troupin
JQ686013	OR43	USA	OR	Gray Fox	Urocyon cinereoargenteus	2000	Bats	MYsp	Original brain	Troupin	G	Troupin
JQ685978	OR59	USA	OR	Gray Fox	Urocyon cinereoargenteus	2006	Bats	MYsp	Original brain	TroupinTroupin	N	Troupin
JQ686012	OR59	USA	OR	Gray Fox	Urocyon cinereoargenteus	2006	Bats	MYsp	Original brain	Troupin	G	Troupin
JQ685997	A10-5170	USA	ID		Myotis sp	2010	Bats	MYsp 	Original brain	Troupin	G	Troupin
AF369349	3694.MYO	Canada			Myotis sp	1996	Bats	MYsp 		[18]	P	Troupin
AF369344	4887.LBB	Canada		Little brown bat	Myotis lucifugus	1994	Bats	MYsp 		[18]	P	Troupin
AF369352	7890.LBB	Canada		Little brown bat	Myotis lucifugus	1997	Bats	MYsp 		[18]	P	Troupin
AF369353	9499.MYO	Canada		Red fox	Vulpes vulpes	1993	Bats	MYsp 		[18]	P	Troupin
JQ686011	OR-062011	USA	OR	Gray Fox	Urocyon cinereoargenteus	2011	Bats	MYsp 	Original brain	Troupin	G	Troupin
JQ685998	T91-0038	USA	CA		Myotis sp	1991	Bats	MYsp 	Original brain	Troupin	G	Troupin
AF325494	USA8-BT	USA	MT		Myotis sp	1981	Bats	MYsp 		[19]	G	Troupin
AF325495	USA9-BT	USA	MT		Myotis sp	1982	Bats	MYsp 		[19]	G	Troupin
AF369343	V089.LBB	Canada		Little brown bat	Myotis lucifugus	1992	Bats	MYsp 		[18]	P	Troupin
AF369354	V102.MYO	Canada		Long-eared myotis	Myotis evotis	1992	Bats	MYsp 		[18]	P	Troupin
AF369358	V179.LBB	Canada		Little brown bat	Myotis lucifugus	1993	Bats	MYsp 		[18]	P	Troupin
JQ685952	A02-2971	USA	CA	Canyon bat	Parastrellus hesperos	2002	Bats	PH	N-P-M-G - original brain; L and termini - mouse	This study	Complete genome	Troupin
JQ685965	A02-2972	USA	AZ	Canyon bat	Parastrellus hesperos	2002	Bats	PH	N-P-M-G - original brain; L and termini - mouse	Troupin	Complete genome	Troupin
AY705373	SHBRV18	USA		Human 	Homo sapiens	1983	Bats	PS	mouse	[14]	Complete genome	Troupin
JQ685922	TN186	USA	TN	Tricolored bat	Perimyotis subflavus	2005	Bats	PS	N-P-M-G - original brain; L and termini - mouse	This study	Complete genome	Troupin
JQ686003	A10-5102	USA	NC	Tricolored bat	Perimyotis subflavus	2010	Bats	PS	Original brain	Troupin	G	Troupin
JQ686009	A11-5737	USA	VA	Red fox	Vulpes vulpes	2011	Bats	PS	Original brain	Troupin	G	Troupin
JQ686000	US07-010	USA	NC	Tricolored bat	Perimyotis subflavus	2010	Bats	PS	Original brain	Troupin	G	Troupin
KX148269	97004ARG	Argentina		Mexican free-tailed bat	Tadarida brasiliensis	1997	Bats	TB	Mouse	This study	Complete genome	Kuzmin
EU293116	9704ARG	Argentina		Mexican free-tailed bat	Tadarida brasilensis	1997	Bats	TB		[3]	Complete genome	Troupin
AF351850	IB-Ch	Chile			Tadarida sp	1988	Bats	TB		[15]	N	Troupin
KX148195	04031MAR	Morocco		Dog 	Canis familiaris	2004	Cosmopolitan	AF1a	Original brain	This study	Complete genome	Kuzmin
KX148193	08342MAR	Morocco		Dog 	Canis familiaris	2008	Cosmopolitan	AF1a	Original brain	This study	Complete genome	Kuzmin
KX148197	15006FRA	Algeria		Dog 	Canis familiaris	2015	Cosmopolitan	AF1a	Original brain	This study	Complete genome	Kuzmin
KX148201	86003BRE	Nigeria		Dog 	Canis familiaris	1986	Cosmopolitan	AF1a	Original brain	This study	Complete genome	Kuzmin
KX148200	88008ETH	Ethiopia		Dog 	Canis familiaris	1988	Cosmopolitan	AF1a	Original brain	This study	Complete genome	Kuzmin
U22637	8807ETH	Ethiopia		Spotted hyena	Crocuta crocuta	1987	Cosmopolitan	AF1a		[7]	N	Troupin
KX148194	89017MAR	Morocco		Dog 	Canis familiaris	1989	Cosmopolitan	AF1a	Original brain	This study	Complete genome	Kuzmin
KX148196	90016MAR	Morocco		Dog 	Canis familiaris	1990	Cosmopolitan	AF1a	Original brain	This study	Complete genome	Kuzmin
KX148199	93006SOM	Somalia		Jackal	Canis mesomelas	1993	Cosmopolitan	AF1a	Original brain	This study	Complete genome	Kuzmin
KX148198	93128SOM	Somalia		Dog 	Canis familiaris	1993	Cosmopolitan	AF1a	Original brain	This study	Complete genome	Kuzmin
KX148202	95049GAB	Gabon		Dog 	Canis familiaris	1995	Cosmopolitan	AF1a	Original brain	This study	Complete genome	Kuzmin
AF325467	MOR2-DG	Marocco		Dog 	Canis familiaris	1987	Cosmopolitan	AF1a		[19]	G	Troupin
AF325469	MOR3-HM	Morocco		Human 	Homo sapiens	1990	Cosmopolitan	AF1a		[19]	G	Troupin
KF155001	RV2627	Morocco		Cow	Bos taurus	2009	Cosmopolitan	AF1a	Original brain		Complete genome	Kuzmin
KP723638	RV2985	Ethiopia		Ethiopian wolf 	Canis simensis	2014	Cosmopolitan	AF1a	Original brain		Complete genome	Kuzmin
AF325466	TUN1-HM	Tunissia		Human 	Homo sapiens	1986	Cosmopolitan	AF1a		[19]	G	Troupin
AF369322	V027.DG	Tunisia		Dog 	Canis familiaris	1988	Cosmopolitan	AF1a		[18]	P	Troupin
AF369331	V667.DG	Ethiopia		Dog 	Canis familiaris		Cosmopolitan	AF1a		[18]	P	Troupin
KX148207	14015ITA	Kenya		Human 	Homo sapiens	2014	Cosmopolitan	AF1b	Original brain	This study	Complete genome	Kuzmin
JX473838	178J09	Namibia		Jackal	Und.	2009	Cosmopolitan	AF1b		Scott et al. unpublished	Complete genome	Kuzmin
JX473839	192J09	Namibia		Jackal	Und.	2009	Cosmopolitan	AF1b		Scott et al. unpublished	Complete genome	Kuzmin
JX473840	239K09	Namibia		Namibian kudu	Tragelaphus strepsiceros	2009	Cosmopolitan	AF1b		Scott et al. unpublished	Complete genome	Kuzmin
JX473841	240K09	Namibia		Namibian kudu	Tragelaphus strepsiceros	2009	Cosmopolitan	AF1b		Scott et al. unpublished	Complete genome	Kuzmin
KX148203	86031MOZ	Mozambique		Dog 	Canis familiaris	1986	Cosmopolitan	AF1b	Mouse	This study	Complete genome	Kuzmin
U22488	8670NGA	Nigeria		Human 	Homo sapiens	1983	Cosmopolitan	AF1b		[7]	N	Troupin
KX148103	87021AFS	South Africa		Human 	Homo sapiens	1981	Cosmopolitan	AF1b	Mouse	This study	Complete genome	Kuzmin
KX148208	92029CAR	Central African Republic		Dog 	Canis familiaris	1992	Cosmopolitan	AF1b	Original brain	This study	Complete genome	Kuzmin
KX148204	92030NAM	Namibia		Dog 	Canis familiaris	1992	Cosmopolitan	AF1b	Original brain	This study	Complete genome	Kuzmin
U22648	9224TAN	Tanzania		Dog 	Canis familiaris	1992	Cosmopolitan	AF1b		[7]	N	Troupin
KX148205	94289RWA	Rwanda		Dog 	Canis familiaris	1994	Cosmopolitan	AF1b	Original brain	This study	Complete genome	Kuzmin
KX148206	96013TAN	Tanzania		Dog 	Canis familiaris	1996	Cosmopolitan	AF1b	Original brain	This study	Complete genome	Kuzmin
KF155002	RV2772	Tanzania		Dog 	Canis familiaris	2009	Cosmopolitan	AF1b	Original brain		Complete genome	Kuzmin
AF369297	V250.CD	S. Africa		Dog 	Canis familiaris	1994	Cosmopolitan	AF1b		[18]	P	Troupin
AF369333	V670.DG	Tanzania		Dog 	Canis familiaris		Cosmopolitan	AF1b		[18]	P	Troupin
KX148209	04033MAD	Madagascar		Dog 	Canis familiaris	2004	Cosmopolitan	AF1c	Original brain	This study	Complete genome	Kuzmin
KX148211	86046MAD	Madagascar		Dog 	Canis familiaris	1986	Cosmopolitan	AF1c	Original brain	This study	Complete genome	Kuzmin
KX148210	98002MAD	Madagascar		Human 	Homo sapiens	1998	Cosmopolitan	AF1c	Original brain	This study	Complete genome	Kuzmin
AF325478	MAD1-DG	Madagascar		Dog 	Canis familiaris	1985	Cosmopolitan	AF1c		[19]	G	Troupin
KX148101	86092EGY	Egypt		Human 	Homo sapiens	1979	Cosmopolitan	AF4	Mouse	This study	Complete genome	Kuzmin
KF154998	RV2324	Israel		Dog 	Canis familiaris	1950	Cosmopolitan	AF4			Complete genome	Kuzmin
AB645847	1088	USA		Woodchuck	Marmota monax	2008	Cosmopolitan	AM1	Mouse		Complete genome	Kuzmin
JQ685987	A10-6931	MN		Red fox	Vulpes vulpes		Cosmopolitan	AM1	Original brain	Troupin	G	Troupin
AF369286	1741WC.SK	Canada		Striped skunk	Mephitis mephitis	1992	Cosmopolitan	AM1		[18]	P	Troupin
AF369285	867WC.SK	Canada		Striped skunk	Mephitis mephitis	1992	Cosmopolitan	AM1		[18]	P	Troupin
KX148213	91001USA	USA		Skunk	Und.	1982	Cosmopolitan	AM1	Mouse	This study	Complete genome	Kuzmin
JQ685967	NC1234			Striped skunk	Mephitis mephitis		Cosmopolitan	AM1	Original brain	Troupin	Complete genome	Troupin
JQ685944	NC839	USA	TN	Striped skunk	Mephitis mephitis	1984	Cosmopolitan	AM1	Original brain	This study	Complete genome	Troupin
JQ685985	A10-3932	AZ		Gray Fox	Urocyon cinereoargenteus	2010	Cosmopolitan	AM2a	Original brain	Troupin	G	Troupin
KX148112	91010MEX	Mexico		Human 	Homo sapiens	1991	Cosmopolitan	AM2a	Mouse	This study	Complete genome	Kuzmin
KX148110	91014MEX	Mexico		Dog 	Canis familiaris	1991	Cosmopolitan	AM2a	Original brain	This study	Complete genome	Kuzmin
KX148111	91015MEX	Mexico		Dog 	Canis familiaris	1991	Cosmopolitan	AM2a	Original brain	This study	Complete genome	Kuzmin
KX148102	91026MEX	Mexico		Dog 	Canis familiaris	1991	Cosmopolitan	AM2a	Mouse	This study	Complete genome	Kuzmin
JQ685989	A10-001	AZ		Gray Fox	Urocyon cinereoargenteus	2010	Cosmopolitan	AM2a	Original brain	Troupin	G	Troupin
HQ450386	DRV_Mexico	Mexico		Dog 	Canis familiaris		Cosmopolitan	AM2a	Mouse		Complete genome	Kuzmin
AF325477	MEX1-DG	Mexico		Dog 	Canis familiaris	1991	Cosmopolitan	AM2a		[19]	G	Troupin
AF369289	V213.SK	USA	TX	Striped skunk	Mephitis mephitis	1994	Cosmopolitan	AM2a		[18]	P	Troupin
AF369337	V217.CO	USA	TX	Coyote	Canis latrans	1994	Cosmopolitan	AM2a		[18]	P	Troupin
KX148216	86001BRE	Brazil		Dog 	Canis familiaris	1986	Cosmopolitan	AM3a	Original brain	This study	Complete genome	Kuzmin
KX148215	95022BRE	Brazil		Dog 	Canis familiaris	1995	Cosmopolitan	AM3a	Original brain	This study	Complete genome	Kuzmin
KX148214	95023BRE	Brazil		Dog 	Canis familiaris	1995	Cosmopolitan	AM3a	Original brain	This study	Complete genome	Kuzmin
KC737850	A11_5300	USA		Human 	Homo sapiens	2011	Cosmopolitan	AM3a	Original brain	McGuone et al. unpublished	Complete genome	Kuzmin
AF369314	B1.DG	Brazil		Dog 	Canis familiaris	1993	Cosmopolitan	AM3a		[18]	P	Troupin
AB517659	BRdg335	Brazil		Dog 	Canis familiaris	2003	Cosmopolitan	AM3a		Mochizuki et al. unpublished	Complete genome	Kuzmin
KX148217	86123BRE	Brazil		Dog 	Canis familiaris	1986	Cosmopolitan	AM3b	Mouse	This study	Complete genome	Kuzmin
AB362483	BR_Pfx1	Brazil		Brazilian wild fox	Lycalopex vetulus	2002	Cosmopolitan	AM3b	Original brain	[13]	Complete genome	Troupin
AB517660	BR_Pfx3	Brazil		Brazilian wild fox	Dusicyon_sp.	2001	Cosmopolitan	AM3b		Mochizuki et al. unpublished	Complete genome	Kuzmin
AF369315	P1.DG	Paraguay		Dog 	Canis familiaris	1994	Cosmopolitan	AM3b		[18]	P	Troupin
JQ944705	1350KRA	Russia		Dog 	Canis familiaris	2008	Cosmopolitan	CA1	Original brain	Chupin et al. unpublished	Complete genome	Kuzmin
KC595280	8052f	Russia		Red fox	Vulpes vulpes	2011	Cosmopolitan	CA1	Mouse		Complete genome	Kuzmin
KC595281	8053c	Russia		Cat	Felis catus	2011	Cosmopolitan	CA1	Mouse		Complete genome	Kuzmin
KC595282	8054f	Russia		Red fox	Vulpes vulpes	2011	Cosmopolitan	CA1	Mouse		Complete genome	Kuzmin
KC595283	8057f	Russia		Red fox	Vulpes vulpes	2011	Cosmopolitan	CA1	Mouse		Complete genome	Kuzmin
KX148159	86082IRA	Iran		Sheep	Ovis aries	1974	Cosmopolitan	CA1	Mouse	This study	Complete genome	Kuzmin
AF369311	Ir5.DG	Iran		Dog 	Canis familiaris	1993	Cosmopolitan	CA1		[18]	P	Troupin
AF369274	RU7.FX	Kazakhstan		Red fox	Vulpes vulpes	1988	Cosmopolitan	CA1		[18]	P	Troupin
KM016899	WQ14_RF	China		Red fox	Vulpes vulpes	2014	Cosmopolitan	CA1	Original brain	Liu et al. unpublished	Complete genome	Kuzmin
JQ944706	1352KRA	Russia		Dog 	Canis familiaris	2008	Cosmopolitan	CA2	Original brain	Chupin et al. unpublished	Complete genome	Kuzmin
KX148212	93019IRA	Iran		Jackal	Canis aureus	1993	Cosmopolitan	CA2	Original brain	This study	Complete genome	Kuzmin
KF155000	RV2516	Irak		Cow	Bos taurus	2010	Cosmopolitan	CA2	Original brain		Complete genome	Kuzmin
JQ944708	1564NNO	Russia		Red fox	Vulpes vulpes	2008	Cosmopolitan	CA3	Original brain	Chupin et al. unpublished	Complete genome	Kuzmin
KX148160	92015HON	Hungary		Human 	Homo sapiens	1991	Cosmopolitan	CA3	Original brain	This study	Complete genome	Kuzmin
AF325462	HUN1-HM	Hungary		Human 	Homo sapiens	1992	Cosmopolitan	CA3		[19]	G	Troupin
KX148113	92002GER	Germany		Red fox	Vulpes vulpes	1991	Cosmopolitan	CE	Original brain	This study	Complete genome	Kuzmin
KX148124	92010GER	Germany		Red fox	Vulpes vulpes	1991	Cosmopolitan	CE	Original brain	This study	Complete genome	Kuzmin
KX148122	92012GER	Germany		Red fox	Vulpes vulpes	1991	Cosmopolitan	CE	Original brain	This study	Complete genome	Kuzmin
KX148123	92017GER	Germany		Red fox	Vulpes vulpes	1991	Cosmopolitan	CE	Original brain	This study	Complete genome	Kuzmin
KX148119	96045POL	Poland		Red fox	Vulpes vulpes	1993	Cosmopolitan	CE	Original brain	This study	Complete genome	Kuzmin
KX148121	96056POL	Poland		Red fox	Vulpes vulpes	1993	Cosmopolitan	CE	Original brain	This study	Complete genome	Kuzmin
KX148118	96077POL	Poland		Raccoon dog	Nyctereutes procyonoides	1994	Cosmopolitan	CE	Original brain	This study	Complete genome	Kuzmin
KX148114	96104POL	Poland		Red fox	Vulpes vulpes	1995	Cosmopolitan	CE	Original brain	This study	Complete genome	Kuzmin
KX148120	96140POL	Poland		Raccoon dog	Nyctereutes procyonoides	1993	Cosmopolitan	CE	Original brain	This study	Complete genome	Kuzmin
KX148115	96250POL	Poland		Red fox	Vulpes vulpes	1996	Cosmopolitan	CE	Original brain	This study	Complete genome	Kuzmin
KX148116	96256POL	Poland		Red fox	Vulpes vulpes	1996	Cosmopolitan	CE	Original brain	This study	Complete genome	Kuzmin
KX148117	97046POL	Poland		Red fox	Vulpes vulpes	1997	Cosmopolitan	CE	Original brain	This study	Complete genome	Kuzmin
AF325464	POL1-RD	Poland		Raccoon dog	Nyctereutes procyonoides	1985	Cosmopolitan	CE		[19]	G	Troupin
KX148104	86058YOU	Montenegro		Cow	Bos taurus	1978	Cosmopolitan	YUGCOW	Mouse	This study	Complete genome	Kuzmin
KX148161	86133SER	Serbia		Red fox	Vulpes vulpes	1972	Cosmopolitan	YUGFOX	Mouse	This study	Complete genome	Kuzmin
AF325463	YUG1-WF	Yugoslavia		Cow	Bos taurus	1984	Cosmopolitan	YUGCOW		[19]	G	Troupin
U42703	86107YOU	Yugoslavia		Red fox	Vulpes vulpes	1976	Cosmopolitan	YUGFOX		[6]	N	Troupin
KX148145	86054YOU	Bosnia and Herzegovina		Wolf	Canis lupus	1986	Cosmopolitan	EE	Mouse	This study	Complete genome	Kuzmin
KX148140	86109YOU	Serbia		Red fox	Vulpes vulpes	1986	Cosmopolitan	EE	Original brain	This study	Complete genome	Kuzmin
KX148143	93080HON	Hungary		Red fox	Vulpes vulpes	1993	Cosmopolitan	EE	Original brain	This study	Complete genome	Kuzmin
KX148136	93083HON	Hungary		Red fox	Vulpes vulpes	1993	Cosmopolitan	EE	Original brain	This study	Complete genome	Kuzmin
KX148137	93089HON	Hungary		Red fox	Vulpes vulpes	1993	Cosmopolitan	EE	Original brain	This study	Complete genome	Kuzmin
KX148138	93091HON	Hungary		Red fox	Vulpes vulpes	1993	Cosmopolitan	EE	Original brain	This study	Complete genome	Kuzmin
KX148139	93093HON	Hungary		Red fox	Vulpes vulpes	1993	Cosmopolitan	EE	Original brain	This study	Complete genome	Kuzmin
KX148144	94099SLN	Slovenia		Red fox	Vulpes vulpes	1994	Cosmopolitan	EE	Original brain	This study	Complete genome	Kuzmin
KX148141	96135POL	Poland		Red fox	Vulpes vulpes	1992	Cosmopolitan	EE	Original brain	This study	Complete genome	Kuzmin
KX148142	96177POL	Poland		Red fox	Vulpes vulpes	1994	Cosmopolitan	EE	Original brain	This study	Complete genome	Kuzmin
KX148175	04034ARS	Saudi Arabia		Fox	Und.	2004	Cosmopolitan	ME1a	Original brain	This study	Complete genome	Kuzmin
KX148176	04034ARS	Saudi Arabia		Fox	Und.	2004	Cosmopolitan	ME1a		This study	Complete genome	Kuzmin
KX148189	86081IRA	Iran		Dog 	Canis familiaris	1985	Cosmopolitan	ME1a	Mouse	This study	Complete genome	Kuzmin
KX148186	87002IRA	Iran		Wolf	Canis pallipes	1984	Cosmopolitan	ME1a	Mouse	This study	Complete genome	Kuzmin
KX148168	87006ARS	Saudi Arabia		Fox	Und.	1987	Cosmopolitan	ME1a	Original brain	This study	Complete genome	Kuzmin
KX148172	87007ARS	Saudi Arabia		Horse	Equus ferus	1987	Cosmopolitan	ME1a	Original brain	This study	Complete genome	Kuzmin
U22483	8702IRA	Iran		Wolf	Canis lupus	1987	Cosmopolitan	ME1a		[7]	N	Troupin
U22481	8706ARS	Saudi Arabia		Red fox	Vulpes vulpes	1987	Cosmopolitan	ME1a		[7]	N	Troupin
KX148171	91024EAU	United Arab Emirates		Fox	Und.	1991	Cosmopolitan	ME1a	Mouse	This study	Complete genome	Kuzmin
KX148169	91034OMA	Oman		Camel	Camelus dromedarius	1990	Cosmopolitan	ME1a	Original brain	This study	Complete genome	Kuzmin
KX148170	91035OMA	Oman		Fox	Und.	1990	Cosmopolitan	ME1a	Original brain	This study	Complete genome	Kuzmin
U22480	9135OMA	Oman		Red fox	Vulpes vulpes	1990	Cosmopolitan	ME1a		[7]	N	Troupin
KX148190	93008IRA	Iran		Jackal	Canis aureus	1976	Cosmopolitan	ME1a	Original brain	This study	Complete genome	Kuzmin
KX148188	93009IRA	Iran		Wolf	Canis pallipes	1991	Cosmopolitan	ME1a	Original brain	This study	Complete genome	Kuzmin
KX148180	93030ISR	Israel		Fox	Und.	1993	Cosmopolitan	ME1a	Original brain	This study	Complete genome	Kuzmin
KX148183	93031ISR	Israel		Fox	Und.	1993	Cosmopolitan	ME1a	Original brain	This study	Complete genome	Kuzmin
KX148185	96299IRA	Iran		Wolf	Canis pallipes	1996	Cosmopolitan	ME1a	Original brain	This study	Complete genome	Kuzmin
KX148178	96306ISR	Israel		Dog 	Canis familiaris	1996	Cosmopolitan	ME1a	Original brain	This study	Complete genome	Kuzmin
KX148182	96307ISR	Israel		Dog 	Canis familiaris	1996	Cosmopolitan	ME1a	Original brain	This study	Complete genome	Kuzmin
KX148181	96312ISR	Israel		Dog 	Canis familiaris	1996	Cosmopolitan	ME1a	Original brain	This study	Complete genome	Kuzmin
KX148179	96314ISR	Israel		Jackal	Canis aureus	1996	Cosmopolitan	ME1a	Original brain	This study	Complete genome	Kuzmin
KX148177	96317ISR	Israel		Fox	Und.	1996	Cosmopolitan	ME1a	Original brain	This study	Complete genome	Kuzmin
KX148187	96320IRA	Iran		Jackal	Canis aureus	1996	Cosmopolitan	ME1a	Original brain	This study	Complete genome	Kuzmin
KX148184	96324ISR	Israel		Cow	Bos taurus	1996	Cosmopolitan	ME1a	Original brain	This study	Complete genome	Kuzmin
KX148173	97139ARS	Saudi Arabia		Red fox	Vulpes vulpes	1997	Cosmopolitan	ME1a	Original brain	This study	Complete genome	Kuzmin
