Accession	Strain	SequenceID	GenBankName	Region	Year	Country	IslandGroup	Region	Province	Municipality	Species_latin_binomial	Accession	Major_clade	Minor_clade
AB563971	TRa-196	TRa-196_X_2009	RV/R10.PHL/2009/TRa-196	X	2009	Philippines	Mindanao	X	Misamis Oriental	Cagayan de Oro City	Canis familiaris	AB563971	AL_Asian	AL_Asian_SEA4
AB563972	TRa-197	TRa-197_X_2009	RV/R10.PHL/2009/TRa-197	X	2009	Philippines	Mindanao	X	Misamis Oriental	Cagayan de Oro City	Canis familiaris	AB563972	AL_Asian	AL_Asian_SEA4
AB563973	TRa-198	TRa-198_CAR_2009	RV/CAR.PHL/2009/TRa-198	CAR	2009	Philippines	Luzon	CAR	Mountain Province	Tadian	Canis familiaris	AB563973	AL_Asian	AL_Asian_SEA4
AB563974	TRa-199	TRa-199_CAR_2009	RV/CAR.PHL/2009/TRa-199	CAR	2009	Philippines	Luzon	CAR	Mountain Province	Sadanga	Canis familiaris	AB563974	AL_Asian	AL_Asian_SEA4
AB563975	TRa-200	TRa-200_CAR_2009	RV/CAR.PHL/2009/TRa-200	CAR	2009	Philippines	Luzon	CAR	Mountain Province	Sadanga	Canis familiaris	AB563975	AL_Asian	AL_Asian_SEA4
AB563976	TRa-201	TRa-201_III_2009	RV/R3.PHL/2009/TRa-201	III	2009	Philippines	Luzon	III	Nueva Ecija	San Leonardo	Canis familiaris	AB563976	AL_Asian	AL_Asian_SEA4
AB563977	TRa-202	TRa-202_III_2009	RV/R3.PHL/2009/TRa-202	III	2009	Philippines	Luzon	III	Zambales	Masinloc	Canis familiaris	AB563977	AL_Asian	AL_Asian_SEA4
AB563978	TRa-204	TRa-204_III_2009	RV/R3.PHL/2009/TRa-204	III	2009	Philippines	Luzon	III	Pampanga	San Luis	Canis familiaris	AB563978	AL_Asian	AL_Asian_SEA4
AB563979	TRa-205	TRa-205_III_2009	RV/R3.PHL/2009/TRa-205	III	2009	Philippines	Luzon	III	Nueva Ecija	San Jose	Canis familiaris	AB563979	AL_Asian	AL_Asian_SEA4
AB563980	TRa-206	TRa-206_III_2009	RV/R3.PHL/2009/TRa-206	III	2009	Philippines	Luzon	III	Pampanga	Porac	Canis familiaris	AB563980	AL_Asian	AL_Asian_SEA4
AB563981	TRa-208	TRa-208_I_2009	RV/R1.PHL/2009/TRa-208	I	2009	Philippines	Luzon	I	Pangasinan	San Carlos City	Canis familiaris	AB563981	AL_Asian	AL_Asian_SEA4
AB563982	TRa-209	TRa-209_I_2009	RV/R1.PHL/2009/TRa-209	I	2009	Philippines	Luzon	I	Pangasinan	Pozorrubio	unknown	AB563982	AL_Asian	AL_Asian_SEA4
AB563983	TRa-210	TRa-210_I_2009	RV/R1.PHL/2009/TRa-210	I	2009	Philippines	Luzon	I	Pangasinan	Urdaneta	Canis familiaris	AB563983	AL_Asian	AL_Asian_SEA4
AB563984	TRa-213	TRa-213_I_2009	RV/R1.PHL/2009/TRa-213	I	2009	Philippines	Luzon	I	Pangasinan	Binmaley	Canis familiaris	AB563984	AL_Asian	AL_Asian_SEA4
AB563985	TRa-214	TRa-214_I_2009	RV/R1.PHL/2009/TRa-214	I	2009	Philippines	Luzon	I	Pangasinan	Bani	Canis familiaris	AB563985	AL_Asian	AL_Asian_SEA4
AB563986	TRa-215	TRa-215_I_2009	RV/R1.PHL/2009/TRa-215	I	2009	Philippines	Luzon	I	Pangasinan	Manaoag	Canis familiaris	AB563986	AL_Asian	AL_Asian_SEA4
AB563987	TRa-216	TRa-216_I_2009	RV/R1.PHL/2009/TRa-216	I	2009	Philippines	Luzon	I	La Union 	Aringay	Canis familiaris	AB563987	AL_Asian	AL_Asian_SEA4
AB563988	TRa-218	TRa-218_I_2009	RV/R1.PHL/2009/TRa-218	I	2009	Philippines	Luzon	I	La Union 	San Fernando	Canis familiaris	AB563988	AL_Asian	AL_Asian_SEA4
AB563989	TRa-219	TRa-219_I_2009	RV/R1.PHL/2009/TRa-219	I	2009	Philippines	Luzon	I	Pangasinan	Urbiztondo	Canis familiaris	AB563989	AL_Asian	AL_Asian_SEA4
AB563990	TRa-220	TRa-220_I_2009	RV/R1.PHL/2009/TRa-220	I	2009	Philippines	Luzon	I	Pangasinan	San Carlos City	Canis familiaris	AB563990	AL_Asian	AL_Asian_SEA4
AB563991	TRa-221	TRa-221_I_2009	RV/R1.PHL/2009/TRa-221	I	2009	Philippines	Luzon	I	Pangasinan	San Carlos City	Canis familiaris	AB563991	AL_Asian	AL_Asian_SEA4
AB563992	TRa-222	TRa-222_CAR_2009	RV/CAR.PHL/2009/TRa-222	CAR	2009	Philippines	Luzon	CAR	Mountain Province	Besao	Canis familiaris	AB563992	AL_Asian	AL_Asian_SEA4
AB563993	TRa-224	TRa-224_CAR_2009	RV/CAR.PHL/2009/TRa-224	CAR	2009	Philippines	Luzon	CAR	Ifugao	Banaue	Canis familiaris	AB563993	AL_Asian	AL_Asian_SEA4
AB563994	TRa-225	TRa-225_V_2009	RV/R5.PHL/2009/TRa-225	V	2009	Philippines	Luzon	V	Albay	Daraga (Locsin)	Canis familiaris	AB563994	AL_Asian	AL_Asian_SEA4
AB563995	TRa-226	TRa-226_V_2009	RV/R5.PHL/2009/TRa-226	V	2009	Philippines	Luzon	V	Albay	Daraga (Locsin)	Canis familiaris	AB563995	AL_Asian	AL_Asian_SEA4
AB563996	TRa-227	TRa-227_V_2009	RV/R5.PHL/2009/TRa-227	V	2009	Philippines	Luzon	V	Albay	Tabaco	Canis familiaris	AB563996	AL_Asian	AL_Asian_SEA4
AB563997	TRa-229	TRa-229_V_2009	RV/R5.PHL/2009/TRa-229	V	2009	Philippines	Luzon	V	Catanduanes	Virac	Canis familiaris	AB563997	AL_Asian	AL_Asian_SEA4
AB563998	TRa-231	TRa-231_V_2009	RV/R5.PHL/2009/TRa-231	V	2009	Philippines	Luzon	V	Camarines Norte	Vinzons	Canis familiaris	AB563998	AL_Asian	AL_Asian_SEA4
AB563999	TRa-233	TRa-233_I_2009	RV/R1.PHL/2009/TRa-233	I	2009	Philippines	Luzon	I	Ilocos Sur	Bontoc	Canis familiaris	AB563999	AL_Asian	AL_Asian_SEA4
AB564000	TRa-234	TRa-234_CAR_2009	RV/CAR.PHL/2009/TRa-234	CAR	2009	Philippines	Luzon	CAR	Mountain Province	Bontoc	unknown	AB564000	AL_Asian	AL_Asian_SEA4
AB564001	TRa-235	TRa-235_VII_2009	RV/R7.PHL/2009/TRa-235	VII	2009	Philippines	Visayas	VII	Negros Oriental	Sibulan	Canis familiaris	AB564001	AL_Asian	AL_Asian_SEA4
AB564002	TRa-236	TRa-236_VII_2009	RV/R7.PHL/2009/TRa-236	VII	2009	Philippines	Visayas	VII	Negros Oriental	Dumaguete City	unknown	AB564002	AL_Asian	AL_Asian_SEA4
AB564003	TRa-237	TRa-237_VII_2009	RV/R7.PHL/2009/TRa-237	VII	2009	Philippines	Visayas	VII	Negros Oriental	Bais City	Canis familiaris	AB564003	AL_Asian	AL_Asian_SEA4
AB564004	TRa-238	TRa-238_VII_2009	RV/R7.PHL/2009/TRa-238	VII	2009	Philippines	Visayas	VII	Negros Oriental	Dumaguete City	Canis familiaris	AB564004	AL_Asian	AL_Asian_SEA4
AB564005	TRa-239	TRa-239_VII_2009	RV/R7.PHL/2009/TRa-239	VII	2009	Philippines	Visayas	VII	Negros Oriental	Valencia	Canis familiaris	AB564005	AL_Asian	AL_Asian_SEA4
AB564006	TRa-240	TRa-240_VII_2009	RV/R7.PHL/2009/TRa-240	VII	2009	Philippines	Visayas	VII	Negros Oriental	Zamboanguita	Canis familiaris	AB564006	AL_Asian	AL_Asian_SEA4
AB564007	TRa-241	TRa-241_VII_2009	RV/R7.PHL/2009/TRa-241	VII	2009	Philippines	Visayas	VII	Negros Oriental	Sibulan	Canis familiaris	AB564007	AL_Asian	AL_Asian_SEA4
AB564008	TRa-242	TRa-242_X_2009	RV/R10.PHL/2009/TRa-242	X	2009	Philippines	Mindanao	X	Misamis Oriental	Cagayan de Oro City	Canis familiaris	AB564008	AL_Asian	AL_Asian_SEA4
AB564009	TRa-243	TRa-243_X_2009	RV/R10.PHL/2009/TRa-243	X	2009	Philippines	Mindanao	X	Misamis Oriental	Cagayan de Oro City	Canis familiaris	AB564009	AL_Asian	AL_Asian_SEA4
AB564010	TRa-244	TRa-244_X_2009	RV/R10.PHL/2009/TRa-244	X	2009	Philippines	Mindanao	X	Misamis Oriental	Cagayan de Oro City	Canis familiaris	AB564010	AL_Asian	AL_Asian_SEA4
AB564011	TRa-246	TRa-246_X_2009	RV/R10.PHL/2009/TRa-246	X	2009	Philippines	Mindanao	X	Misamis Oriental	Cagayan de Oro City	Canis familiaris	AB564011	AL_Asian	AL_Asian_SEA4
AB564012	TRa-248	TRa-248_X_2009	RV/R10.PHL/2009/TRa-248	X	2009	Philippines	Mindanao	X	Misamis Oriental	Cagayan de Oro City	Canis familiaris	AB564012	AL_Asian	AL_Asian_SEA4
AB564013	TRa-249	TRa-249_X_2009	RV/R10.PHL/2009/TRa-249	X	2009	Philippines	Mindanao	X	Misamis Oriental	Jasaan	Canis familiaris	AB564013	AL_Asian	AL_Asian_SEA4
AB564014	TRa-250	TRa-250_X_2009	RV/R10.PHL/2009/TRa-250	X	2009	Philippines	Mindanao	X	Misamis Oriental	Binuangan	Canis familiaris	AB564014	AL_Asian	AL_Asian_SEA4
AB564015	TRa-251	TRa-251_X_2009	RV/R10.PHL/2009/TRa-251	X	2009	Philippines	Mindanao	X	Lanao Del Norte	Linamon	Canis familiaris	AB564015	AL_Asian	AL_Asian_SEA4
AB564016	TRa-252	TRa-252_X_2009	RV/R10.PHL/2009/TRa-252	X	2009	Philippines	Mindanao	X	Misamis Oriental	Cagayan de Oro City	Canis familiaris	AB564016	AL_Asian	AL_Asian_SEA4
AB564017	TRa-253	TRa-253_X_2009	RV/R10.PHL/2009/TRa-253	X	2009	Philippines	Mindanao	X	Misamis Oriental	Cagayan de Oro City	Canis familiaris	AB564017	AL_Asian	AL_Asian_SEA4
AB564018	TRa-254	TRa-254_X_2009	RV/R10.PHL/2009/TRa-254	X	2009	Philippines	Mindanao	X	Misamis Oriental	Cagayan de Oro City	Canis familiaris	AB564018	AL_Asian	AL_Asian_SEA4
AB564019	TRa-255	TRa-255_X_2009	RV/R10.PHL/2009/TRa-255	X	2009	Philippines	Mindanao	X	Misamis Oriental	Cagayan de Oro City	Canis familiaris	AB564019	AL_Asian	AL_Asian_SEA4
AB733964	TRa-256	TRa-256_I_2009	RV/R1.PHL/2009/TRa-256	I	2009	Philippines	Luzon	I	Pangasinan	San Manuel	Canis familiaris	AB733964	AL_Asian	AL_Asian_SEA4
AB733965	TRa-257	TRa-257_I_2009	RV/R1.PHL/2009/TRa-257	I	2009	Philippines	Luzon	I	Pangasinan	Bani	Canis familiaris	AB733965	AL_Asian	AL_Asian_SEA4
AB733966	TRa-258	TRa-258_I_2009	RV/R1.PHL/2009/TRa-258	I	2009	Philippines	Luzon	I	Pangasinan	Agno	Canis familiaris	AB733966	AL_Asian	AL_Asian_SEA4
AB733967	TRa-259	TRa-259_I_2009	RV/R1.PHL/2009/TRa-259	I	2009	Philippines	Luzon	I	Pangasinan	San Carlos City	Canis familiaris	AB733967	AL_Asian	AL_Asian_SEA4
AB733968	TRa-260	TRa-260_I_2009	RV/R1.PHL/2009/TRa-260	I	2009	Philippines	Luzon	I	Pangasinan	Alcala	Canis familiaris	AB733968	AL_Asian	AL_Asian_SEA4
AB733969	TRa-263	TRa-263_I_2009	RV/R1.PHL/2009/TRa-263	I	2009	Philippines	Luzon	I	Pangasinan	Dagupan City	Canis familiaris	AB733969	AL_Asian	AL_Asian_SEA4
AB733970	TRa-265	TRa-265_I_2009	RV/R1.PHL/2009/TRa-265	I	2009	Philippines	Luzon	I	Ilocos Sur	Tagudin	Canis familiaris	AB733970	AL_Asian	AL_Asian_SEA4
AB733977	TRa-268	TRa-268_V_2009	RV/R5.PHL/2009/TRa-268	V	2009	Philippines	Luzon	V	Sorsogon	Gubat	Canis familiaris	AB733977	AL_Asian	AL_Asian_SEA4
AB733978	TRa-272	TRa-272_V_2009	RV/R5.PHL/2009/TRa-272	V	2009	Philippines	Luzon	V	Albay	Daraga (Locsin)	Canis familiaris	AB733978	AL_Asian	AL_Asian_SEA4
AB733979	TRa-273	TRa-273_V_2009	RV/R5.PHL/2009/TRa-273	V	2009	Philippines	Luzon	V	Albay	Legaspi City	Canis familiaris	AB733979	AL_Asian	AL_Asian_SEA4
AB733974	TRa-279	TRa-279_II_2009	RV/R2.PHL/2009/TRa-279	II	2009	Philippines	Luzon	II	Isabela City	San Mateo	Canis familiaris	AB733974	AL_Asian	AL_Asian_SEA4
AB733975	TRa-283	TRa-283_II_2009	RV/R2.PHL/2009/TRa-283	II	2009	Philippines	Luzon	II	Isabela City	Santiago	Canis familiaris	AB733975	AL_Asian	AL_Asian_SEA4
AB733976	TRa-284	TRa-284_II_2009	RV/R2.PHL/2009/TRa-284	II	2009	Philippines	Luzon	II	Isabela City	San Agustin	Canis familiaris	AB733976	AL_Asian	AL_Asian_SEA4
AB733961	TRa-285	TRa-285_CAR_2009	RV/CAR.PHL/2009/TRa-285	CAR	2009	Philippines	Luzon	CAR	Mountain Province	Bontoc	Canis familiaris	AB733961	AL_Asian	AL_Asian_SEA4
AB733971	TRa-286	TRa-286_I_2010	RV/R1.PHL/2010/TRa-286	I	2010	Philippines	Luzon	I	Ilocos Sur	Suyo	Canis familiaris	AB733971	AL_Asian	AL_Asian_SEA4
AB733962	TRa-289	TRa-289_CAR_2010	RV/CAR.PHL/2010/TRa-289	CAR	2010	Philippines	Luzon	CAR	Ifugao	Alfonso	Canis familiaris	AB733962	AL_Asian	AL_Asian_SEA4
AB733972	TRa-299	TRa-299_I_2010	RV/R1.PHL/2010/TRa-299	I	2010	Philippines	Luzon	I	Pangasinan	San Carlos City	Canis familiaris	AB733972	AL_Asian	AL_Asian_SEA4
AB733973	TRa-300	TRa-300_I_2010	RV/R1.PHL/2010/TRa-300	I	2010	Philippines	Luzon	I	Pangasinan	Alcala	Canis familiaris	AB733973	AL_Asian	AL_Asian_SEA4
LC018482	TRa-302	TRa-302_III_2012	RV/R3.PHL/2012/TRa-302	III	2012	Philippines	Luzon	III	Tarlac	Capas	Canis familiaris	LC018482	AL_Asian	AL_Asian_SEA4
LC018483	TRa-303	TRa-303_III_2012	RV/R3.PHL/2012/TRa-303	III	2012	Philippines	Luzon	III	Bulacan	Hagonoy	Canis familiaris	LC018483	AL_Asian	AL_Asian_SEA4
LC018484	TRa-305	TRa-305_III_2012	RV/R3.PHL/2012/TRa-305	III	2012	Philippines	Luzon	III	Pampanga	Candaba	Canis familiaris	LC018484	AL_Asian	AL_Asian_SEA4
LC018485	TRa-306	TRa-306_III_2012	RV/R3.PHL/2012/TRa-306	III	2012	Philippines	Luzon	III	Nueva Ecija	Guimba	Canis familiaris	LC018485	AL_Asian	AL_Asian_SEA4
LC018486	TRa-307	TRa-307_III_2012	RV/R3.PHL/2012/TRa-307	III	2012	Philippines	Luzon	III	Tarlac	Bamban	Canis familiaris	LC018486	AL_Asian	AL_Asian_SEA4
LC018487	TRa-308	TRa-308_III_2012	RV/R3.PHL/2012/TRa-308	III	2012	Philippines	Luzon	III	Bulacan	Santa Maria	Canis familiaris	LC018487	AL_Asian	AL_Asian_SEA4
LC018488	TRa-309	TRa-309_III_2012	RV/R3.PHL/2012/TRa-309	III	2012	Philippines	Luzon	III	Tarlac	Capas	Canis familiaris	LC018488	AL_Asian	AL_Asian_SEA4
LC018489	TRa-310	TRa-310_III_2012	RV/R3.PHL/2012/TRa-310	III	2012	Philippines	Luzon	III	Bulacan	Santa Maria	Canis familiaris	LC018489	AL_Asian	AL_Asian_SEA4
LC018490	TRa-311	TRa-311_III_2012	RV/R3.PHL/2012/TRa-311	III	2012	Philippines	Luzon	III	Bulacan	Paombong	Canis familiaris	LC018490	AL_Asian	AL_Asian_SEA4
LC018491	TRa-312	TRa-312_III_2012	RV/R3.PHL/2012/TRa-312	III	2012	Philippines	Luzon	III	Nueva Ecija	Zaragosa	Canis familiaris	LC018491	AL_Asian	AL_Asian_SEA4
LC018492	TRa-313	TRa-313_III_2012	RV/R3.PHL/2012/TRa-313	III	2012	Philippines	Luzon	III	Bulacan	Hagonoy	Canis familiaris	LC018492	AL_Asian	AL_Asian_SEA4
LC018493	TRa-314	TRa-314_III_2012	RV/R3.PHL/2012/TRa-314	III	2012	Philippines	Luzon	III	Tarlac	Concepcion	Canis familiaris	LC018493	AL_Asian	AL_Asian_SEA4
LC018494	TRa-315	TRa-315_III_2012	RV/R3.PHL/2012/TRa-315	III	2012	Philippines	Luzon	III	Bulacan	San Jose del Monte	Canis familiaris	LC018494	AL_Asian	AL_Asian_SEA4
LC018495	TRa-317	TRa-317_III_2012	RV/R3.PHL/2012/TRa-317	III	2012	Philippines	Luzon	III	Bulacan	Meycauayan	Canis familiaris	LC018495	AL_Asian	AL_Asian_SEA4
LC018496	TRa-318	TRa-318_III_2012	RV/R3.PHL/2012/TRa-318	III	2012	Philippines	Luzon	III	Bulacan	Marilao	Canis familiaris	LC018496	AL_Asian	AL_Asian_SEA4
LC018497	TRa-320	TRa-320_I_2012	RV/R1.PHL/2012/TRa-320	I	2012	Philippines	Luzon	I	Pangasinan	Bolinao	Canis familiaris	LC018497	AL_Asian	AL_Asian_SEA4
LC018498	TRa-323	TRa-323_I_2012	RV/R1.PHL/2012/TRa-323	I	2012	Philippines	Luzon	I	Pangasinan	Alaminos	Canis familiaris	LC018498	AL_Asian	AL_Asian_SEA4
LC018499	TRa-324	TRa-324_I_2012	RV/R1.PHL/2012/TRa-324	I	2012	Philippines	Luzon	I	Pangasinan	Bolinao	Canis familiaris	LC018499	AL_Asian	AL_Asian_SEA4
LC018500	TRa-325	TRa-325_I_2012	RV/R1.PHL/2012/TRa-325	I	2012	Philippines	Luzon	I	Pangasinan	Alaminos	Canis familiaris	LC018500	AL_Asian	AL_Asian_SEA4
LC018501	TRa-327	TRa-327_I_2012	RV/R1.PHL/2012/TRa-327	I	2012	Philippines	Luzon	I	Pangasinan	Mangatarem	unknown	LC018501	AL_Asian	AL_Asian_SEA4
LC018502	TRa-337	TRa-337_V_2012	RV/R5.PHL/2012/TRa-337	V	2012	Philippines	Luzon	V	Camarines Sur	Naga City	Canis familiaris	LC018502	AL_Asian	AL_Asian_SEA4
LC018503	TRa-338	TRa-338_V_2012	RV/R5.PHL/2012/TRa-338	V	2012	Philippines	Luzon	V	Catanduanes	Panganiban	Canis familiaris	LC018503	AL_Asian	AL_Asian_SEA4
LC018504	TRa-339	TRa-339_V_2012	RV/R5.PHL/2012/TRa-339	V	2012	Philippines	Luzon	V	Albay	Oas	Canis familiaris	LC018504	AL_Asian	AL_Asian_SEA4
LC018505	TRa-340	TRa-340_V_2012	RV/R5.PHL/2012/TRa-340	V	2012	Philippines	Luzon	V	Camarines Norte	Daet	Canis familiaris	LC018505	AL_Asian	AL_Asian_SEA4
LC018506	TRa-343	TRa-343_V_2012	RV/R5.PHL/2012/TRa-343	V	2012	Philippines	Luzon	V	Camarines Norte	Labo	Canis familiaris	LC018506	AL_Asian	AL_Asian_SEA4
LC018507	TRa-344	TRa-344_V_2012	RV/R5.PHL/2012/TRa-344	V	2012	Philippines	Luzon	V	Camarines Sur	Naga City	Canis familiaris	LC018507	AL_Asian	AL_Asian_SEA4
LC018508	TRa-346	TRa-346_III_2013	RV/R3.PHL/2013/TRa-346	III	2013	Philippines	Luzon	III	Pampanga	San Simon	Canis familiaris	LC018508	AL_Asian	AL_Asian_SEA4
LC018509	TRa-347	TRa-347_III_2013	RV/R3.PHL/2013/TRa-347	III	2013	Philippines	Luzon	III	Nueva Ecija	Licab	unknown	LC018509	AL_Asian	AL_Asian_SEA4
LC018510	TRa-348	TRa-348_III_2013	RV/R3.PHL/2013/TRa-348	III	2013	Philippines	Luzon	III	Nueva Ecija	San Antonio	Canis familiaris	LC018510	AL_Asian	AL_Asian_SEA4
LC018511	TRa-349	TRa-349_III_2013	RV/R3.PHL/2013/TRa-349	III	2013	Philippines	Luzon	III	Nueva Ecija	San Antonio	Canis familiaris	LC018511	AL_Asian	AL_Asian_SEA4
LC018512	TRa-350	TRa-350_III_2013	RV/R3.PHL/2013/TRa-350	III	2013	Philippines	Luzon	III	Bulacan	Malolos	Canis familiaris	LC018512	AL_Asian	AL_Asian_SEA4
LC018513	TRa-351	TRa-351_III_2013	RV/R3.PHL/2013/TRa-351	III	2013	Philippines	Luzon	III	Bulacan	Pandi	unknown	LC018513	AL_Asian	AL_Asian_SEA4
LC018514	TRa-352	TRa-352_III_2013	RV/R3.PHL/2013/TRa-352	III	2013	Philippines	Luzon	III	Bulacan	San Jose del Monte	Canis familiaris	LC018514	AL_Asian	AL_Asian_SEA4
LC018515	TRa-353	TRa-353_III_2013	RV/R3.PHL/2013/TRa-353	III	2013	Philippines	Luzon	III	Bulacan	Malolos	Canis familiaris	LC018515	AL_Asian	AL_Asian_SEA4
LC018516	TRa-354	TRa-354_III_2013	RV/R3.PHL/2013/TRa-354	III	2013	Philippines	Luzon	III	Bulacan	Baliuag	Canis familiaris	LC018516	AL_Asian	AL_Asian_SEA4
LC018517	TRa-355	TRa-355_V_2012	RV/R5.PHL/2012/TRa-355	V	2012	Philippines	Luzon	V	Albay	Tiwi	Canis familiaris	LC018517	AL_Asian	AL_Asian_SEA4
LC018518	TRa-356	TRa-356_V_2012	RV/R5.PHL/2012/TRa-356	V	2012	Philippines	Luzon	V	Albay	Tabaco	Canis familiaris	LC018518	AL_Asian	AL_Asian_SEA4
LC018519	TRa-357	TRa-357_V_2012	RV/R5.PHL/2012/TRa-357	V	2012	Philippines	Luzon	V	Sorsogon	Castilla	Canis familiaris	LC018519	AL_Asian	AL_Asian_SEA4
LC018520	TRa-358	TRa-358_V_2012	RV/R5.PHL/2012/TRa-358	V	2012	Philippines	Luzon	V	Camarines Norte	Labo	Canis familiaris	LC018520	AL_Asian	AL_Asian_SEA4
LC018521	TRa-360	TRa-360_V_2012	RV/R5.PHL/2012/TRa-360	V	2012	Philippines	Luzon	V	Albay	Legaspi City	Canis familiaris	LC018521	AL_Asian	AL_Asian_SEA4
LC018522	TRa-362	TRa-362_V_2012	RV/R5.PHL/2012/TRa-362	V	2012	Philippines	Luzon	V	Albay	Oas	Canis familiaris	LC018522	AL_Asian	AL_Asian_SEA4
LC018523	TRa-364	TRa-364_V_2013	RV/R5.PHL/2013/TRa-364	V	2013	Philippines	Luzon	V	Albay	Camalig	Canis familiaris	LC018523	AL_Asian	AL_Asian_SEA4
LC018524	TRa-365	TRa-365_V_2013	RV/R5.PHL/2013/TRa-365	V	2013	Philippines	Luzon	V	Albay	Tabaco	Canis familiaris	LC018524	AL_Asian	AL_Asian_SEA4
LC018525	TRa-370	TRa-370_CAR_2013	RV/CAR.PHL/2013/TRa-370	CAR	2013	Philippines	Luzon	CAR	Kalinga Apayao	Tabuk	Canis familiaris	LC018525	AL_Asian	AL_Asian_SEA4
LC018526	TRa-375	TRa-375_I_2012	RV/R1.PHL/2012/TRa-375	I	2012	Philippines	Luzon	I	Pangasinan	San Carlos City	Canis familiaris	LC018526	AL_Asian	AL_Asian_SEA4
LC018527	TRa-376	TRa-376_I_2012	RV/R1.PHL/2012/TRa-376	I	2012	Philippines	Luzon	I	Pangasinan	Alcala	Canis familiaris	LC018527	AL_Asian	AL_Asian_SEA4
LC018528	TRa-377	TRa-377_I_2012	RV/R1.PHL/2012/TRa-377	I	2012	Philippines	Luzon	I	Pangasinan	Santa Barabara	Canis familiaris	LC018528	AL_Asian	AL_Asian_SEA4
LC018529	TRa-378	TRa-378_I_2012	RV/R1.PHL/2012/TRa-378	I	2012	Philippines	Luzon	I	Pangasinan	Santa Barabara	Canis familiaris	LC018529	AL_Asian	AL_Asian_SEA4
LC018530	TRa-379	TRa-379_I_2012	RV/R1.PHL/2012/TRa-379	I	2012	Philippines	Luzon	I	Pangasinan	San Jacinto	Canis familiaris	LC018530	AL_Asian	AL_Asian_SEA4
LC018531	TRa-381	TRa-381_I_2012	RV/R1.PHL/2012/TRa-381	I	2012	Philippines	Luzon	I	Pangasinan	Manaoag	Canis familiaris	LC018531	AL_Asian	AL_Asian_SEA4
LC018532	TRa-382	TRa-382_I_2012	RV/R1.PHL/2012/TRa-382	I	2012	Philippines	Luzon	I	La Union 	Aringay	Canis familiaris	LC018532	AL_Asian	AL_Asian_SEA4
LC018533	TRa-383	TRa-383_I_2012	RV/R1.PHL/2012/TRa-383	I	2012	Philippines	Luzon	I	Pangasinan	Sual	Canis familiaris	LC018533	AL_Asian	AL_Asian_SEA4
LC018534	TRa-384	TRa-384_I_2012	RV/R1.PHL/2012/TRa-384	I	2012	Philippines	Luzon	I	Pangasinan	San Jacinto	Canis familiaris	LC018534	AL_Asian	AL_Asian_SEA4
LC018535	TRa-392	TRa-392_IV-B_2011	RV/R4B.PHL/2011/TRa-392	IV-B	2011	Philippines	Luzon	IV-B	Romblon	Odiongan	Canis familiaris	LC018535	AL_Asian	AL_Asian_SEA4
LC018536	TRa-393	TRa-393_IV-A_2011	RV/R4A.PHL/2011/TRa-393	IV-A	2011	Philippines	Luzon	IV-A	Laguna	Calamba	Canis familiaris	LC018536	AL_Asian	AL_Asian_SEA4
LC018537	TRa-394	TRa-394_IV-B_2011	RV/R4B.PHL/2011/TRa-394	IV-B	2011	Philippines	Luzon	IV-B	Romblon	Looc	Canis familiaris	LC018537	AL_Asian	AL_Asian_SEA4
LC018538	TRa-396	TRa-396_IV-B_2011	RV/R4B.PHL/2011/TRa-396	IV-B	2011	Philippines	Luzon	IV-B	Romblon	Looc	Canis familiaris	LC018538	AL_Asian	AL_Asian_SEA4
LC018539	TRa-397	TRa-397_IV-B_2012	RV/R4B.PHL/2012/TRa-397	IV-B	2012	Philippines	Luzon	IV-B	Romblon	Odiongan	Canis familiaris	LC018539	AL_Asian	AL_Asian_SEA4
LC018540	TRa-398	TRa-398_IV-A_2012	RV/R4A.PHL/2012/TRa-398	IV-A	2012	Philippines	Luzon	IV-A	Quezon	Lucena City	Canis familiaris	LC018540	AL_Asian	AL_Asian_SEA4
LC018541	TRa-400	TRa-400_IV-B_2012	RV/R4B.PHL/2012/TRa-400	IV-B	2012	Philippines	Luzon	IV-B	Romblon	Odiongan	Canis familiaris	LC018541	AL_Asian	AL_Asian_SEA4
LC018542	TRa-401	TRa-401_IV-A_2012	RV/R4A.PHL/2012/TRa-401	IV-A	2012	Philippines	Luzon	IV-A	Batangas	San Nicolas	Canis familiaris	LC018542	AL_Asian	AL_Asian_SEA4
LC018543	TRa-402	TRa-402_IV-B_2012	RV/R4B.PHL/2012/TRa-402	IV-B	2012	Philippines	Luzon	IV-B	Romblon	Odiongan	Canis familiaris	LC018543	AL_Asian	AL_Asian_SEA4
LC018544	TRa-404	TRa-404_IV-A_2012	RV/R4A.PHL/2012/TRa-404	IV-A	2012	Philippines	Luzon	IV-A	Batangas	Tanauan	Canis familiaris	LC018544	AL_Asian	AL_Asian_SEA4
LC018545	TRa-405	TRa-405_CAR_2013	RV/CAR.PHL/2013/TRa-405	CAR	2013	Philippines	Luzon	CAR	Ifugao	Lamut	Canis familiaris	LC018545	AL_Asian	AL_Asian_SEA4
LC018546	TRa-406	TRa-406_I_2013	RV/R1.PHL/2013/TRa-406	I	2013	Philippines	Luzon	I	Ilocos sur	Santa Cruz	Canis familiaris	LC018546	AL_Asian	AL_Asian_SEA4
LC018547	TRa-407	TRa-407_CAR_2013	RV/CAR.PHL/2013/TRa-407	CAR	2013	Philippines	Luzon	CAR	Ifugao	Lamut	Canis familiaris	LC018547	AL_Asian	AL_Asian_SEA4
