Country	Virus Name	Species	Species_latin_binomial	Year	Phylogenetic clade - subclade	Source	Accession number	Reference
USA	91005USA	Red fox	(Vulpes vulpes)	1990	Arctic-related – A	Original brain	KX148106	This study
USA	1088	Woodchuck	(Marmota monax)	2008	Cosmopolitan – AM1	Mouse	AB645847	-30
USA	2401	Gray Fox	(Urocyon cinereoargenteus)	2009	Bat – EF-W1	Original brain	JQ685934	-19
USA	A02_2971	Bat 	(Parastrellus Hesperus)	2002	Bat – PH	N, P, M, G - original brain; L and termini - mouse	JQ685952	-19
USA	A02_2972	Bat 	(Parastrellus hesperus)	2002	Bat – PH	N, P, M, G - original brain; L and termini - mouse	JQ685965	-19
USA	A093500	Bat 	(Eptesicus fuscus)	2009	Bat – EF-W1	N, P, M, G - original brain; L and termini - mouse	JQ685898	-19
USA	A093504	Bat 	(Eptesicus fuscus)	2009	Bat – EF-W1	N, P, M, G - original brain; L and termini - mouse	JQ685950	-19
USA	A10_0511	Gray Fox	(Urocyon cinereoargenteus)	2009	Cosmopolitan – AM2b	Original brain	JQ685943	-19
USA	A10_0512	Striped skunk	(Mephitis mephitis)	2009	RAC-SK – SCSK	Original brain	JQ685968	-19
USA	A10_0514	Striped skunk	(Mephitis mephitis)	2009	RAC-SK – SCSK	Original brain	JQ685938	-19
USA	A10_0515	Gray Fox	(Urocyon cinereoargenteus)	2009	Cosmopolitan – AM2b	Original brain	JQ685899	-19
USA	A11_1043	Coyote	(Canis latrans)	2011	Bat – EF-W2	Original brain	JQ685973	-19
USA	A11_5300	Human 	(Homo sapiens)	2011	Cosmopolitan – AM3a	Original brain	KC737850	McGuone et al., unpublished
USA	AZ10_140	Bat 	(Eptesicus fuscus)	2010	Bat – EF-W1	N, P, M, G - original brain; L and termini - mouse	JQ685961	-19
USA	AZ3003	Bat 	(Antrozous pallidus)	2009	Bat – AZ	N, P, M, G - original brain; L and termini - mouse	JQ685971	-19
USA	AZ4490	Bat 	(Myotis yumanensis)	2005	Bat – MYu	N, P, M, G - original brain; L and termini - mouse	JQ685955	-19
USA	AZBAT_6509	Bat 	(Eptesicus fuscus)	1981	Bat – EF-W2	Mouse	JQ685942	-19
USA	AZBAT_6763	Bat 	(Eptesicus fuscus)	1985	Bat – EF-W1	Mouse	JQ685913	-19
USA	AZBAT_7453	Bat	 (Eptesicus fuscus)	1975	Bat – EF-W1	Mouse	JQ685956	-19
USA	CA04148	Bat 	(Eptesicus fuscus)	2004	Bat – EF-W2	N, P, M, G - original brain; L and termini - mouse	JQ685903	-19
USA	CA100	Bat 	(Eptesicus fuscus)	2005	Bat – EF-W1	N, P, M, G - original brain; L and termini - mouse	JQ685909	-19
USA	CA982	Striped skunk	(Mephitis mephitis)	1994	Cosmopolitan – AM4	Original brain	JQ685894	-19
USA	CASK2	Striped skunk	(Mephitis mephitis)	1974	Cosmopolitan – AM4	Original brain	JQ685970	-19
USA	CO_Coyot_2	Coyote	(Canis latrans)	2010	Bat – EF-W1	Original brain	JQ685917	-19
USA	EF	Bat 	(Eptesicus fuscus)	1984	Bat – EF	mouse	JQ685920	-19
USA	FL1010	Bat 	(Lasiurus intermedius)	2002	Bat – LI	N, P, M, G - original brain; L and termini - mouse	JQ685916	-19
USA	FL1078	Bat 	(Myotis autroriparius)	2001	Bat – MYsp	N, P, M, G - original brain; L and termini - mouse	JQ685921	-19
USA	FL385	Bat 	(Tadarida brasiliensis)	2003	Bat – TB	N, P, M, G - original brain; L and termini - mouse	JQ685905	-19
USA	FL769	Bat 	(Lasiurus seminolus)	2003	Bat – LS	N, P, M, G - original brain; L and termini - mouse	JQ685900	-19
USA	NC1234	Striped skunk	(Mephitis mephitis)	ND	Cosmopolitan – AM1	Original brain	JQ685967	-19
USA	NC839	Striped skunk	(Mephitis mephitis)	1984	Cosmopolitan – AM1	Original brain	JQ685944	-19
USA	NJ2262	Bat 	(Lasiurus borealis)	2005	Bat – LB	N, P, M, G - original brain; L and termini - mouse	JQ685919	-19
USA	OR05455	Gray Fox	(Urocyon cinereoargenteus)	2010	Bat – EF-W2	Original brain	JQ685948	-19
USA	OR05506	Gray Fox	(Urocyon cinereoargenteus)	2010	Bat – MYsp	Original brain	JQ685918	-19
USA	OR8767	Gray Fox	(Urocyon cinereoargenteus)	2005	Bat – MYsp	Original brain	JQ685957	-19
USA	RAC	Raccoon	(Procyon lotor)	2003	RAC-SK – RAC	Mouse	JQ685901	-19
USA	SHBRV_18	Human 	(Homo sapiens)	1983	Bat – PS	Mouse	AY705373	-31
USA	SM1545	Striped skunk	(Mephitis mephitis)	2005	Bat – EF-W1	Original brain	JQ685941	-19
USA	SM3844	Bat 	(Eptesicus fuscus)	1995	Bat – EF-W1	N, P, M, G - original brain; L and termini - mouse	JQ685974	-19
USA	SM3849	Bat 	(Eptesicus fuscus)	1996	Bat – EF-W1	N, P, M, G - original brain; L and termini - mouse	JQ685907	-19
USA	SM4862	Bat 	(Eptesicus fuscus)	1999	Bat – EF-W1	N, P, M, G - original brain; L and termini - mouse	JQ685946	-19
USA	SM4871	Bat 	(Eptesicus fuscus)	1999	Bat – EF-W1	N, P, M, G - original brain; L and termini - mouse	JQ685923	-19
USA	SM4872	Striped skunk	(Mephitis mephitis)	2001	Bat – EF-W1	Original brain	JQ685960	-19
USA	SM5076	Striped skunk	(Mephitis mephitis)	2001	Bat – EF-W1	Original brain	JQ685932	-19
USA	SM5077	Striped skunk	(Mephitis mephitis)	2001	Bat – EF-W1	Original brain	JQ685911	-19
USA	SM5079	Striped skunk	(Mephitis mephitis)	2001	Bat – EF-W1	Original brain	JQ685893	-19
USA	SM5081	Striped skunk	(Mephitis mephitis)	2001	Bat – EF-W1	Original brain	JQ685904	-19
USA	SM5100	Striped skunk	(Mephitis mephitis)	2001	Bat – EF-W1	Original brain	JQ685940	-19
USA	SM5101	Striped skunk	(Mephitis mephitis)	2001	Bat – EF-W1	Original brain	JQ685958	-19
USA	SM5440	Striped skunk	(Mephitis mephitis)	2001	Bat – EF-W1	Original brain	JQ685969	-19
USA	SM5441	Striped skunk	(Mephitis mephitis)	2001	Bat – EF-W1	Original brain	JQ685962	-19
USA	SM5442	Bat 	(Eptesicus fuscus)	2001	Bat – EF-W1	N, P, M, G - original brain; L and termini - mouse	JQ685897	-19
USA	SM5451	Striped skunk	(Mephitis mephitis)	2001	Bat – EF-W1	Original brain	JQ685959	-19
USA	SM5470	Striped skunk	(Mephitis mephitis)	2001	Bat – EF-W1	Original brain	JQ685966	-19
USA	SM5596	Striped skunk	(Mephitis mephitis)	2004	Bat – EF-W1	Original brain	JQ685964	-19
USA	SM5950	Gray fox	(Urocyon cinereoargenteus)	2004	Bat – EF-W1	Original brain	JQ685933	-19
USA	SM6709	Cat	(Felis catus)	2005	Bat – EF-W1	Original brain	JQ685945	-19
USA	TN186	Bat 	(Perimyotis subflavus)	2005	Bat – PS	N, P, M, G - original brain; L and termini - mouse	JQ685922	-19
USA	TN209	Bat 	(Lasiurus borealis)	2005	Bat – LB	N, P, M, G - original brain; L and termini - mouse	JQ685902	-19
USA	TN310	Bat 	(Lasiurus cinereus)	2004	Bat – LC	N, P, M, G - original brain; L and termini - mouse	JQ685947	-19
USA	TX4904	Bat 	(Lasiurus intermedius)	2002	Bat – LI	N, P, M, G - original brain; L and termini - mouse	JQ685915	-19
USA	TX5960	Bat 	(Lasiurus xanthinus)	2002	Bat – LX	N, P, M, G - original brain; L and termini - mouse	JQ685910	-19
USA	WA0173	Bat 	(Eptesicus fuscus)	2000	Bat – EF-W2	N, P, M, G - original brain; L and termini - mouse	JQ685931	-19
USA	WA1185	Bat 	(Lasionycteris noctivagans)	2003	Bat – LN	N, P, M, G - original brain; L and termini - mouse	JQ685895	-19
USA	WAEF03	Bat 	(Eptesicus fuscus)	2004	Bat – EF	N, P, M, G - original brain; L and termini - mouse	JQ685925	-19
Vietnam	01016VNM	Dog	(Canis familiaris)	2001	Asian – SEA3	Mouse	KX148261	This study
Vietnam	01016VNM	Dog	(Canis familiaris)	2001	Asian – SEA3	Mouse	KX148261e	This study
