Accession	Strain	Country	Province	Location	Export_country	Common_name	Species_latin_binomial	Year	Major_clade	Minor_clade	Source	Reference	Coverage	Dataset
AB383170	BR-EF3	Brazil			Brazil	Argentinian brown bat	Eptesicus furinalis		Bats	EFu		[20]	G	Troupin
AB383171	BR-EF4	Brazil			Brazil	Argentinian brown bat	Eptesicus furinalis		Bats	EFu		[20]	G	Troupin
AF369338	058.BBB	Canada			Canada	Big brown bat	Eptesicus fuscus	1993	Bats	EF-E1		[18]	P	Troupin
AF351859	EF57	Canada	ONT		Canada	Big brown bat	Eptesicus fuscus	1997	Bats	EF-E1		[15]	N	Troupin
AF369339	2994.BBB	Canada			Canada	Big brown bat	Eptesicus fuscus	1993	Bats	EF-E2		[18]	P	Troupin
AF369350	4805.BBB	Canada			Canada	Big brown bat	Eptesicus fuscus	1995	Bats	EF-E2		[18]	P	Troupin
AF351855	EF19	Canada	ALTA		Canada	Big brown bat	Eptesicus fuscus	1991	Bats	EF-E2		[15]	N	Troupin
AF351861	EF3	Canada	ON		Canada	Big brown bat	Eptesicus fuscus	1972	Bats	EF-E2		[15]	N	Troupin
AF351861	EF3	Canada	ONT		Canada	Big brown bat	Eptesicus fuscus	1972	Bats	EF-E2		[15]	N	Troupin
AF351831	EF31	Canada	SASK		Canada	Big brown bat	Eptesicus fuscus	1989	Bats	EF-E2		[15]	N	Troupin
AF351832	EF34	Canada	BC		Canada	Big brown bat	Eptesicus fuscus	1972	Bats	EF-E2		[15]	N	Troupin
AF351862	EF40	Canada	ON		Canada	Big brown bat	Eptesicus fuscus	1995	Bats	EF-E2		[15]	N	Troupin
AF369340	V084.BBB	Canada			Canada	Big brown bat	Eptesicus fuscus	1989	Bats	EF-E2		[18]	P	Troupin
AF369355	V151.BBB	Canada			Canada	Big brown bat	Eptesicus fuscus	1989	Bats	EF-E2		[18]	P	Troupin
AF369357	V170.BBB	Canada			Canada	Big brown bat	Eptesicus fuscus	1993	Bats	EF-E2		[18]	P	Troupin
AF351830	EF22	Canada	BC		Canada	Big brown bat	Eptesicus fuscus	1988	Bats	EF-W2		[15]	N	Troupin
AF369341	V078.BBB	Canada			Canada	Big brown bat	Eptesicus fuscus	1988	Bats	EF-W2		[18]	P	Troupin
JQ685961	AZ10-140	USA	AZ	Flagstaff	USA	Big brown bat	Eptesicus fuscus	2010	Bats	EF-W1	N-P-M-G - original brain; L and termini - mouse	Troupin	Complete genome	Troupin
JQ685951	AZ10-144	USA	AZ	Flagstaff	USA	Big brown bat	Eptesicus fuscus	2010	Bats	EF-W1	N-P-M-G - original brain; L and termini - mouse	This study	N, P, M, G, L	Troupin
AY039226	136	USA	RA		USA	Big brown bat	Eptesicus fuscus	1984	Bats	EF-E1		[17]	N	Troupin
JQ685920	EF	USA	PA		USA	Big brown bat	Eptesicus fuscus	1984	Bats	EF-E1	mouse	This study	Complete genome	Troupin
AF351860	EF71	USA	CT		USA	Big brown bat	Eptesicus fuscus	1998	Bats	EF-E1		[15]	N	Troupin
AF351854	EF72	USA	CT		USA	Big brown bat	Eptesicus fuscus	1998	Bats	EF-E1		[15]	N	Troupin
JQ686002	VS120-109	USA	NC		USA	Big brown bat	Eptesicus fuscus	2010	Bats	EF-E1	Original brain	Troupin	G	Troupin
AY039229	132	USA	PA		USA	Big brown bat	Eptesicus fuscus	1972	Bats	EF-E2		[17]	N	Troupin
AY039227	906	USA	WA		USA	Big brown bat	Eptesicus fuscus	1986	Bats	EF-E2		[17]	N	Troupin
JQ685996	A09-2561	USA	IA		USA	Big brown bat	Eptesicus fuscus	2010	Bats	EF-E2	Original brain	Troupin	G	Troupin
JQ685925	waef03	USA	WA		USA	Big brown bat	Eptesicus fuscus	2004	Bats	EF-E2	N-P-M-G - original brain; L and termini - mouse	This study	Complete genome	Troupin
JQ685898	A093500	USA	AZ	Flagstaff	USA	Big brown bat	Eptesicus fuscus	2009	Bats	EF-W1	N-P-M-G - original brain; L and termini - mouse	This study	Complete genome	Troupin
JQ685913	AZBAT-6763	USA	AZ		USA	Big brown bat	Eptesicus fuscus	1985	Bats	EF-W1	Mouse	This study	Complete genome	Troupin
JQ685956	AZBAT-7453	USA	AZ		USA	Big brown bat	Eptesicus fuscus	1975	Bats	EF-W1	Mouse	Troupin	Complete genome	Troupin
JQ685909	CA100	USA	CA		USA	Big brown bat	Eptesicus fuscus	2005	Bats	EF-W1	N-P-M-G - original brain; L and termini - mouse	This study	Complete genome	Troupin
JQ685974	SM3844	USA	AZ	Flagstaff	USA	Big brown bat	Eptesicus fuscus	1995	Bats	EF-W1	N-P-M-G - original brain; L and termini - mouse	Troupin	Complete genome	Troupin
JQ685907	SM3849	USA	AZ	Flagstaff	USA	Big brown bat	Eptesicus fuscus	1996	Bats	EF-W1	N-P-M-G - original brain; L and termini - mouse	This study	Complete genome	Troupin
JQ685946	SM4862	USA	AZ	Flagstaff	USA	Big brown bat	Eptesicus fuscus	1999	Bats	EF-W1	N-P-M-G - original brain; L and termini - mouse	This study	Complete genome	Troupin
JQ685923	SM4871	USA	AZ	Flagstaff	USA	Big brown bat	Eptesicus fuscus	1999	Bats	EF-W1	N-P-M-G - original brain; L and termini - mouse	This study	Complete genome	Troupin
JQ685960	SM4872	USA	AZ	Flagstaff	USA	Big brown bat	Eptesicus fuscus	2001	Bats	EF-W1	Original brain	Troupin	Complete genome	Troupin
JQ685897	SM5442	USA			USA	Big brown bat	Eptesicus fuscus	2001	Bats	EF-W1	N-P-M-G - original brain; L and termini - mouse	This study	Complete genome	Troupin
JQ685950	A093504	USA	AZ	Flagstaff	USA	Big brown bat	Eptesicus fuscus	2009	Bats	EF-W1	N-P-M-G - original brain; L and termini - mouse	This study	Complete genome	Troupin
JQ685926	AZ2408	USA	AZ	Flagstaff	USA	Big brown bat	Eptesicus fuscus	2005	Bats	EF-W1	Original brain	This study	N, P, M, G, L	Troupin
AY170413	SM5450	USA	AZ	Flagstaff	USA	Big brown bat	Eptesicus fuscus	2001	Bats	EF-W1	Original brain	[1]	N	Troupin
AF369342	V230.BBB	USA	TX		USA	Big brown bat	Eptesicus fuscus	1994	Bats	EF-W1		[18]	P	Troupin
JQ685942	AZBAT-65094	USA	AZ		USA	Big brown bat	Eptesicus fuscus	1981	Bats	EF-W2	Mouse	This study	Complete genome	Troupin
JQ685903	ca04148	USA	CA		USA	Big brown bat	Eptesicus fuscus	2004	Bats	EF-W2	N-P-M-G - original brain; L and termini - mouse	This study	Complete genome	Troupin
JQ685931	WA0173	USA	WA		USA	Big brown bat	Eptesicus fuscus	2000	Bats	EF-W2	N-P-M-G - original brain; L and termini - mouse	This study	Complete genome	Troupin
AF394887	804	USA	CA		USA	Big brown bat	Eptesicus fuscus	1987	Bats	EF-W2		[17]	N	Troupin
GU644683	wa1043	USA	WA		USA	Big brown bat	Eptesicus fuscus	2003	Bats	EF-W2	Original brain	[16]	N	Troupin
GU644851	wa1086	USA	WA		USA	Big brown bat	Eptesicus fuscus	2003	Bats	EF-W2	Original brain	[16]	N	Troupin
GU644682	wa267	USA	WA		USA	Big brown bat	Eptesicus fuscus	2000	Bats	EF-W2	Original brain	[16]	N	Troupin
JQ647510	WH11	China			China	Donkey	Equus asinus	2011	Asian	SEA1b	Original brain		Complete genome	Kuzmin
JQ423952	BJ2011E	China			China	Horse	Equus ferus	2011	Asian	SEA1b		Chen et al. unpublished	Complete genome	Kuzmin
KX148172	87007ARS	Saudi Arabia			Saudi Arabia	Horse	Equus ferus	1987	Cosmopolitan	ME1a	Original brain	This study	Complete genome	Kuzmin
AB383167		Brazil			Brazil	Black bonneted bat	Eumops auripendulus		Bats	EFu		[20]	G	Troupin
KX148223	14018AFS	South Africa			South Africa	Feline	Felidae sp.	2000	Africa-3		Original brain	This study	Complete genome	Kuzmin
KX148107	86097BEN	Benin			Benin	Cat	Felis catus	1986	Africa-2		Original brain	This study	Complete genome	Kuzmin
KC595281	8053c	Russia			Russia	Cat	Felis catus	2011	Cosmopolitan	CA1	Mouse		Complete genome	Kuzmin
JQ685993	A08-0500	USA	CO		USA	Cat	Felis catus	2008	RAC-SK		Original brain	Troupin	G	Troupin
JQ685945	SM6709	USA	AZ	Flagstaff	USA	Cat	Felis catus	2005	Bats	EF-W1	Original brain	This study	Complete genome	Troupin
KX148218	14016BOT	Botswana			Botswana	Wildcat	Felis silvestris	2009	Africa-3		Original brain	This study	Complete genome	Kuzmin
JQ686010	A11-6191	USA	WV		USA		Fox (unidentified)	2011	Bats	EF-E1	Original brain	Troupin	G	Troupin
KF977826	CAR_11_001	Central African Republic			Central African Republic	Human 	Homo sapiens	2011	Africa-2		Saliva		Complete genome	Kuzmin
KX148267	02050CHI	China			China	Human 	Homo sapiens	1992	Asian	SEA1a	Mouse	This study	Complete genome	Kuzmin
GU345747	RV_J	China			China	Human 	Homo sapiens	1986	Asian	SEA1a		Meng et al., unpublished	Complete genome	Troupin
KJ004416	JZ13_Lv	China			China	Human 	Homo sapiens	2013	Asian	SEA1b		Wang et al. unpublished	Complete genome	Kuzmin
EU643590	HN10	China			China	Human 	Homo sapiens	2006	Asian	SEA2a		[12]	Complete genome	Troupin
KX148101	86092EGY	Egypt			Egypt	Human 	Homo sapiens	1979	Cosmopolitan	AF4	Mouse	This study	Complete genome	Kuzmin
AY956319	Serotype_1	Germany			India	Human 	Homo sapiens	2004	Arctic	AL1a	Saliva?	Pfefferle et al., unpublished	Complete genome	Troupin
KX148160	92015HON	Hungary			Hungary	Human 	Homo sapiens	1991	Cosmopolitan	CA3	Original brain	This study	Complete genome	Kuzmin
AF325462	HUN1-HM	Hungary			Hungary	Human 	Homo sapiens	1992	Cosmopolitan	CA3		[19]	G	Troupin
EF437215	NNV_RAB_H	India			India	Human 	Homo sapiens	2006	Arctic	AL1a	Original brain	Desai et al., unpublished	Complete genome	Troupin
KF154996	RV61	India			India	Human 	Homo sapiens	1987	Arctic	AL1a	Mouse		Complete genome	Kuzmin
KX148246	97002IND	India			India	Human 	Homo sapiens	1997	Indian-Sub		Original brain	This study	Complete genome	Kuzmin
KX148207	14015ITA	Kenya			Kenya	Human 	Homo sapiens	2014	Cosmopolitan	AF1b	Original brain	This study	Complete genome	Kuzmin
KX148210	98002MAD	Madagascar			Madagascar	Human 	Homo sapiens	1998	Cosmopolitan	AF1c	Original brain	This study	Complete genome	Kuzmin
AF325487	MAL1-HM	Malaysia			Malaysia	Human 	Homo sapiens	1985	Asian	SEA3		[19]	G	Troupin
JQ685953	3645DR	Mexico			Mexico	Human 	Homo sapiens	2009	Bats	DR	mouse	This study	Complete genome	Troupin
KX148112	91010MEX	Mexico			Mexico	Human 	Homo sapiens	1991	Cosmopolitan	AM2a	Mouse	This study	Complete genome	Kuzmin
AF325469	MOR3-HM	Morocco			Morocco	Human 	Homo sapiens	1990	Cosmopolitan	AF1a		[19]	G	Troupin
U22488	8670NGA	Nigeria			Nigeria	Human 	Homo sapiens	1983	Cosmopolitan	AF1b		[7]	N	Troupin
EU086155	04030PHI	Philippines			Philippines	Human 	Homo sapiens	2004	Asian	SEA4		[10]	G	Troupin
KX148103	87021AFS	South Africa			South Africa	Human 	Homo sapiens	1981	Cosmopolitan	AF1b	Mouse	This study	Complete genome	Kuzmin
EU293111	8764THA	Thailand			Thailand	Human 	Homo sapiens	1983	Asian	SEA3	Mouse	[3]	Complete genome	Troupin
AF325466	TUN1-HM	Tunisia			Tunisia	Human 	Homo sapiens	1986	Cosmopolitan	AF1a		[19]	G	Troupin
AY352493	rv61	United Kingdom			India	Human 	Homo sapiens	1987	Arctic	AL1a	Mouse	[5]; this study	N	Troupin
JQ685981	rv61	United Kingdom			India	Human 	Homo sapiens	1987	Arctic	AL1a	Mouse	[5]; this study	G	Troupin
U52946		USA	CA		USA	Human 	Homo sapiens	1994	Bats	LN		[21]	G	Troupin
AY705373	SHBRV18	USA			USA	Human 	Homo sapiens	1983	Bats	PS	mouse	[14]	Complete genome	Troupin
KC737850	A11_5300	USA			USA	Human 	Homo sapiens	2011	Cosmopolitan	AM3a	Original brain	McGuone et al. unpublished	Complete genome	Kuzmin
AF369345	4398.SHB	Canada			Canada	Silver-haired bat	Lasionycteris noctivagans	1980	Bats	LN		[18]	P	Troupin
AF369346	V077.SHB	Canada			Canada	Silver-haired bat	Lasionycteris noctivagans	1988	Bats	LN		[18]	P	Troupin
AF369356	V158.SHB	Canada			Canada	Silver-haired bat	Lasionycteris noctivagans	1991	Bats	LN		[18]	P	Troupin
JQ685895	WA1185	USA	WA		USA	Silver-haired bat	Lasionycteris noctivagans	2003	Bats	LN	N-P-M-G - original brain; L and termini - mouse	This study	Complete genome	Troupin
JQ686004	A10-3672	USA	AL		USA	Silver-haired bat	Lasionycteris noctivagans	2009	Bats	LN	Original brain	Troupin	G	Troupin
JQ686001	AW3565	USA	AL		USA	Silver-haired bat	Lasionycteris noctivagans	2010	Bats	LN	Original brain	Troupin	G	Troupin
AF369351	6832.RB	Canada			Canada	Eastern red bat	Lasiurus borealis	1991	Bats	LB1		[18]	P	Troupin
JQ685919	NJ2262	USA	NJ		USA	Eastern red bat	Lasiurus borealis	2005	Bats	LB1	N-P-M-G - original brain; L and termini - mouse	This study	Complete genome	Troupin
JQ685902	TN209	USA	TN		USA	Eastern red bat	Lasiurus borealis	2005	Bats	LB2	N-P-M-G - original brain; L and termini - mouse	This study	Complete genome	Troupin
JQ686007	LAH60	USA	NC		USA	Eastern red bat	Lasiurus borealis	2010	Bats	LB2	Original brain	Troupin	G	Troupin
AF369348	V231.RB	USA	TX		USA	Eastern red bat	Lasiurus borealis	1994	Bats	LB2		[18]	P	Troupin
AF369347	V103.HB	Canada			Canada	Hoary bat	Lasiurus cinereus	1992	Bats	LC		[18]	P	Troupin
JQ685999	T94-0237	USA	CA		USA	Hoary bat	Lasiurus cinereus	1994	Bats	LC	Original brain	Troupin	G	Troupin
JQ685947	TN310	USA	TN		USA	Hoary bat	Lasiurus cinereus	2004	Bats	LC	N-P-M-G - original brain; L and termini - mouse	This study	Complete genome	Troupin
JQ685916	FL1010	USA	FL		USA	Northern yellow bat	Lasiurus intermedius	2002	Bats	LI	N-P-M-G - original brain; L and termini - mouse	This study	Complete genome	Troupin
JQ685915	TX4904	USA	TX		USA	Northern yellow bat	Lasiurus intermedius	2002	Bats	LI	N-P-M-G - original brain; L and termini - mouse	This study	Complete genome	Troupin
JQ686005	A10-3653	USA	FL		USA	Northern yellow bat	Lasiurus intermedius	2008	Bats	LI	Original brain	Troupin	G	Troupin
JQ685900	FL769	USA	FL		USA	Seminole bat	Lasiurus seminolus	2003	Bats	LS	N-P-M-G - original brain; L and termini - mouse	This study	Complete genome	Troupin
JQ685910	TX5960	USA	TX		USA	Seminole bat	Lasiurus xanthinus	2002	Bats	LX	N-P-M-G - original brain; L and termini - mouse	This study	Complete genome	Troupin
AB362483	BR_Pfx1	Brazil			Brazil	Brazilian wild fox	Lycalopex vetulus	2002	Cosmopolitan	AM3b	Original brain	[13]	Complete genome	Troupin
AB645847	1088	USA			USA	Woodchuck	Marmota monax	2008	Cosmopolitan	AM1	Mouse		Complete genome	Kuzmin
KX148219	14017BOT	Botswana			Botswana	Honey badger	Mellivora capensis	2009	Africa-3		Original brain	This study	Complete genome	Kuzmin
KC762941	JX09_17	China			China	Ferret badger	Melogale moschata	2009	Asian	SEA1b	Original brain		Complete genome	Kuzmin
KF726853	JX10_37	China			China	Ferret badger	Melogale moschata	2010	Asian	SEA1b	Original brain		Complete genome	Kuzmin
FJ712195	F02	China			China	Ferret badger	Melogale moschata	2008	Asian	SEA2b	Original brain	[2]	Complete genome	Troupin
FJ712196	F04	China			China	Ferret badger	Melogale moschata	2008	Asian	SEA2b		[2]	Complete genome	Troupin
GU647092	JX08_45	China			China	Ferret badger	Melogale moschata	2008	Asian	SEA2b		Zhao et al. unpublished	Complete genome	Kuzmin
KF726852	JX09_18	China			China	Ferret badger	Melogale moschata	2009	Asian	SEA2b	Original brain		Complete genome	Kuzmin
KF620487	R2012_26	Taiwan			Taiwan	Ferret badger	Melogale moschata	2012	Asian	SEA5	Original brain		Complete genome	Kuzmin
KF620488	R2012_88	Taiwan			Taiwan	Ferret badger	Melogale moschata	2012	Asian	SEA5	Original brain		Complete genome	Kuzmin
KF620489	R2013_01	Taiwan			Taiwan	Ferret badger	Melogale moschata	2013	Asian	SEA5	Original brain		Complete genome	Kuzmin
AF369265	ONT1.RFX	Canada			Canada	Striped skunk	Mephitis mephitis	1991	Arctic	A		[18]	P	Troupin
AF369286	1741WC.SK	Canada			Canada	Striped skunk	Mephitis mephitis	1992	Cosmopolitan	AM1		[18]	P	Troupin
AF369285	867WC.SK	Canada			Canada	Striped skunk	Mephitis mephitis	1992	Cosmopolitan	AM1		[18]	P	Troupin
JQ685986	A10-3013	USA	TX		USA	Striped skunk	Mephitis mephitis	2009	RAC-SK		Original brain	Troupin	G	Troupin
KX148224	91004USA	USA			USA	Striped skunk	Mephitis mephitis	1991	Arctic	A	Original brain	This study	Complete genome	Kuzmin
JQ685941	SM1545	USA	AZ	Flagstaff	USA	Striped skunk	Mephitis mephitis	2005	Bats	EF-W1	Original brain	This study	Complete genome	Troupin
JQ685932	SM5076	USA	AZ	Flagstaff	USA	Striped skunk	Mephitis mephitis	2001	Bats	EF-W1	Original brain	This study	Complete genome	Troupin
JQ685911	SM5077	USA	AZ	Flagstaff	USA	Striped skunk	Mephitis mephitis	2001	Bats	EF-W1	Original brain	This study	Complete genome	Troupin
JQ685893	SM5079	USA	AZ	Flagstaff	USA	Striped skunk	Mephitis mephitis	2001	Bats	EF-W1	Original brain	This study	Complete genome	Troupin
JQ685904	SM5081	USA	AZ	Flagstaff	USA	Striped skunk	Mephitis mephitis	2001	Bats	EF-W1	Original brain	This study	Complete genome	Troupin
JQ685940	SM5100	USA	AZ	Flagstaff	USA	Striped skunk	Mephitis mephitis	2001	Bats	EF-W1	Original brain	This study	Complete genome	Troupin
JQ685958	SM5101	USA	AZ	Flagstaff	USA	Striped skunk	Mephitis mephitis	2001	Bats	EF-W1	Original brain	Troupin	Complete genome	Troupin
JQ685969	SM5440	USA	AZ	Flagstaff	USA	Striped skunk	Mephitis mephitis	2001	Bats	EF-W1	Original brain	Troupin	Complete genome	Troupin
JQ685962	SM5441	USA	AZ	Flagstaff	USA	Striped skunk	Mephitis mephitis	2001	Bats	EF-W1	Original brain	Troupin	Complete genome	Troupin
JQ685959	SM5451	USA	AZ	Flagstaff	USA	Striped skunk	Mephitis mephitis	2001	Bats	EF-W1	Original brain	Troupin	Complete genome	Troupin
JQ685935	SM5074	USA	AZ	Flagstaff	USA	Striped skunk	Mephitis mephitis	2001	Bats	EF-W1	Original brain	This study	N, P, M, G, L	Troupin
JQ685949	SM5075	USA	AZ	Flagstaff	USA	Striped skunk	Mephitis mephitis	2001	Bats	EF-W1	Original brain	This study	N, P, M, G, L	Troupin
JQ685927	SM5080	USA	AZ	Flagstaff	USA	Striped skunk	Mephitis mephitis	2001	Bats	EF-W1	Original brain	This study	N, P, M, G, L	Troupin
JQ685906	SM5102	USA	AZ	Flagstaff	USA	Striped skunk	Mephitis mephitis	2001	Bats	EF-W1	Original brain	This study	N, P, M, G, L	Troupin
JQ685930	SM5103	USA	AZ	Flagstaff	USA	Striped skunk	Mephitis mephitis	2001	Bats	EF-W1	Original brain	This study	N, P, M, G, L	Troupin
JQ685966	SM5470	USA	AZ	Flagstaff	USA	Striped skunk	Mephitis mephitis	2001	Bats	EF-W1	Original brain	Troupin	Complete genome	Troupin
JQ685964	SM5596	USA	AZ	Flagstaff	USA	Striped skunk	Mephitis mephitis	2004	Bats	EF-W1	Original brain	Troupin	Complete genome	Troupin
JQ685944	NC839	USA	TN		USA	Striped skunk	Mephitis mephitis	1984	Cosmopolitan	AM1	Original brain	This study	Complete genome	Troupin
AF369289	V213.SK	USA	TX		USA	Striped skunk	Mephitis mephitis	1994	Cosmopolitan	AM2a		[18]	P	Troupin
JQ685894	CA982	USA	CA		USA	Striped skunk	Mephitis mephitis	1994	Cosmopolitan	AM4	Original brain	This study	Complete genome	Troupin
JQ685970	CASK2	USA	CA		USA	Striped skunk	Mephitis mephitis	1974	Cosmopolitan	AM4	Original brain	Troupin	Complete genome	Troupin
JQ685968	A10-0512	USA	AZ	Flagstaff	USA	Striped skunk	Mephitis mephitis	2009	RAC-SK		Original brain	Troupin	Complete genome	Troupin
JQ685938	A10-0514	USA	AZ	Flagstaff	USA	Striped skunk	Mephitis mephitis	2009	RAC-SK		Original brain	This study	Complete genome	Troupin
AF369287	V211.SK	USA	TX		USA	Striped skunk	Mephitis mephitis	1994	RAC-SK			[18]	P	Troupin
AF369291	V216.SK	USA	TX		USA	Striped skunk	Mephitis mephitis	1994	RAC-SK			[18]	P	Troupin
JQ685967	NC1234	USA	AZ		USA	Striped skunk	Mephitis mephitis		Cosmopolitan	AM1	Original brain	Troupin	Complete genome	Troupin
KX148221	15002AFS	South Africa			South Africa	Mongoose	Mustelidae sp.	2014	Africa-3		Original brain	This study	Complete genome	Kuzmin
KX148213	91001USA	USA			USA	Skunk	Musteloidea sp.	1982	Cosmopolitan	AM1	Mouse	This study	Complete genome	Kuzmin
JQ685921	FL1078	USA	FL		USA	Southeastern myotis	Myotis austroriparius	2001	Bats	PH	N-P-M-G - original brain; L and termini - mouse	This study	Complete genome	Troupin
AF351836	MC2	Canada	BC		Canada	California myotis	Myotis californicus	1992	Bats	MYsp		[15]	N	Troupin
AF351835	ME1	Canada	BC		Canada	Long-eared myotis	Myotis evotis	1992	Bats	MYsp		[15]	N	Troupin
AF369354	V102.MYO	Canada			Canada	Long-eared myotis	Myotis evotis	1992	Bats	MYsp		[18]	P	Troupin
AF351839	ML4	Canada	BC		Canada	Little brown bat	Myotis lucifugus	1992	Bats	MYsp		[15]	N	Troupin
AF351838	ML6	Canada	NS		Canada	Little brown bat	Myotis lucifugus	1994	Bats	MYsp		[15]	N	Troupin
AF369344	4887.LBB	Canada			Canada	Little brown bat	Myotis lucifugus	1994	Bats	MYsp		[18]	P	Troupin
AF369352	7890.LBB	Canada			Canada	Little brown bat	Myotis lucifugus	1997	Bats	MYsp		[18]	P	Troupin
AF369343	V089.LBB	Canada			Canada	Little brown bat	Myotis lucifugus	1992	Bats	MYsp		[18]	P	Troupin
AF369358	V179.LBB	Canada			Canada	Little brown bat	Myotis lucifugus	1993	Bats	MYsp		[18]	P	Troupin
AF369349	3694.MYO	Canada			Canada		Myotis sp	1996	Bats	MYsp		[18]	P	Troupin
JQ685997	A10-5170	USA	ID		USA		Myotis sp	2010	Bats	MYsp	Original brain	Troupin	G	Troupin
JQ685998	T91-0038	USA	CA		USA		Myotis sp	1991	Bats	MYsp	Original brain	Troupin	G	Troupin
AF325494	USA8-BT	USA	MT		USA		Myotis sp	1981	Bats	MYsp		[19]	G	Troupin
AF325495	USA9-BT	USA	MT		USA		Myotis sp	1982	Bats	MYsp		[19]	G	Troupin
JQ685955	AZ4490	USA	AZ		USA	Yuma myotis	Myotis yumanensis	2005	Bats	MYu	N-P-M-G - original brain; L and termini - mouse	Troupin	Complete genome	Troupin
JQ685963	Coati -3639	Mexico		Cancun	Mexico	Coati	Nasua narica	2009	Bats	TB1	Mouse	Troupin	Complete genome	Troupin
KX148149	93039EST	Estonia			Estonia	Raccoon dog	Nyctereutes procyonoides	1991	Cosmopolitan	NEE	Original brain	This study	Complete genome	Kuzmin
KX148156	93042EST	Estonia			Estonia	Raccoon dog	Nyctereutes procyonoides	1991	Cosmopolitan	NEE	Original brain	This study	Complete genome	Kuzmin
KX148157	93043EST	Estonia			Estonia	Raccoon dog	Nyctereutes procyonoides	1993	Cosmopolitan	NEE	Original brain	This study	Complete genome	Kuzmin
U43432	9342EST	Estonia			Estonia	Raccoon dog	Nyctereutes procyonoides	1991	Cosmopolitan	NEE		[6]	N	Troupin
KF154997	RV437	Estonia			Estonia	Raccoon dog	Nyctereutes procyonoides		Cosmopolitan	NEE	Mouse		Complete genome	Kuzmin
KX148147	93048FIN	Finland			Finland	Raccoon dog	Nyctereutes procyonoides	1988	Cosmopolitan	NEE	Original brain	This study	Complete genome	Kuzmin
KX148118	96077POL	Poland			Poland	Raccoon dog	Nyctereutes procyonoides	1994	Cosmopolitan	CE	Original brain	This study	Complete genome	Kuzmin
KX148120	96140POL	Poland			Poland	Raccoon dog	Nyctereutes procyonoides	1993	Cosmopolitan	CE	Original brain	This study	Complete genome	Kuzmin
AF325464	POL1-RD	Poland			Poland	Raccoon dog	Nyctereutes procyonoides	1985	Cosmopolitan	CE		[19]	G	Troupin
KX148150	96026POL	Poland			Poland	Raccoon dog	Nyctereutes procyonoides	1986	Cosmopolitan	NEE	Original brain	This study	Complete genome	Kuzmin
KX148153	96097POL	Poland			Poland	Raccoon dog	Nyctereutes procyonoides	1996	Cosmopolitan	NEE	Original brain	This study	Complete genome	Kuzmin
KX148152	96142POL	Poland			Poland	Raccoon dog	Nyctereutes procyonoides	1996	Cosmopolitan	NEE	Original brain	This study	Complete genome	Kuzmin
KX148154	97078POL	Poland			Poland	Raccoon dog	Nyctereutes procyonoides	1997	Cosmopolitan	NEE	Cosmopolitan – NEE	This study	Complete genome	Kuzmin
AF369284	RU9.RD	Russia			Russia	Raccoon dog	Nyctereutes procyonoides	1988	Arctic	AL2		[18]	P	Troupin
JQ944704	184VNO	Russia			Russia	Raccoon dog	Nyctereutes procyonoides	2009	Cosmopolitan	NEE	Original brain	Chupin et al. unpublished	Complete genome	Kuzmin
KC171644	BD0406CC	South Korea			South Korea	Raccoon dog	Nyctereutes procyonoides	2004	Arctic	AL2	Original brain		Complete genome	Kuzmin
KC171645	BV9901PJ	South Korea			South Korea	Raccoon dog	Nyctereutes procyonoides	1999	Arctic	AL2	Original brain		Complete genome	Kuzmin
AB383172	BR-NL2	Brazil			Brazil	Broad-eared bat	Nyctinomops laticaudatus		Bats	EFu		[20]	G	Troupin
KX148159	86082IRA	Iran			Iran	Sheep	Ovis aries	1974	Cosmopolitan	CA1	Mouse	This study	Complete genome	Kuzmin
AB635373	H_1413_09	Sri Lanka			Sri Lanka	Golden palm civet	Paradoxurus zeylonensis	2009	Indian-Sub		Original brain		Complete genome	Kuzmin
JQ685952	A02-2971	USA	CA		USA	Canyon bat	Parastrellus hesperos	2002	Bats	PH	N-P-M-G - original brain; L and termini - mouse	This study	Complete genome	Troupin
JQ685965	A02-2972	USA	AZ		USA	Canyon bat	Parastrellus hesperos	2002	Bats	PH	N-P-M-G - original brain; L and termini - mouse	Troupin	Complete genome	Troupin
JQ685922	TN186	USA	TN		USA	Tricolored bat	Perimyotis subflavus	2005	Bats	PS	N-P-M-G - original brain; L and termini - mouse	This study	Complete genome	Troupin
JQ686003	A10-5102	USA	NC		USA	Tricolored bat	Perimyotis subflavus	2010	Bats	PS	Original brain	Troupin	G	Troupin
JQ686000	US07-010	USA	NC		USA	Tricolored bat	Perimyotis subflavus	2010	Bats	PS	Original brain	Troupin	G	Troupin
KX148100	09035FRA	French Guiana			French Guiana	Bat 	Phyllostomidae stenodermatinae	2009	Bats	DR	Original brain	This study	Complete genome	Kuzmin
EU311738	RRV_ON_99	Canada	ON		Canada	Raccoon	Procyon lotor	1999	RAC-SK		Original brain	[4]	Complete genome	Troupin
AF369294	FL.RAC	USA	FL		USA	Raccoon	Procyon lotor	1987	RAC-SK			[18]	P	Troupin
AF369293	NY.RAC	USA	NY		USA	Raccoon	Procyon lotor	1992	RAC-SK			[18]	P	Troupin
JQ685901	RAC	USA	GA		USA	Raccoon	Procyon lotor	2003	RAC-SK		Mouse	This study	Complete genome	Troupin
JQ685975	MEXSK3636	Mexico			Mexico	Spotted skunk	Spilogale putorius	2009	Cosmopolitan	Vac2	Mouse	Troupin	Complete genome	Troupin
