SequenceID	Accession	GenBankName	Strain	Region	Year	Country	IslandGroup	Region	Province	Municipality	Species_latin_binomial
TRa-244_X_2009	AB564010	RV/R10.PHL/2009/TRa-244	TRa-244	X	2009	Philippines	Mindanao	X	Misamis Oriental	Cagayan de Oro City	Canis familiaris
TRa-246_X_2009	AB564011	RV/R10.PHL/2009/TRa-246	TRa-246	X	2009	Philippines	Mindanao	X	Misamis Oriental	Cagayan de Oro City	Canis familiaris
TRa-248_X_2009	AB564012	RV/R10.PHL/2009/TRa-248	TRa-248	X	2009	Philippines	Mindanao	X	Misamis Oriental	Cagayan de Oro City	Canis familiaris
TRa-249_X_2009	AB564013	RV/R10.PHL/2009/TRa-249	TRa-249	X	2009	Philippines	Mindanao	X	Misamis Oriental	Jasaan	Canis familiaris
TRa-250_X_2009	AB564014	RV/R10.PHL/2009/TRa-250	TRa-250	X	2009	Philippines	Mindanao	X	Misamis Oriental	Binuangan	Canis familiaris
TRa-251_X_2009	AB564015	RV/R10.PHL/2009/TRa-251	TRa-251	X	2009	Philippines	Mindanao	X	Lanao Del Norte	Linamon	Canis familiaris
TRa-252_X_2009	AB564016	RV/R10.PHL/2009/TRa-252	TRa-252	X	2009	Philippines	Mindanao	X	Misamis Oriental	Cagayan de Oro City	Canis familiaris
TRa-253_X_2009	AB564017	RV/R10.PHL/2009/TRa-253	TRa-253	X	2009	Philippines	Mindanao	X	Misamis Oriental	Cagayan de Oro City	Canis familiaris
TRa-254_X_2009	AB564018	RV/R10.PHL/2009/TRa-254	TRa-254	X	2009	Philippines	Mindanao	X	Misamis Oriental	Cagayan de Oro City	Canis familiaris
TRa-255_X_2009	AB564019	RV/R10.PHL/2009/TRa-255	TRa-255	X	2009	Philippines	Mindanao	X	Misamis Oriental	Cagayan de Oro City	Canis familiaris
TRa-256_I_2009	AB733964	RV/R1.PHL/2009/TRa-256	TRa-256	I	2009	Philippines	Luzon	I	Pangasinan	San Manuel	Canis familiaris
TRa-257_I_2009	AB733965	RV/R1.PHL/2009/TRa-257	TRa-257	I	2009	Philippines	Luzon	I	Pangasinan	Bani	Canis familiaris
TRa-258_I_2009	AB733966	RV/R1.PHL/2009/TRa-258	TRa-258	I	2009	Philippines	Luzon	I	Pangasinan	Agno	Canis familiaris
TRa-259_I_2009	AB733967	RV/R1.PHL/2009/TRa-259	TRa-259	I	2009	Philippines	Luzon	I	Pangasinan	San Carlos City	Canis familiaris
TRa-260_I_2009	AB733968	RV/R1.PHL/2009/TRa-260	TRa-260	I	2009	Philippines	Luzon	I	Pangasinan	Alcala	Canis familiaris
TRa-263_I_2009	AB733969	RV/R1.PHL/2009/TRa-263	TRa-263	I	2009	Philippines	Luzon	I	Pangasinan	Dagupan City	Canis familiaris
TRa-265_I_2009	AB733970	RV/R1.PHL/2009/TRa-265	TRa-265	I	2009	Philippines	Luzon	I	Ilocos Sur	Tagudin	Canis familiaris
TRa-268_V_2009	AB733977	RV/R5.PHL/2009/TRa-268	TRa-268	V	2009	Philippines	Luzon	V	Sorsogon	Gubat	Canis familiaris
TRa-272_V_2009	AB733978	RV/R5.PHL/2009/TRa-272	TRa-272	V	2009	Philippines	Luzon	V	Albay	Daraga (Locsin)	Canis familiaris
TRa-273_V_2009	AB733979	RV/R5.PHL/2009/TRa-273	TRa-273	V	2009	Philippines	Luzon	V	Albay	Legaspi City	Canis familiaris
TRa-279_II_2009	AB733974	RV/R2.PHL/2009/TRa-279	TRa-279	II	2009	Philippines	Luzon	II	Isabela City	San Mateo	Canis familiaris
TRa-283_II_2009	AB733975	RV/R2.PHL/2009/TRa-283	TRa-283	II	2009	Philippines	Luzon	II	Isabela City	Santiago	Canis familiaris
TRa-284_II_2009	AB733976	RV/R2.PHL/2009/TRa-284	TRa-284	II	2009	Philippines	Luzon	II	Isabela City	San Agustin	Canis familiaris
TRa-285_CAR_2009	AB733961	RV/CAR.PHL/2009/TRa-285	TRa-285	CAR	2009	Philippines	Luzon	CAR	Mountain Province	Bontoc	Canis familiaris
TRa-286_I_2010	AB733971	RV/R1.PHL/2010/TRa-286	TRa-286	I	2010	Philippines	Luzon	I	Ilocos Sur	Suyo	Canis familiaris
TRa-289_CAR_2010	AB733962	RV/CAR.PHL/2010/TRa-289	TRa-289	CAR	2010	Philippines	Luzon	CAR	Ifugao	Alfonso	Canis familiaris
TRa-299_I_2010	AB733972	RV/R1.PHL/2010/TRa-299	TRa-299	I	2010	Philippines	Luzon	I	Pangasinan	San Carlos City	Canis familiaris
TRa-300_I_2010	AB733973	RV/R1.PHL/2010/TRa-300	TRa-300	I	2010	Philippines	Luzon	I	Pangasinan	Alcala	Canis familiaris
TRa-302_III_2012	LC018482	RV/R3.PHL/2012/TRa-302	TRa-302	III	2012	Philippines	Luzon	III	Tarlac	Capas	Canis familiaris
TRa-303_III_2012	LC018483	RV/R3.PHL/2012/TRa-303	TRa-303	III	2012	Philippines	Luzon	III	Bulacan	Hagonoy	Canis familiaris
TRa-305_III_2012	LC018484	RV/R3.PHL/2012/TRa-305	TRa-305	III	2012	Philippines	Luzon	III	Pampanga	Candaba	Canis familiaris
TRa-306_III_2012	LC018485	RV/R3.PHL/2012/TRa-306	TRa-306	III	2012	Philippines	Luzon	III	Nueva Ecija	Guimba	Canis familiaris
TRa-307_III_2012	LC018486	RV/R3.PHL/2012/TRa-307	TRa-307	III	2012	Philippines	Luzon	III	Tarlac	Bamban	Canis familiaris
TRa-308_III_2012	LC018487	RV/R3.PHL/2012/TRa-308	TRa-308	III	2012	Philippines	Luzon	III	Bulacan	Santa Maria	Canis familiaris
TRa-309_III_2012	LC018488	RV/R3.PHL/2012/TRa-309	TRa-309	III	2012	Philippines	Luzon	III	Tarlac	Capas	Canis familiaris
TRa-310_III_2012	LC018489	RV/R3.PHL/2012/TRa-310	TRa-310	III	2012	Philippines	Luzon	III	Bulacan	Santa Maria	Canis familiaris
TRa-311_III_2012	LC018490	RV/R3.PHL/2012/TRa-311	TRa-311	III	2012	Philippines	Luzon	III	Bulacan	Paombong	Canis familiaris
TRa-312_III_2012	LC018491	RV/R3.PHL/2012/TRa-312	TRa-312	III	2012	Philippines	Luzon	III	Nueva Ecija	Zaragosa	Canis familiaris
TRa-313_III_2012	LC018492	RV/R3.PHL/2012/TRa-313	TRa-313	III	2012	Philippines	Luzon	III	Bulacan	Hagonoy	Canis familiaris
TRa-314_III_2012	LC018493	RV/R3.PHL/2012/TRa-314	TRa-314	III	2012	Philippines	Luzon	III	Tarlac	Concepcion	Canis familiaris
TRa-315_III_2012	LC018494	RV/R3.PHL/2012/TRa-315	TRa-315	III	2012	Philippines	Luzon	III	Bulacan	San Jose del Monte	Canis familiaris
TRa-317_III_2012	LC018495	RV/R3.PHL/2012/TRa-317	TRa-317	III	2012	Philippines	Luzon	III	Bulacan	Meycauayan	Canis familiaris
TRa-318_III_2012	LC018496	RV/R3.PHL/2012/TRa-318	TRa-318	III	2012	Philippines	Luzon	III	Bulacan	Marilao	Canis familiaris
TRa-320_I_2012	LC018497	RV/R1.PHL/2012/TRa-320	TRa-320	I	2012	Philippines	Luzon	I	Pangasinan	Bolinao	Canis familiaris
TRa-323_I_2012	LC018498	RV/R1.PHL/2012/TRa-323	TRa-323	I	2012	Philippines	Luzon	I	Pangasinan	Alaminos	Canis familiaris
TRa-324_I_2012	LC018499	RV/R1.PHL/2012/TRa-324	TRa-324	I	2012	Philippines	Luzon	I	Pangasinan	Bolinao	Canis familiaris
TRa-325_I_2012	LC018500	RV/R1.PHL/2012/TRa-325	TRa-325	I	2012	Philippines	Luzon	I	Pangasinan	Alaminos	Canis familiaris
TRa-327_I_2012	LC018501	RV/R1.PHL/2012/TRa-327	TRa-327	I	2012	Philippines	Luzon	I	Pangasinan	Mangatarem	unknown
TRa-337_V_2012	LC018502	RV/R5.PHL/2012/TRa-337	TRa-337	V	2012	Philippines	Luzon	V	Camarines Sur	Naga City	Canis familiaris
TRa-338_V_2012	LC018503	RV/R5.PHL/2012/TRa-338	TRa-338	V	2012	Philippines	Luzon	V	Catanduanes	Panganiban	Canis familiaris
TRa-339_V_2012	LC018504	RV/R5.PHL/2012/TRa-339	TRa-339	V	2012	Philippines	Luzon	V	Albay	Oas	Canis familiaris
TRa-340_V_2012	LC018505	RV/R5.PHL/2012/TRa-340	TRa-340	V	2012	Philippines	Luzon	V	Camarines Norte	Daet	Canis familiaris
TRa-343_V_2012	LC018506	RV/R5.PHL/2012/TRa-343	TRa-343	V	2012	Philippines	Luzon	V	Camarines Norte	Labo	Canis familiaris
TRa-344_V_2012	LC018507	RV/R5.PHL/2012/TRa-344	TRa-344	V	2012	Philippines	Luzon	V	Camarines Sur	Naga City	Canis familiaris
TRa-346_III_2013	LC018508	RV/R3.PHL/2013/TRa-346	TRa-346	III	2013	Philippines	Luzon	III	Pampanga	San Simon	Canis familiaris
TRa-347_III_2013	LC018509	RV/R3.PHL/2013/TRa-347	TRa-347	III	2013	Philippines	Luzon	III	Nueva Ecija	Licab	unknown
TRa-348_III_2013	LC018510	RV/R3.PHL/2013/TRa-348	TRa-348	III	2013	Philippines	Luzon	III	Nueva Ecija	San Antonio	Canis familiaris
TRa-349_III_2013	LC018511	RV/R3.PHL/2013/TRa-349	TRa-349	III	2013	Philippines	Luzon	III	Nueva Ecija	San Antonio	Canis familiaris
TRa-350_III_2013	LC018512	RV/R3.PHL/2013/TRa-350	TRa-350	III	2013	Philippines	Luzon	III	Bulacan	Malolos	Canis familiaris
TRa-351_III_2013	LC018513	RV/R3.PHL/2013/TRa-351	TRa-351	III	2013	Philippines	Luzon	III	Bulacan	Pandi	unknown
TRa-352_III_2013	LC018514	RV/R3.PHL/2013/TRa-352	TRa-352	III	2013	Philippines	Luzon	III	Bulacan	San Jose del Monte	Canis familiaris
TRa-353_III_2013	LC018515	RV/R3.PHL/2013/TRa-353	TRa-353	III	2013	Philippines	Luzon	III	Bulacan	Malolos	Canis familiaris
TRa-354_III_2013	LC018516	RV/R3.PHL/2013/TRa-354	TRa-354	III	2013	Philippines	Luzon	III	Bulacan	Baliuag	Canis familiaris
TRa-355_V_2012	LC018517	RV/R5.PHL/2012/TRa-355	TRa-355	V	2012	Philippines	Luzon	V	Albay	Tiwi	Canis familiaris
TRa-356_V_2012	LC018518	RV/R5.PHL/2012/TRa-356	TRa-356	V	2012	Philippines	Luzon	V	Albay	Tabaco	Canis familiaris
TRa-357_V_2012	LC018519	RV/R5.PHL/2012/TRa-357	TRa-357	V	2012	Philippines	Luzon	V	Sorsogon	Castilla	Canis familiaris
TRa-358_V_2012	LC018520	RV/R5.PHL/2012/TRa-358	TRa-358	V	2012	Philippines	Luzon	V	Camarines Norte	Labo	Canis familiaris
TRa-360_V_2012	LC018521	RV/R5.PHL/2012/TRa-360	TRa-360	V	2012	Philippines	Luzon	V	Albay	Legaspi City	Canis familiaris
TRa-362_V_2012	LC018522	RV/R5.PHL/2012/TRa-362	TRa-362	V	2012	Philippines	Luzon	V	Albay	Oas	Canis familiaris
TRa-364_V_2013	LC018523	RV/R5.PHL/2013/TRa-364	TRa-364	V	2013	Philippines	Luzon	V	Albay	Camalig	Canis familiaris
TRa-365_V_2013	LC018524	RV/R5.PHL/2013/TRa-365	TRa-365	V	2013	Philippines	Luzon	V	Albay	Tabaco	Canis familiaris
TRa-370_CAR_2013	LC018525	RV/CAR.PHL/2013/TRa-370	TRa-370	CAR	2013	Philippines	Luzon	CAR	Kalinga Apayao	Tabuk	Canis familiaris
TRa-375_I_2012	LC018526	RV/R1.PHL/2012/TRa-375	TRa-375	I	2012	Philippines	Luzon	I	Pangasinan	San Carlos City	Canis familiaris
TRa-376_I_2012	LC018527	RV/R1.PHL/2012/TRa-376	TRa-376	I	2012	Philippines	Luzon	I	Pangasinan	Alcala	Canis familiaris
TRa-377_I_2012	LC018528	RV/R1.PHL/2012/TRa-377	TRa-377	I	2012	Philippines	Luzon	I	Pangasinan	Santa Barabara	Canis familiaris
TRa-378_I_2012	LC018529	RV/R1.PHL/2012/TRa-378	TRa-378	I	2012	Philippines	Luzon	I	Pangasinan	Santa Barabara	Canis familiaris
TRa-379_I_2012	LC018530	RV/R1.PHL/2012/TRa-379	TRa-379	I	2012	Philippines	Luzon	I	Pangasinan	San Jacinto	Canis familiaris
TRa-381_I_2012	LC018531	RV/R1.PHL/2012/TRa-381	TRa-381	I	2012	Philippines	Luzon	I	Pangasinan	Manaoag	Canis familiaris
TRa-382_I_2012	LC018532	RV/R1.PHL/2012/TRa-382	TRa-382	I	2012	Philippines	Luzon	I	La Union 	Aringay	Canis familiaris
TRa-383_I_2012	LC018533	RV/R1.PHL/2012/TRa-383	TRa-383	I	2012	Philippines	Luzon	I	Pangasinan	Sual	Canis familiaris
TRa-384_I_2012	LC018534	RV/R1.PHL/2012/TRa-384	TRa-384	I	2012	Philippines	Luzon	I	Pangasinan	San Jacinto	Canis familiaris
TRa-392_IV-B_2011	LC018535	RV/R4B.PHL/2011/TRa-392	TRa-392	IV-B	2011	Philippines	Luzon	IV-B	Romblon	Odiongan	Canis familiaris
TRa-393_IV-A_2011	LC018536	RV/R4A.PHL/2011/TRa-393	TRa-393	IV-A	2011	Philippines	Luzon	IV-A	Laguna	Calamba	Canis familiaris
TRa-394_IV-B_2011	LC018537	RV/R4B.PHL/2011/TRa-394	TRa-394	IV-B	2011	Philippines	Luzon	IV-B	Romblon	Looc	Canis familiaris
TRa-396_IV-B_2011	LC018538	RV/R4B.PHL/2011/TRa-396	TRa-396	IV-B	2011	Philippines	Luzon	IV-B	Romblon	Looc	Canis familiaris
TRa-397_IV-B_2012	LC018539	RV/R4B.PHL/2012/TRa-397	TRa-397	IV-B	2012	Philippines	Luzon	IV-B	Romblon	Odiongan	Canis familiaris
TRa-398_IV-A_2012	LC018540	RV/R4A.PHL/2012/TRa-398	TRa-398	IV-A	2012	Philippines	Luzon	IV-A	Quezon	Lucena City	Canis familiaris
TRa-400_IV-B_2012	LC018541	RV/R4B.PHL/2012/TRa-400	TRa-400	IV-B	2012	Philippines	Luzon	IV-B	Romblon	Odiongan	Canis familiaris
TRa-401_IV-A_2012	LC018542	RV/R4A.PHL/2012/TRa-401	TRa-401	IV-A	2012	Philippines	Luzon	IV-A	Batangas	San Nicolas	Canis familiaris
TRa-402_IV-B_2012	LC018543	RV/R4B.PHL/2012/TRa-402	TRa-402	IV-B	2012	Philippines	Luzon	IV-B	Romblon	Odiongan	Canis familiaris
TRa-404_IV-A_2012	LC018544	RV/R4A.PHL/2012/TRa-404	TRa-404	IV-A	2012	Philippines	Luzon	IV-A	Batangas	Tanauan	Canis familiaris
TRa-405_CAR_2013	LC018545	RV/CAR.PHL/2013/TRa-405	TRa-405	CAR	2013	Philippines	Luzon	CAR	Ifugao	Lamut	Canis familiaris
TRa-406_I_2013	LC018546	RV/R1.PHL/2013/TRa-406	TRa-406	I	2013	Philippines	Luzon	I	Ilocos sur	Santa Cruz	Canis familiaris
TRa-407_CAR_2013	LC018547	RV/CAR.PHL/2013/TRa-407	TRa-407	CAR	2013	Philippines	Luzon	CAR	Ifugao	Lamut	Canis familiaris
TRa-409_CAR_2013	LC018548	RV/CAR.PHL/2013/TRa-409	TRa-409	CAR	2013	Philippines	Luzon	CAR	Benguet	La Trinidad	Canis familiaris
TRa-421_V_2013	LC018549	RV/R5.PHL/2013/TRa-421	TRa-421	V	2013	Philippines	Luzon	V	Albay	Camalig	Canis familiaris
TRa-422_V_2013	LC018550	RV/R5.PHL/2013/TRa-422	TRa-422	V	2013	Philippines	Luzon	V	Albay	Tabaco	Canis familiaris
TRa-425_V_2013	LC018551	RV/R5.PHL/2013/TRa-425	TRa-425	V	2013	Philippines	Luzon	V	Camarines Sur	Naga City	Canis familiaris
TRa-426_V_2013	LC018552	RV/R5.PHL/2013/TRa-426	TRa-426	V	2013	Philippines	Luzon	V	Camarines Sur	Bato	Canis familiaris
TRa-427_V_2013	LC018553	RV/R5.PHL/2013/TRa-427	TRa-427	V	2013	Philippines	Luzon	V	Albay	Jovellar	Canis familiaris
TRa-429_V_2013	LC018554	RV/R5.PHL/2013/TRa-429	TRa-429	V	2013	Philippines	Luzon	V	Albay	Daraga	Canis familiaris
TRa-435_II_2013	LC018555	RV/R2.PHL/2013/TRa-435	TRa-435	II	2013	Philippines	Luzon	II	Cagayan	Piat	Canis familiaris
TRa-437_II_2013	LC018556	RV/R2.PHL/2013/TRa-437	TRa-437	II	2013	Philippines	Luzon	II	Nueva Vizcaya	Bayombong	Canis familiaris
TRa-439_II_2013	LC018557	RV/R2.PHL/2013/TRa-439	TRa-439	II	2013	Philippines	Luzon	II	Cagayan	Lasam	Canis familiaris
TRa-441_III_2013	LC018558	RV/R3.PHL/2013/TRa-441	TRa-441	III	2013	Philippines	Luzon	III	Pampanga	Macabebe	Canis familiaris
TRa-442_III_2013	LC018559	RV/R3.PHL/2013/TRa-442	TRa-442	III	2013	Philippines	Luzon	III	Bulacan	San Jose del Monte	Canis familiaris
TRa-443_III_2013	LC018560	RV/R3.PHL/2013/TRa-443	TRa-443	III	2013	Philippines	Luzon	III	Bulacan	Paombong	Canis familiaris
TRa-444_III_2013	LC018561	RV/R3.PHL/2013/TRa-444	TRa-444	III	2013	Philippines	Luzon	III	Bulacan	San Jose del Monte	Canis familiaris
TRa-445_III_2013	LC018562	RV/R3.PHL/2013/TRa-445	TRa-445	III	2013	Philippines	Luzon	III	Bulacan	San Jose del Monte	Felis catus
TRa-446_III_2013	LC018563	RV/R3.PHL/2013/TRa-446	TRa-446	III	2013	Philippines	Luzon	III	Tarlac	Concepcion	Canis familiaris
TRa-447_III_2013	LC018564	RV/R3.PHL/2013/TRa-447	TRa-447	III	2013	Philippines	Luzon	III	Bulacan	Santa Maria	Canis familiaris
TRa-448_III_2013	LC018565	RV/R3.PHL/2013/TRa-448	TRa-448	III	2013	Philippines	Luzon	III	Nueva Ecija	San Antonio	Canis familiaris
TRa-449_III_2013	LC018566	RV/R3.PHL/2013/TRa-449	TRa-449	III	2013	Philippines	Luzon	III	Bulacan	Guiguinto	Canis familiaris
TRa-450_III_2013	LC018567	RV/R3.PHL/2013/TRa-450	TRa-450	III	2013	Philippines	Luzon	III	Bulacan	San Jose del Monte	Canis familiaris
TRa-451_III_2013	LC018568	RV/R3.PHL/2013/TRa-451	TRa-451	III	2013	Philippines	Luzon	III	Bulacan	Santa Maria	Canis familiaris
TRa-452_III_2013	LC018569	RV/R3.PHL/2013/TRa-452	TRa-452	III	2013	Philippines	Luzon	III	Bulacan	Malolos	Canis familiaris
TRa-453_III_2013	LC018570	RV/R3.PHL/2013/TRa-453	TRa-453	III	2013	Philippines	Luzon	III	Pampanga	Arayat	Canis familiaris
TRa-454_III_2013	LC018571	RV/R3.PHL/2013/TRa-454	TRa-454	III	2013	Philippines	Luzon	III	Bulacan	Bulacan	Canis familiaris
TRa-455_III_2013	LC018572	RV/R3.PHL/2013/TRa-455	TRa-455	III	2013	Philippines	Luzon	III	Bulacan	Hagonoy	Canis familiaris
TRa-456_III_2013	LC018573	RV/R3.PHL/2013/TRa-456	TRa-456	III	2013	Philippines	Luzon	III	Bulacan	San Jose del Monte	Canis familiaris
TRa-457_III_2013	LC018574	RV/R3.PHL/2013/TRa-457	TRa-457	III	2013	Philippines	Luzon	III	Pampanga	Macabebe	Canis familiaris
TRa-458_III_2013	LC018575	RV/R3.PHL/2013/TRa-458	TRa-458	III	2013	Philippines	Luzon	III	Pampanga	San Fernando	Canis familiaris
TRa-459_III_2013	LC018576	RV/R3.PHL/2013/TRa-459	TRa-459	III	2013	Philippines	Luzon	III	Pampanga	Candaba	unknown
TRa-460_III_2013	LC018577	RV/R3.PHL/2013/TRa-460	TRa-460	III	2013	Philippines	Luzon	III	Nueva Ecija	San Antonio	unknown
TRa-461_III_2013	LC018578	RV/R3.PHL/2013/TRa-461	TRa-461	III	2013	Philippines	Luzon	III	Pampanga	Candaba	Canis familiaris
TRa-462_III_2013	LC018579	RV/R3.PHL/2013/TRa-462	TRa-462	III	2013	Philippines	Luzon	III	Nueva Ecija	San Jose City	Canis familiaris
TRa-463_III_2013	LC018580	RV/R3.PHL/2013/TRa-463	TRa-463	III	2013	Philippines	Luzon	III	Pampanga	Candaba	Canis familiaris
TRa-464_III_2013	LC018581	RV/R3.PHL/2013/TRa-464	TRa-464	III	2013	Philippines	Luzon	III	Bulacan	San Jose del Monte	Canis familiaris
TRa-465_III_2013	LC018582	RV/R3.PHL/2013/TRa-465	TRa-465	III	2013	Philippines	Luzon	III	Nueva Ecija	Zaragosa	Canis familiaris
TRa-466_III_2013	LC018583	RV/R3.PHL/2013/TRa-466	TRa-466	III	2013	Philippines	Luzon	III	Nueva Ecija	Talavera	Canis familiaris
TRa-486_IV-B_2013	LC018584	RV/R4B.PHL/2013/TRa-486	TRa-486	IV-B	2013	Philippines	Luzon	IV-B	Palawan	Puerto Princesa City	Canis familiaris
TRa-487_IV-B_2013	LC018585	RV/R4B.PHL/2013/TRa-487	TRa-487	IV-B	2013	Philippines	Luzon	IV-B	Palawan	Puerto Princesa City	Canis familiaris
TRa-500_CAR_2013	LC018586	RV/CAR.PHL/2013/TRa-500	TRa-500	CAR	2013	Philippines	Luzon	CAR	Mountain Province	Paracelis	Canis familiaris
TRa-503_II_2013	LC018587	RV/R2.PHL/2013/TRa-503	TRa-503	II	2013	Philippines	Luzon	II	Nueva Vizcaya	Kasilbu	Canis familiaris
TRa-504_II_2013	LC018588	RV/R2.PHL/2013/TRa-504	TRa-504	II	2013	Philippines	Luzon	II	Nueva Vizcaya	Bagabag	Canis familiaris
TRa-505_II_2013	LC018589	RV/R2.PHL/2013/TRa-505	TRa-505	II	2013	Philippines	Luzon	II	Isabela	San Mateo	Canis familiaris
TRa-506_II_2013	LC018590	RV/R2.PHL/2013/TRa-506	TRa-506	II	2013	Philippines	Luzon	II	Cagayan	Peñablanca	Canis familiaris
TRa-507_CAR_2013	LC018591	RV/CAR.PHL/2013/TRa-507	TRa-507	CAR	2013	Philippines	Luzon	CAR	Kalinga Apayao	Tabuk	Canis familiaris
Z-04-042_IV-A_2004	AB563791	RV/R4A.PHL/2004/Z-04-042	Z-04-042	IV-A	2004	Philippines	Luzon	IV-A	Cavite	Dasmariñas	Canis familiaris
Z-04-401_IV-A_2004	AB563794	RV/R4A.PHL/2004/Z-04-401	Z-04-401	IV-A	2004	Philippines	Luzon	IV-A	Rizal	Taytay	Canis familiaris
Z-04-470_IV-A_2004	AB683587	RV/R4A.PHL/2004/Z-04-470	Z-04-470	IV-A	2004	Philippines	Luzon	IV-A	Laguna	Sta. Rosa	Canis familiaris
Z-04-480_IV-A_2004	AB563797	RV/R4A.PHL/2004/Z-04-480	Z-04-480	IV-A	2004	Philippines	Luzon	IV-A	Laguna	San Pedro	Canis familiaris
Z-04-519_III_2004	AB563798	RV/R3.PHL/2004/Z-04-519	Z-04-519	III	2004	Philippines	Luzon	III	Aurora	Baler	Canis familiaris
Z-04-522_NCR_2004	AB683584	RV/NCR.PHL/2004/Z-04-522	Z-04-522	NCR	2004	Philippines	Luzon	NCR	Metro Manila	Parañaque City	Canis familiaris
Z-04-646_NCR_2004	AB733963	RV/NCR.PHL/2004/Z-04-646	Z-04-646	NCR	2004	Philippines	Luzon	NCR	Metro Manila	Parañaque City	Canis familiaris
Z-05-009_NCR_2005	AB563800	RV/NCR.PHL/2005/Z-05-009	Z-05-009	NCR	2005	Philippines	Luzon	NCR	Metro Manila	Quezon City	Canis familiaris
Z-05-090_NCR_2005	AB563803	RV/NCR.PHL/2005/Z-05-090	Z-05-090	NCR	2005	Philippines	Luzon	NCR	Metro Manila	Pasig City	Canis familiaris
Z-05-149_NCR_2005	AB563805	RV/NCR.PHL/2005/Z-05-149	Z-05-149	NCR	2005	Philippines	Luzon	NCR	Metro Manila	Pasay City	Canis familiaris
Z-05-168_NCR_2005	AB563806	RV/NCR.PHL/2005/Z-05-168	Z-05-168	NCR	2005	Philippines	Luzon	NCR	Metro Manila	Taguig City	Canis familiaris
Z-05-186_XI_2005	AB563807	RV/R11.PHL/2005/Z-05-186	Z-05-186	XI	2005	Philippines	Mindanao	XI	Davao del Sur	Davao City	Canis familiaris
Z-05-198_III_2005	AB563809	RV/R3.PHL/2005/Z-05-198	Z-05-198	III	2005	Philippines	Luzon	III	Nueva Ecija	Palayan	Canis familiaris
Z-05-373_NCR_2005	AB563812	RV/NCR.PHL/2005/Z-05-373	Z-05-373	NCR	2005	Philippines	Luzon	NCR	Metro Manila	Parañaque	Canis familiaris
Z-05-396_NCR_2005	AB563813	RV/NCR.PHL/2005/Z-05-396	Z-05-396	NCR	2005	Philippines	Luzon	NCR	Metro Manila	 Las Piñas City	Canis familiaris
Z-05-465_NCR_2005	AB563815	RV/NCR.PHL/2005/Z-05-465	Z-05-465	NCR	2005	Philippines	Luzon	NCR	Metro Manila	Pasig City	Canis familiaris
Z-05-466_NCR_2005	AB563816	RV/NCR.PHL/2005/Z-05-466	Z-05-466	NCR	2005	Philippines	Luzon	NCR	Metro Manila	Parañaque	Canis familiaris
Z-05-507_III_2005	AB563817	RV/R3.PHL/2005/Z-05-507	Z-05-507	III	2005	Philippines	Luzon	III	Bulacan	Norzagaray	Canis familiaris
Z-06-163_IV-A_2006	AB563819	RV/R4A.PHL/2006/Z-06-163	Z-06-163	IV-A	2006	Philippines	Luzon	IV-A	Laguna	Calamba	Canis familiaris
Z-06-197_IV-A_2006	AB563820	RV/R4A.PHL/2006/Z-06-197	Z-06-197	IV-A	2006	Philippines	Luzon	IV-A	Batangas	Tanauan	Canis familiaris
Z-06-203_IV-B_2006	AB563821	RV/R4B.PHL/2006/Z-06-203	Z-06-203	IV-B	2006	Philippines	Luzon	IV-B	Oriental Mindoro	No information	Canis familiaris
Z-06-222_IV-A_2006	AB563822	RV/R4A.PHL/2006/Z-06-222	Z-06-222	IV-A	2006	Philippines	Luzon	IV-A	Cavite	Trece Marteres City	Canis familiaris
Z-06-231_IV-A_2006	AB563823	RV/R4A.PHL/2006/Z-06-231	Z-06-231	IV-A	2006	Philippines	Luzon	IV-A	Cavite	Cavite City	Canis familiaris
Z-06-342_IV-A_2006	AB563824	RV/R4A.PHL/2006/Z-06-342	Z-06-342	IV-A	2006	Philippines	Luzon	IV-A	Laguna	Sta. Rosa	Canis familiaris
Z-06-348_IV-A_2006	AB563826	RV/R4A.PHL/2006/Z-06-348	Z-06-348	IV-A	2006	Philippines	Luzon	IV-A	Cavite	Dasmariñas	Canis familiaris
Z-06-357_IV-A_2006	AB563827	RV/R4A.PHL/2006/Z-06-357	Z-06-357	IV-A	2006	Philippines	Luzon	IV-A	Batangas	Calatagan	Canis familiaris
Z-06-361_IV-A_2006	AB563828	RV/R4A.PHL/2006/Z-06-361	Z-06-361	IV-A	2006	Philippines	Luzon	IV-A	Laguna	Calamba	Canis familiaris
Z-06-362_IV-A_2006	AB563829	RV/R4A.PHL/2006/Z-06-362	Z-06-362	IV-A	2006	Philippines	Luzon	IV-A	Batangas	Calatagan	Canis familiaris
Z-06-365_IV-A_2006	AB563830	RV/R4A.PHL/2006/Z-06-365	Z-06-365	IV-A	2006	Philippines	Luzon	IV-A	Cavite	Gen. Trias	Felis catus
Z-07-189_IV-A_2007	AB563832	RV/R4A.PHL/2007/Z-07-189	Z-07-189	IV-A	2007	Philippines	Luzon	IV-A	Cavite	Cavite City	Canis familiaris
Z-07-243_IV-A_2007	AB563833	RV/R4A.PHL/2007/Z-07-243	Z-07-243	IV-A	2007	Philippines	Luzon	IV-A	Cavite	Bacoor	Canis familiaris
Z-07-317_IV-A_2007	AB563836	RV/R4A.PHL/2007/Z-07-317	Z-07-317	IV-A	2007	Philippines	Luzon	IV-A	Cavite	Bacoor	Canis familiaris
