"Accession","Strain","Country","Location","Common_name","Species_latin_binomial","Year","Major_clade","Minor_clade","Source","Reference","Coverage","Dataset","clusters"
"JQ685940","SM5100","USA","AZ/Flagstaff","Striped skunk","Mephitis mephitis",2001,"Bats","EF-W1","Original brain","This study","Complete genome","Troupin","Clust_86"
"JQ685958","SM5101","USA","AZ/Flagstaff","Striped skunk","Mephitis mephitis",2001,"Bats","EF-W1","Original brain","Troupin","Complete genome","Troupin","Clust_86"
"JQ685969","SM5440","USA","AZ/Flagstaff","Striped skunk","Mephitis mephitis",2001,"Bats","EF-W1","Original brain","Troupin","Complete genome","Troupin","Clust_86"
"JQ685962","SM5441","USA","AZ/Flagstaff","Striped skunk","Mephitis mephitis",2001,"Bats","EF-W1","Original brain","Troupin","Complete genome","Troupin","Clust_86"
"JQ685897","SM5442","USA","","Big brown bat","Eptesicus fuscus",2001,"Bats","EF-W1","N-P-M-G - original brain; L and termini - mouse","This study","Complete genome","Troupin","Clust_86"
"JQ685959","SM5451","USA","AZ/Flagstaff","Striped skunk","Mephitis mephitis",2001,"Bats","EF-W1","Original brain","Troupin","Complete genome","Troupin","Clust_86"
"JQ685933","SM5950","USA","AZ/Flagstaff","Gray Fox","Urocyon cinereoargenteus",2004,"Bats","EF-W1","Original brain","This study","Complete genome","Troupin","Clust_86"
"JQ685945","SM6709","USA","AZ/Flagstaff","Cat","Felis catus",2005,"Bats","EF-W1","Original brain","This study","Complete genome","Troupin","Clust_86"
"JQ685908","1060","USA","AZ/Flagstaff","Gray Fox","Urocyon cinereoargenteus",2009,"Bats","EF-W1","Original brain","This study","N, P, M, G, L","Troupin","Clust_86"
"JQ685972","2395","USA","AZ/Flagstaff","Gray Fox","Urocyon cinereoargenteus",2009,"Bats","EF-W1","Original brain","Troupin","N, P, M, G, L","Troupin","Clust_86"
"JQ685937","2396","USA","AZ/Flagstaff","Ring-tailed cat","Bassariscus astutus",2009,"Bats","EF-W1","Original brain","This study","N, P, M, G, L","Troupin","Clust_86"
"JQ685892","2398","USA","AZ/Flagstaff","Gray Fox","Urocyon cinereoargenteus",2009,"Bats","EF-W1","Original brain","This study","N, P, M, G, L","Troupin","Clust_86"
"JQ685939","2399","USA","AZ/Flagstaff","Gray Fox","Urocyon cinereoargenteus",2009,"Bats","EF-W1","Original brain","This study","N, P, M, G, L","Troupin","Clust_86"
"JQ685912","2400","USA","AZ/Flagstaff","Gray Fox","Urocyon cinereoargenteus",2009,"Bats","EF-W1","Original brain","This study","N, P, M, G, L","Troupin","Clust_86"
"JQ685896","2402","USA","AZ/Flagstaff","Gray Fox","Urocyon cinereoargenteus",2009,"Bats","EF-W1","Original brain","This study","N, P, M, G, L","Troupin","Clust_86"
"JQ685928","2403","USA","AZ/Flagstaff","Gray Fox","Urocyon cinereoargenteus",2009,"Bats","EF-W1","Original brain","This study","N, P, M, G, L","Troupin","Clust_86"
"JQ685976","2526","USA","AZ/Flagstaff","Gray Fox","Urocyon cinereoargenteus",2009,"Bats","EF-W1","Original brain","Troupin","N, P, M, G, L","Troupin","Clust_86"
"JQ685950","A093504","USA","AZ/Flagstaff","Big brown bat","Eptesicus fuscus",2009,"Bats","EF-W1","N-P-M-G - original brain; L and termini - mouse","This study","Complete genome","Troupin","Clust_86"
"JQ685951","AZ10-144","AZ/Flagstaff","","Big brown bat","Eptesicus fuscus",2010,"Bats","EF-W1","N-P-M-G - original brain; L and termini - mouse","This study","N, P, M, G, L","Troupin","Clust_86"
"JQ685926","AZ2408","USA","AZ/Flagstaff","Big brown bat","Eptesicus fuscus",2005,"Bats","EF-W1","Original brain","This study","N, P, M, G, L","Troupin","Clust_86"
"JQ685935","SM5074","USA","AZ/Flagstaff","Striped skunk","Mephitis mephitis",2001,"Bats","EF-W1","Original brain","This study","N, P, M, G, L","Troupin","Clust_86"
"JQ685949","SM5075","USA","AZ/Flagstaff","Striped skunk","Mephitis mephitis",2001,"Bats","EF-W1","Original brain","This study","N, P, M, G, L","Troupin","Clust_86"
"JQ685927","SM5080","USA","AZ/Flagstaff","Striped skunk","Mephitis mephitis",2001,"Bats","EF-W1","Original brain","This study","N, P, M, G, L","Troupin","Clust_86"
"JQ685906","SM5102","USA","AZ/Flagstaff","Striped skunk","Mephitis mephitis",2001,"Bats","EF-W1","Original brain","This study","N, P, M, G, L","Troupin","Clust_86"
"JQ685930","SM5103","USA","AZ/Flagstaff","Striped skunk","Mephitis mephitis",2001,"Bats","EF-W1","Original brain","This study","N, P, M, G, L","Troupin","Clust_86"
"AY170413","SM5450","USA","AZ/Flagstaff","Big brown bat","Eptesicus fuscus",2001,"Bats","EF-W1","Original brain","[1]","N","Troupin","Clust_86"
"JQ685966","SM5470","USA","AZ/Flagstaff","Striped skunk","Mephitis mephitis",2001,"Bats","EF-W1","Original brain","Troupin","Complete genome","Troupin","Clust_86"
"JQ685964","SM5596","USA","AZ/Flagstaff","Striped skunk","Mephitis mephitis",2004,"Bats","EF-W1","Original brain","Troupin","Complete genome","Troupin","Clust_86"
"AF369342","V230.BBB","USA","TX","Big brown bat","Eptesicus fuscus",1994,"Bats","EF-W1","","[18]","P","Troupin","Clust_86"
"JQ685973","A11-1043","USA","OR","Coyote","Canis latrans",2011,"Bats","EF-W2","Original brain","Troupin","Complete genome","Troupin","Clust_93"
"JQ685942","AZBAT-65094","USA","AZ","Big brown bat","Eptesicus fuscus",1981,"Bats","EF-W2","Mouse","This study","Complete genome","Troupin","Clust_92"
"JQ685903","ca04148","USA","CA","Big brown bat","Eptesicus fuscus",2004,"Bats","EF-W2","N-P-M-G - original brain; L and termini - mouse","This study","Complete genome","Troupin","Clust_93"
"JQ685931","WA0173","USA","WA","Big brown bat","Eptesicus fuscus",2000,"Bats","EF-W2","N-P-M-G - original brain; L and termini - mouse","This study","Complete genome","Troupin","Clust_93"
"AF394887","804","USA","CA","Big brown bat","Eptesicus fuscus",1987,"Bats","EF-W2","","[17]","N","Troupin","Clust_93"
"AF351830","EF22","Canada","BC","Big brown bat","Eptesicus fuscus",1988,"Bats","EF-W2","","[15]","N","Troupin","Clust_93"
"JQ685948","OR05455","USA","OR","Gray Fox","Urocyon cinereoargenteus",2010,"Bats","EF-W2","Original brain","This study","Complete genome","Troupin","Clust_93"
"JQ685977","OR58","USA","OR","Gray Fox","Urocyon cinereoargenteus",2010,"Bats","EF-W2","Original brain","Troupin","N, P, M, G, L","Troupin","Clust_93"
"JQ685914","OR703","USA","OR","Gray Fox","Urocyon cinereoargenteus",2010,"Bats","EF-W2","Original brain","This study","N, P, M, G, L","Troupin","Clust_93"
"JQ685924","OR704","USA","OR","Gray Fox","Urocyon cinereoargenteus",2010,"Bats","EF-W2","Original brain","This study","N, P, M, G, L","Troupin","Clust_93"
"AF369341","V078.BBB","Canada","","Big brown bat","Eptesicus fuscus",1988,"Bats","EF-W2","","[18]","P","Troupin","Clust_93"
"GU644683","wa1043","USA","WA","Big brown bat","Eptesicus fuscus",2003,"Bats","EF-W2","Original brain","[16]","N","Troupin","Clust_93"
"GU644851","wa1086","USA","WA","Big brown bat","Eptesicus fuscus",2003,"Bats","EF-W2","Original brain","[16]","N","Troupin","Clust_93"
"GU644682","wa267","USA","WA","Big brown bat","Eptesicus fuscus",2000,"Bats","EF-W2","Original brain","[16]","N","Troupin","Clust_93"
"AB383168","BR-EF1","Brazil","","Argentinian brown bat","Eptesicus furinalis",NA,"Bats","EFu","","[20]","G","Troupin","Clust_69"
"AB383170","BR-EF3","Brazil","","Argentinian brown bat","Eptesicus furinalis",NA,"Bats","EFu","","[20]","G","Troupin","Clust_69"
"AB383171","BR-EF4","Brazil","","Argentinian brown bat","Eptesicus furinalis",NA,"Bats","EFu","","[20]","G","Troupin","Clust_69"
"AB383172","BR-NL2","Brazil","","Broad-eared bat","Nyctinomops laticaudatus",NA,"Bats","EFu","","[20]","G","Troupin","Clust_69"
"AB383165","","Brazil","","Non-hematophagous bat","",NA,"Bats","EFu","","[20]","G","Troupin","Clust_69"
"AB383166","","Brazil","","Non-hematophagous bat","",NA,"Bats","EFu","","[20]","G","Troupin","Clust_69"
"AB383167","","Brazil","","Black bonneted bat","Eumops auripendulus",NA,"Bats","EFu","","[20]","G","Troupin","Clust_69"
"JQ685919","NJ2262","USA","NJ","Eastern red bat","Lasiurus borealis",2005,"Bats","LB","N-P-M-G - original brain; L and termini - mouse","This study","Complete genome","Troupin","Clust_101"
"JQ685902","TN209","USA","TN","Eastern red bat","Lasiurus borealis",2005,"Bats","LB","N-P-M-G - original brain; L and termini - mouse","This study","Complete genome","Troupin","Clust_100"
"AF369351","6832.RB","Canada","","Eastern red bat","Lasiurus borealis",1991,"Bats","LB","","[18]","P","Troupin","Clust_101"
"JQ686007","LAH60","USA","NC","Eastern red bat","Lasiurus borealis",2010,"Bats","LB","Original brain","Troupin","G","Troupin","Clust_100"
"AF369348","V231.RB","USA","TX","Eastern red bat","Lasiurus borealis",1994,"Bats","LB","","[18]","P","Troupin","Clust_100"
"JQ685999","T94-0237","USA","CA","Hoary bat","Lasiurus cinereus",1994,"Bats","LC","Original brain","Troupin","G","Troupin","Clust_101"
"JQ685947","TN310","USA","TN","Hoary bat","Lasiurus cinereus",2004,"Bats","LC","N-P-M-G - original brain; L and termini - mouse","This study","Complete genome","Troupin","Clust_101"
"AF369347","V103.HB","Canada","","Hoary bat","Lasiurus cinereus",1992,"Bats","LC","","[18]","P","Troupin","Clust_101"
"AB383163","","Brazil","","Non-hematophagous bat","",NA,"Bats","LC","","Sato, unpublished","G","Troupin","Clust_101"
"AB383164","","Brazil","","Non-hematophagous bat","",NA,"Bats","LC","","Sato, unpublished","G","Troupin","Clust_101"
"JQ685916","FL1010","USA","FL","Northern yellow bat","Lasiurus intermedius",2002,"Bats","LI","N-P-M-G - original brain; L and termini - mouse","This study","Complete genome","Troupin","Clust_90"
"JQ685915","TX4904","USA","TX","Northern yellow bat","Lasiurus intermedius",2002,"Bats","LI","N-P-M-G - original brain; L and termini - mouse","This study","Complete genome","Troupin","Clust_89"
"JQ686005","A10-3653","USA","FL","Northern yellow bat","Lasiurus intermedius",2008,"Bats","LI","Original brain","Troupin","G","Troupin","Clust_90"
"JQ685895","WA1185","USA","WA","Silver-haired bat","Lasionycteris noctivagans",2003,"Bats","LN","N-P-M-G - original brain; L and termini - mouse","This study","Complete genome","Troupin","Clust_91"
"JQ686004","A10-3672","USA","AL","Silver-haired bat","Lasionycteris noctivagans",2009,"Bats","LN","Original brain","Troupin","G","Troupin","Clust_91"
"AF369345","4398.SHB","Canada","","Silver-haired bat","Lasionycteris noctivagans",1980,"Bats","LN","","[18]","P","Troupin","Clust_91"
"JQ686001","AW3565","USA","AL","Silver-haired bat","Lasionycteris noctivagans",2010,"Bats","LN","Original brain","Troupin","G","Troupin","Clust_91"
"AF369346","V077.SHB","Canada","","Silver-haired bat","Lasionycteris noctivagans",1988,"Bats","LN","","[18]","P","Troupin","Clust_91"
"AF369356","V158.SHB","Canada","","Silver-haired bat","Lasionycteris noctivagans",1991,"Bats","LN","","[18]","P","Troupin","Clust_91"
"U52946","","USA","CA","Human","Homo sapiens",1994,"Bats","LN","","[21]","G","Troupin","Clust_91"
"JQ685900","FL769","USA","FL","Seminole bat","Lasiurus seminolus",2003,"Bats","LS","N-P-M-G - original brain; L and termini - mouse","This study","Complete genome","Troupin","Clust_101"
"JQ685910","TX5960","USA","TX","Seminole bat","Lasiurus xanthinus",2002,"Bats","LX","N-P-M-G - original brain; L and termini - mouse","This study","Complete genome","Troupin","Clust_97"
"JQ685921","FL1078","USA","FL","Southeastern myotis","Myotis austroriparius",2001,"Bats","MYsp","N-P-M-G - original brain; L and termini - mouse","This study","Complete genome","Troupin","Clust_84"
"JQ685918","OR05506","USA","OR","Gray Fox","Urocyon cinereoargenteus",2010,"Bats","MYsp","Original brain","This study","Complete genome","Troupin","Clust_87"
"JQ685957","OR8767","USA","OR","Gray Fox","Urocyon cinereoargenteus",2009,"Bats","MYsp","Original brain","Troupin","Complete genome","Troupin","Clust_88"
"AF351836","MC2","Canada","BC","California myotis","Myotis californicus",1992,"Bats","MYsp","","[15]","N","Troupin","Clust_87"
"AF351835","ME1","Canada","BC","Long-eared myotis","Myotis evotis",1992,"Bats","MYsp","","[15]","N","Troupin","Clust_87"
"AF351839","ML4","Canada","BC","Little brown bat","Myotis lucifugus",1992,"Bats","MYsp","","[15]","N","Troupin","Clust_87"
"AF351838","ML6","Canada","NS","Little brown bat","Myotis lucifugus",1994,"Bats","MYsp","","[15]","N","Troupin","Clust_88"
"JQ685979","OR43","USA","OR","Gray Fox","Urocyon cinereoargenteus",2000,"Bats","MYsp","Original brain","This study","N","Troupin","Clust_88"
"JQ686013","OR43","USA","OR","Gray Fox","Urocyon cinereoargenteus",2000,"Bats","MYsp","Original brain","Troupin","G","Troupin","Clust_88"
"JQ685978","OR59","USA","OR","Gray Fox","Urocyon cinereoargenteus",2006,"Bats","MYsp","Original brain","TroupinTroupin","N","Troupin","Clust_88"
"JQ686012","OR59","USA","OR","Gray Fox","Urocyon cinereoargenteus",2006,"Bats","MYsp","Original brain","Troupin","G","Troupin","Clust_88"
"JQ685997","A10-5170","USA","ID","","Myotis sp",2010,"Bats","MYsp","Original brain","Troupin","G","Troupin","Clust_88"
"AF369349","3694.MYO","Canada","","","Myotis sp",1996,"Bats","MYsp","","[18]","P","Troupin","Clust_88"
"AF369344","4887.LBB","Canada","","Little brown bat","Myotis lucifugus",1994,"Bats","MYsp","","[18]","P","Troupin","Clust_88"
"AF369352","7890.LBB","Canada","","Little brown bat","Myotis lucifugus",1997,"Bats","MYsp","","[18]","P","Troupin","Clust_88"
"AF369353","9499.MYO","Canada","","Red fox","Vulpes vulpes",1993,"Bats","MYsp","","[18]","P","Troupin","Clust_88"
"JQ686011","OR-062011","USA","OR","Gray Fox","Urocyon cinereoargenteus",2011,"Bats","MYsp","Original brain","Troupin","G","Troupin","Clust_88"
"JQ685998","T91-0038","USA","CA","","Myotis sp",1991,"Bats","MYsp","Original brain","Troupin","G","Troupin","Clust_78"
"AF325494","USA8-BT","USA","MT","","Myotis sp",1981,"Bats","MYsp","","[19]","G","Troupin","Clust_88"
"AF325495","USA9-BT","USA","MT","","Myotis sp",1982,"Bats","MYsp","","[19]","G","Troupin","Clust_88"
"AF369343","V089.LBB","Canada","","Little brown bat","Myotis lucifugus",1992,"Bats","MYsp","","[18]","P","Troupin","Clust_87"
"AF369354","V102.MYO","Canada","","Long-eared myotis","Myotis evotis",1992,"Bats","MYsp","","[18]","P","Troupin","Clust_87"
"AF369358","V179.LBB","Canada","","Little brown bat","Myotis lucifugus",1993,"Bats","MYsp","","[18]","P","Troupin","Clust_87"
"JQ685952","A02-2971","USA","CA","Canyon bat","Parastrellus hesperos",2002,"Bats","PH","N-P-M-G - original brain; L and termini - mouse","This study","Complete genome","Troupin","Clust_73"
"JQ685965","A02-2972","USA","AZ","Canyon bat","Parastrellus hesperos",2002,"Bats","PH","N-P-M-G - original brain; L and termini - mouse","Troupin","Complete genome","Troupin","Clust_73"
"AY705373","SHBRV18","USA","","Human","Homo sapiens",1983,"Bats","PS","mouse","[14]","Complete genome","Troupin","Clust_91"
"JQ685922","TN186","USA","TN","Tricolored bat","Perimyotis subflavus",2005,"Bats","PS","N-P-M-G - original brain; L and termini - mouse","This study","Complete genome","Troupin","Clust_91"
"JQ686003","A10-5102","USA","NC","Tricolored bat","Perimyotis subflavus",2010,"Bats","PS","Original brain","Troupin","G","Troupin","Clust_91"
"JQ686009","A11-5737","USA","VA","Red fox","Vulpes vulpes",2011,"Bats","PS","Original brain","Troupin","G","Troupin","Clust_91"
"JQ686000","US07-010","USA","NC","Tricolored bat","Perimyotis subflavus",2010,"Bats","PS","Original brain","Troupin","G","Troupin","Clust_91"
"KX148269","97004ARG","Argentina","","Mexican free-tailed bat","Tadarida brasiliensis",1997,"Bats","TB","Mouse","This study","Complete genome","Kuzmin","Clust_85"
"EU293116","9704ARG","Argentina","","Mexican free-tailed bat","Tadarida brasilensis",1997,"Bats","TB","","[3]","Complete genome","Troupin","Clust_85"
"AF351850","IB-Ch","Chile","","","Tadarida sp",1988,"Bats","TB","","[15]","N","Troupin","Clust_85"
"KX148195","04031MAR","Morocco","","Dog","Canis familiaris",2004,"Cosmopolitan","AF1a","Original brain","This study","Complete genome","Kuzmin","Clust_17"
"KX148193","08342MAR","Morocco","","Dog","Canis familiaris",2008,"Cosmopolitan","AF1a","Original brain","This study","Complete genome","Kuzmin","Clust_17"
"KX148197","15006FRA","Algeria","","Dog","Canis familiaris",2015,"Cosmopolitan","AF1a","Original brain","This study","Complete genome","Kuzmin","Clust_17"
"KX148201","86003BRE","Nigeria","","Dog","Canis familiaris",1986,"Cosmopolitan","AF1a","Original brain","This study","Complete genome","Kuzmin","Clust_14"
"KX148200","88008ETH","Ethiopia","","Dog","Canis familiaris",1988,"Cosmopolitan","AF1a","Original brain","This study","Complete genome","Kuzmin","Clust_16"
"U22637","8807ETH","Ethiopia","","Spotted hyena","Crocuta crocuta",1987,"Cosmopolitan","AF1a","","[7]","N","Troupin","Clust_16"
"KX148194","89017MAR","Morocco","","Dog","Canis familiaris",1989,"Cosmopolitan","AF1a","Original brain","This study","Complete genome","Kuzmin","Clust_17"
"KX148196","90016MAR","Morocco","","Dog","Canis familiaris",1990,"Cosmopolitan","AF1a","Original brain","This study","Complete genome","Kuzmin","Clust_17"
"KX148199","93006SOM","Somalia","","Jackal","Canis mesomelas",1993,"Cosmopolitan","AF1a","Original brain","This study","Complete genome","Kuzmin","Clust_16"
"KX148198","93128SOM","Somalia","","Dog","Canis familiaris",1993,"Cosmopolitan","AF1a","Original brain","This study","Complete genome","Kuzmin","Clust_16"
"KX148202","95049GAB","Gabon","","Dog","Canis familiaris",1995,"Cosmopolitan","AF1a","Original brain","This study","Complete genome","Kuzmin","Clust_14"
"AF325467","MOR2-DG","Marocco","","Dog","Canis familiaris",1987,"Cosmopolitan","AF1a","","[19]","G","Troupin","Clust_17"
"AF325469","MOR3-HM","Morocco","","Human","Homo sapiens",1990,"Cosmopolitan","AF1a","","[19]","G","Troupin","Clust_17"
"KF155001","RV2627","Morocco","","Cow","Bos taurus",2009,"Cosmopolitan","AF1a","Original brain","","Complete genome","Kuzmin","Clust_17"
"KP723638","RV2985","Ethiopia","","Ethiopian wolf","Canis simensis",2014,"Cosmopolitan","AF1a","Original brain","","Complete genome","Kuzmin","Clust_16"
"AF325466","TUN1-HM","Tunissia","","Human","Homo sapiens",1986,"Cosmopolitan","AF1a","","[19]","G","Troupin","Clust_17"
"AF369322","V027.DG","Tunisia","","Dog","Canis familiaris",1988,"Cosmopolitan","AF1a","","[18]","P","Troupin","Clust_16"
"AF369331","V667.DG","Ethiopia","","Dog","Canis familiaris",NA,"Cosmopolitan","AF1a","","[18]","P","Troupin","Clust_16"
"KX148207","14015ITA","Kenya","","Human","Homo sapiens",2014,"Cosmopolitan","AF1b","Original brain","This study","Complete genome","Kuzmin","Clust_22"
"JX473838","178J09","Namibia","","Jackal","Und.",2009,"Cosmopolitan","AF1b","","Scott et al. unpublished","Complete genome","Kuzmin","Clust_21"
"JX473839","192J09","Namibia","","Jackal","Und.",2009,"Cosmopolitan","AF1b","","Scott et al. unpublished","Complete genome","Kuzmin","Clust_21"
"JX473840","239K09","Namibia","","Namibian kudu","Tragelaphus strepsiceros",2009,"Cosmopolitan","AF1b","","Scott et al. unpublished","Complete genome","Kuzmin","Clust_21"
"JX473841","240K09","Namibia","","Namibian kudu","Tragelaphus strepsiceros",2009,"Cosmopolitan","AF1b","","Scott et al. unpublished","Complete genome","Kuzmin","Clust_21"
"KX148203","86031MOZ","Mozambique","","Dog","Canis familiaris",1986,"Cosmopolitan","AF1b","Mouse","This study","Complete genome","Kuzmin","Clust_21"
"U22488","8670NGA","Nigeria","","Human","Homo sapiens",1983,"Cosmopolitan","AF1b","","[7]","N","Troupin","Clust_15"
"KX148103","87021AFS","South Africa","","Human","Homo sapiens",1981,"Cosmopolitan","AF1b","Mouse","This study","Complete genome","Kuzmin","Clust_21"
"KX148208","92029CAR","Central African Republic","","Dog","Canis familiaris",1992,"Cosmopolitan","AF1b","Original brain","This study","Complete genome","Kuzmin","Clust_19"
"KX148204","92030NAM","Namibia","","Dog","Canis familiaris",1992,"Cosmopolitan","AF1b","Original brain","This study","Complete genome","Kuzmin","Clust_21"
"U22648","9224TAN","Tanzania","","Dog","Canis familiaris",1992,"Cosmopolitan","AF1b","","[7]","N","Troupin","Clust_22"
"KX148205","94289RWA","Rwanda","","Dog","Canis familiaris",1994,"Cosmopolitan","AF1b","Original brain","This study","Complete genome","Kuzmin","Clust_22"
"KX148206","96013TAN","Tanzania","","Dog","Canis familiaris",1996,"Cosmopolitan","AF1b","Original brain","This study","Complete genome","Kuzmin","Clust_22"
"KF155002","RV2772","Tanzania","","Dog","Canis familiaris",2009,"Cosmopolitan","AF1b","Original brain","","Complete genome","Kuzmin","Clust_22"
"AF369297","V250.CD","S. Africa","","Dog","Canis familiaris",1994,"Cosmopolitan","AF1b","","[18]","P","Troupin","Clust_21"
"AF369333","V670.DG","Tanzania","","Dog","Canis familiaris",NA,"Cosmopolitan","AF1b","","[18]","P","Troupin","Clust_22"
"KX148209","04033MAD","Madagascar","","Dog","Canis familiaris",2004,"Cosmopolitan","AF1c","Original brain","This study","Complete genome","Kuzmin","Clust_13"
"KX148211","86046MAD","Madagascar","","Dog","Canis familiaris",1986,"Cosmopolitan","AF1c","Original brain","This study","Complete genome","Kuzmin","Clust_13"
"KX148210","98002MAD","Madagascar","","Human","Homo sapiens",1998,"Cosmopolitan","AF1c","Original brain","This study","Complete genome","Kuzmin","Clust_13"
"AF325478","MAD1-DG","Madagascar","","Dog","Canis familiaris",1985,"Cosmopolitan","AF1c","","[19]","G","Troupin","Clust_13"
"KX148101","86092EGY","Egypt","","Human","Homo sapiens",1979,"Cosmopolitan","AF4","Mouse","This study","Complete genome","Kuzmin","Clust_33"
"KF154998","RV2324","Israel","","Dog","Canis familiaris",1950,"Cosmopolitan","AF4","","","Complete genome","Kuzmin","Clust_33"
"AB645847","1088","USA","","Woodchuck","Marmota monax",2008,"Cosmopolitan","AM1","Mouse","","Complete genome","Kuzmin","Clust_23"
"JQ685987","A10-6931","MN","","Red fox","Vulpes vulpes",NA,"Cosmopolitan","AM1","Original brain","Troupin","G","Troupin","Clust_20"
"AF369286","1741WC.SK","Canada","","Striped skunk","Mephitis mephitis",1992,"Cosmopolitan","AM1","","[18]","P","Troupin","Clust_24"
"AF369285","867WC.SK","Canada","","Striped skunk","Mephitis mephitis",1992,"Cosmopolitan","AM1","","[18]","P","Troupin","Clust_24"
"KX148213","91001USA","USA","","Skunk","Und.",1982,"Cosmopolitan","AM1","Mouse","This study","Complete genome","Kuzmin","Clust_24"
"JQ685967","NC1234","","","Striped skunk","Mephitis mephitis",NA,"Cosmopolitan","AM1","Original brain","Troupin","Complete genome","Troupin","Clust_24"
"JQ685944","NC839","USA","TN","Striped skunk","Mephitis mephitis",1984,"Cosmopolitan","AM1","Original brain","This study","Complete genome","Troupin","Clust_23"
"JQ685985","A10-3932","AZ","","Gray Fox","Urocyon cinereoargenteus",2010,"Cosmopolitan","AM2a","Original brain","Troupin","G","Troupin","Clust_25"
"KX148112","91010MEX","Mexico","","Human","Homo sapiens",1991,"Cosmopolitan","AM2a","Mouse","This study","Complete genome","Kuzmin","Clust_25"
"KX148110","91014MEX","Mexico","","Dog","Canis familiaris",1991,"Cosmopolitan","AM2a","Original brain","This study","Complete genome","Kuzmin","Clust_34"
"KX148111","91015MEX","Mexico","","Dog","Canis familiaris",1991,"Cosmopolitan","AM2a","Original brain","This study","Complete genome","Kuzmin","Clust_34"
"KX148102","91026MEX","Mexico","","Dog","Canis familiaris",1991,"Cosmopolitan","AM2a","Mouse","This study","Complete genome","Kuzmin","Clust_34"
"JQ685989","A10-001","AZ","","Gray Fox","Urocyon cinereoargenteus",2010,"Cosmopolitan","AM2a","Original brain","Troupin","G","Troupin","Clust_25"
"HQ450386","DRV_Mexico","Mexico","","Dog","Canis familiaris",NA,"Cosmopolitan","AM2a","Mouse","","Complete genome","Kuzmin","Clust_35"
"AF325477","MEX1-DG","Mexico","","Dog","Canis familiaris",1991,"Cosmopolitan","AM2a","","[19]","G","Troupin","Clust_34"
"AF369289","V213.SK","USA","TX","Striped skunk","Mephitis mephitis",1994,"Cosmopolitan","AM2a","","[18]","P","Troupin","Clust_25"
"AF369337","V217.CO","USA","TX","Coyote","Canis latrans",1994,"Cosmopolitan","AM2a","","[18]","P","Troupin","Clust_25"
"KX148216","86001BRE","Brazil","","Dog","Canis familiaris",1986,"Cosmopolitan","AM3a","Original brain","This study","Complete genome","Kuzmin","Clust_29"
"KX148215","95022BRE","Brazil","","Dog","Canis familiaris",1995,"Cosmopolitan","AM3a","Original brain","This study","Complete genome","Kuzmin","Clust_29"
"KX148214","95023BRE","Brazil","","Dog","Canis familiaris",1995,"Cosmopolitan","AM3a","Original brain","This study","Complete genome","Kuzmin","Clust_29"
"KC737850","A11_5300","USA","","Human","Homo sapiens",2011,"Cosmopolitan","AM3a","Original brain","McGuone et al. unpublished","Complete genome","Kuzmin","Clust_28"
"AF369314","B1.DG","Brazil","","Dog","Canis familiaris",1993,"Cosmopolitan","AM3a","","[18]","P","Troupin","Clust_29"
"AB517659","BRdg335","Brazil","","Dog","Canis familiaris",2003,"Cosmopolitan","AM3a","","Mochizuki et al. unpublished","Complete genome","Kuzmin","Clust_28"
"KX148217","86123BRE","Brazil","","Dog","Canis familiaris",1986,"Cosmopolitan","AM3b","Mouse","This study","Complete genome","Kuzmin","Clust_36"
"AB362483","BR_Pfx1","Brazil","","Brazilian wild fox","Lycalopex vetulus",2002,"Cosmopolitan","AM3b","Original brain","[13]","Complete genome","Troupin","Clust_37"
"AB517660","BR_Pfx3","Brazil","","Brazilian wild fox","Dusicyon_sp.",2001,"Cosmopolitan","AM3b","","Mochizuki et al. unpublished","Complete genome","Kuzmin","Clust_38"
"AF369315","P1.DG","Paraguay","","Dog","Canis familiaris",1994,"Cosmopolitan","AM3b","","[18]","P","Troupin","Clust_30"
"JQ944705","1350KRA","Russia","","Dog","Canis familiaris",2008,"Cosmopolitan","CA1","Original brain","Chupin et al. unpublished","Complete genome","Kuzmin","Clust_5"
"KC595280","8052f","Russia","","Red fox","Vulpes vulpes",2011,"Cosmopolitan","CA1","Mouse","","Complete genome","Kuzmin","Clust_5"
"KC595281","8053c","Russia","","Cat","Felis catus",2011,"Cosmopolitan","CA1","Mouse","","Complete genome","Kuzmin","Clust_5"
"KC595282","8054f","Russia","","Red fox","Vulpes vulpes",2011,"Cosmopolitan","CA1","Mouse","","Complete genome","Kuzmin","Clust_5"
"KC595283","8057f","Russia","","Red fox","Vulpes vulpes",2011,"Cosmopolitan","CA1","Mouse","","Complete genome","Kuzmin","Clust_5"
"KX148159","86082IRA","Iran","","Sheep","Ovis aries",1974,"Cosmopolitan","CA1","Mouse","This study","Complete genome","Kuzmin","Clust_5"
"AF369311","Ir5.DG","Iran","","Dog","Canis familiaris",1993,"Cosmopolitan","CA1","","[18]","P","Troupin","Clust_5"
"AF369274","RU7.FX","Kazakhstan","","Red fox","Vulpes vulpes",1988,"Cosmopolitan","CA1","","[18]","P","Troupin","Clust_5"
"KM016899","WQ14_RF","China","","Red fox","Vulpes vulpes",2014,"Cosmopolitan","CA1","Original brain","Liu et al. unpublished","Complete genome","Kuzmin","Clust_5"
"JQ944706","1352KRA","Russia","","Dog","Canis familiaris",2008,"Cosmopolitan","CA2","Original brain","Chupin et al. unpublished","Complete genome","Kuzmin","Clust_12"
